기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,강원,가톨릭관동대학교,공학계열,475,475,1826,473,99.58,3.84,91.8525,7.727499999999992,21.7698,0.23700824691761246
2014,대학교,사립,기존,강원,가톨릭관동대학교,예체능계열,280,280,1440,279,99.64,5.14,92.9614,6.678600000000003,18.4641,0.19862114813245066
2014,대학교,사립,기존,강원,가톨릭관동대학교,인문사회계열,1410,1365,5442,1352,99.05,3.99,90.2512,8.7988,15.9108,0.17629460882514583
2014,대학교,사립,기존,강원,가톨릭관동대학교,자연과학계열,179,164,1082,163,99.39,6.6,93.285,6.105000000000004,10.4671,0.11220560647478159
2014,대학교,국립,기존,강원,강릉원주대학교,공학계열,260,260,1100,252,96.92,4.23,98.9975,-2.0775000000000006,1.3855,0.013995302911689688
2014,대학교,국립,기존,강원,강릉원주대학교,예체능계열,164,164,449,160,97.56,2.74,99.1867,-1.6266999999999996,1.4087,0.014202509005743715
2014,대학교,국립,기존,강원,강릉원주대학교,인문사회계열,566,566,2636,564,99.65,4.66,99.64,0.010000000000005116,0.3626,0.003639100762745885
2014,대학교,국립,기존,강원,강릉원주대학교,자연과학계열,531,531,2207,529,99.62,4.16,99.6975,-0.07750000000000057,0.2431,0.002438376087665187
2014,대학교,국립,기존,강원,강릉원주대학교 _제2캠퍼스,공학계열,317,317,1650,316,99.68,5.21,98.9975,0.6825000000000045,1.3855,0.013995302911689688
2014,대학교,국립,기존,강원,강릉원주대학교 _제2캠퍼스,인문사회계열,124,124,604,124,100.0,4.87,99.64,0.35999999999999943,0.3626,0.003639100762745885
2014,대학교,국립,기존,강원,강릉원주대학교 _제2캠퍼스,자연과학계열,75,75,507,75,100.0,6.76,99.6975,0.3024999999999949,0.2431,0.002438376087665187
2014,대학교,국립,기존,강원,강원대학교,공학계열,761,761,4694,759,99.74,6.17,98.9975,0.7424999999999926,1.3855,0.013995302911689688
2014,대학교,국립,기존,강원,강원대학교,예체능계열,192,192,754,192,100.0,3.93,99.1867,0.8132999999999981,1.4087,0.014202509005743715
2014,대학교,국립,기존,강원,강원대학교,인문사회계열,1118,1118,8220,1110,99.28,7.35,99.64,-0.35999999999999943,0.3626,0.003639100762745885
2014,대학교,국립,기존,강원,강원대학교,자연과학계열,1195,1195,6967,1192,99.75,5.83,99.6975,0.052499999999994884,0.2431,0.002438376087665187
2014,대학교,국립,기존,강원,강원대학교 _제2캠퍼스,공학계열,866,866,2874,863,99.65,3.32,98.9975,0.6525000000000034,1.3855,0.013995302911689688
2014,대학교,국립,기존,강원,강원대학교 _제2캠퍼스,예체능계열,235,235,710,235,100.0,3.02,99.1867,0.8132999999999981,1.4087,0.014202509005743715
2014,대학교,국립,기존,강원,강원대학교 _제2캠퍼스,인문사회계열,274,274,1059,272,99.27,3.86,99.64,-0.37000000000000455,0.3626,0.003639100762745885
2014,대학교,국립,기존,강원,강원대학교 _제2캠퍼스,자연과학계열,345,345,1599,343,99.42,4.63,99.6975,-0.2775000000000034,0.2431,0.002438376087665187
2014,대학교,사립,기존,강원,경동대학교,공학계열,105,105,470,103,98.1,4.48,91.8525,6.247499999999988,21.7698,0.23700824691761246
2014,대학교,사립,기존,강원,경동대학교,예체능계열,40,40,146,40,100.0,3.65,92.9614,7.038600000000002,18.4641,0.19862114813245066
2014,대학교,사립,기존,강원,경동대학교,인문사회계열,415,415,1787,375,90.36,4.31,90.2512,0.10880000000000223,15.9108,0.17629460882514583
2014,대학교,사립,기존,강원,경동대학교,자연과학계열,360,360,1601,341,94.72,4.45,93.285,1.4350000000000023,10.4671,0.11220560647478159
2014,대학교,사립,기존,강원,경동대학교 _제2캠퍼스,공학계열,38,38,167,38,100.0,4.39,91.8525,8.147499999999994,21.7698,0.23700824691761246
2014,대학교,사립,기존,강원,경동대학교 _제2캠퍼스,인문사회계열,30,30,126,24,80.0,4.2,90.2512,-10.251199999999997,15.9108,0.17629460882514583
2014,대학교,사립,기존,강원,경동대학교 _제2캠퍼스,자연과학계열,60,60,338,48,80.0,5.63,93.285,-13.284999999999997,10.4671,0.11220560647478159
2014,대학교,사립,기존,강원,경동대학교 _제3캠퍼스,자연과학계열,475,475,2272,473,99.58,4.78,93.285,6.295000000000002,10.4671,0.11220560647478159
2014,대학교,사립,기존,강원,상지대학교,공학계열,275,275,945,275,100.0,3.44,91.8525,8.147499999999994,21.7698,0.23700824691761246
