기준연도,학교명,대계열,등록금
2014,가야대학교(고령) _제2캠퍼스,인문사회계열,5496000
2014,가야대학교(김해),예체능계열,7612000
2014,가야대학교(김해),인문사회계열,6561666.667
2014,가야대학교(김해),자연과학계열,7752285.714
2014,가천대학교,공학계열,9557453.125
2014,가천대학교,예체능계열,9362230.769
2014,가천대학교,의학계열,8922000
2014,가천대학교,인문사회계열,7395675.676
2014,가천대학교,자연과학계열,8811640
2014,가톨릭관동대학교,공학계열,8552884.615
2014,가톨릭관동대학교,예체능계열,8497545.455
2014,가톨릭관동대학교,의학계열,9850000
2014,가톨릭관동대학교,인문사회계열,6785081.481
2014,가톨릭관동대학교,자연과학계열,8550700
2014,가톨릭꽃동네대학교,인문사회계열,7368000
2014,가톨릭꽃동네대학교,자연과학계열,8546000
2014,가톨릭대학교,공학계열,8786857.143
2014,가톨릭대학교,예체능계열,9442000
2014,가톨릭대학교,인문사회계열,6573037.037
2014,가톨릭대학교,자연과학계열,7644200
2014,가톨릭대학교 _제2캠퍼스,자연과학계열,8666000
2014,가톨릭대학교 _제3캠퍼스,인문사회계열,7002000
2014,감리교신학대학교,인문사회계열,6201250
2014,강남대학교,공학계열,10015000
2014,강남대학교,예체능계열,10551600
2014,강남대학교,인문사회계열,7795500
2014,강남대학교,자연과학계열,10015000
2014,강서대학교,예체능계열,8749633.333
2014,강서대학교,인문사회계열,7027833.333
2014,강원대학교,공학계열,4542000
2014,강원대학교,예체능계열,4747600
2014,강원대학교,의학계열,5758000
2014,강원대학교,인문사회계열,3590000
2014,강원대학교,자연과학계열,4347329.787
2014,강원대학교 _제2캠퍼스,공학계열,4584608.696
2014,강원대학교 _제2캠퍼스,예체능계열,4625600
2014,강원대학교 _제2캠퍼스,인문사회계열,3553555.556
2014,강원대학교 _제2캠퍼스,자연과학계열,4366000
2014,건국대학교,공학계열,9829153.846
2014,건국대학교,예체능계열,10084400
2014,건국대학교,의학계열,10184000
2014,건국대학교,인문사회계열,7457428.571
2014,건국대학교,자연과학계열,8828095.238
2014,건국대학교(글로컬) _분교,공학계열,9563000
2014,건국대학교(글로컬) _분교,예체능계열,9697714.286
2014,건국대학교(글로컬) _분교,인문사회계열,7333111.111
2014,건국대학교(글로컬) _분교,자연과학계열,8378888.889
2014,건양대학교,공학계열,7563125
2014,건양대학교,예체능계열,7310000
2014,건양대학교,인문사회계열,6463478.261
2014,건양대학교,자연과학계열,7451000
2014,건양대학교 _제2캠퍼스,의학계열,9546000
2014,건양대학교 _제2캠퍼스,인문사회계열,6366000
2014,건양대학교 _제2캠퍼스,자연과학계열,7861333.333
2014,경기대학교,공학계열,8909466.667
2014,경기대학교,예체능계열,8697750
2014,경기대학교,인문사회계열,7081000
2014,경기대학교,자연과학계열,7956666.667
2014,경기대학교 _제2캠퍼스,예체능계열,8908800
2014,경기대학교 _제2캠퍼스,인문사회계열,7268666.667
2014,경남과학기술대학교 (폐교),공학계열,3963166.667
2014,경남과학기술대학교 (폐교),예체능계열,4140000
2014,경남과학기술대학교 (폐교),인문사회계열,3503150
2014,경남과학기술대학교 (폐교),자연과학계열,3797144.444
2014,경남대학교,공학계열,7886375
2014,경남대학교,예체능계열,7800000
2014,경남대학교,인문사회계열,6041918.919
2014,경남대학교,자연과학계열,6921555.556
2014,경동대학교,공학계열,7613920
2014,경동대학교,예체능계열,7904600
2014,경동대학교,인문사회계열,5849930.769
2014,경동대학교,자연과학계열,8061044.444
2014,경동대학교 _제2캠퍼스,공학계열,8646000
2014,경동대학교 _제2캠퍼스,예체능계열,8344000
2014,경동대학교 _제2캠퍼스,인문사회계열,7255333.333
2014,경동대학교 _제2캠퍼스,자연과학계열,8440000
2014,경동대학교 _제3캠퍼스,자연과학계열,9477000
2014,경동대학교 _제4캠퍼스,공학계열,8640000
2014,경동대학교 _제4캠퍼스,예체능계열,8640000
2014,경동대학교 _제4캠퍼스,인문사회계열,7066000
2014,경북대학교,공학계열,4789481.481
2014,경북대학교,예체능계열,4863285.714
2014,경북대학교,의학계열,5331000
2014,경북대학교,인문사회계열,3765804.878
2014,경북대학교,자연과학계열,4574150
2014,경상국립대학교,공학계열,4484560
2014,경상국립대학교,예체능계열,4320000
2014,경상국립대학교,의학계열,5864000
2014,경상국립대학교,인문사회계열,3481235.294
2014,경상국립대학교,자연과학계열,4271062.5
2014,경성대학교,공학계열,7962285.714
2014,경성대학교,예체능계열,7885428.571
2014,경성대학교,인문사회계열,6009655.172
2014,경성대학교,자연과학계열,7350909.091
2014,경운대학교,공학계열,8931250
2014,경운대학교,예체능계열,8726666.667
2014,경운대학교,인문사회계열,6760000
2014,경운대학교,자연과학계열,8510000
2014,경운대학교(산업대) (폐교),공학계열,8231250
2014,경운대학교(산업대) (폐교),예체능계열,8026666.667
2014,경운대학교(산업대) (폐교),인문사회계열,6060000
2014,경운대학교(산업대) (폐교),자연과학계열,7810000
2014,경인교육대학교,인문사회계열,3364000
2014,경일대학교,공학계열,8315333.333
2014,경일대학교,예체능계열,8613000
2014,경일대학교,인문사회계열,6334333.333
2014,경일대학교,자연과학계열,8362000
2014,경희대학교,공학계열,9288666.667
2014,경희대학교,예체능계열,9343578.947
2014,경희대학교,의학계열,9398000
2014,경희대학교,인문사회계열,7252461.538
2014,경희대학교,자연과학계열,9053750
2014,계명대학교,공학계열,8856571.429
