기준년도,중도탈락율,기숙사 수용률,전임교원 1인당 학생수(정원기준),전임교원 1인당 학생수(재학생기준),졸업자 수,진학률,정원내 신입생 충원율(%),기숙사 경쟁률,가중 평균 재학생 충원율(%),총 강좌 수,소규모 강좌 비율,평균 강좌 규모 점수,1인당장학금,취업률,학교명
2010,3.0,4.4,34.8,33.6,1846.0,6.5,100.2,19.3,100.4,3294,0.1,38.2,1470600.0,53.9,가천대학교 
2010,7.3,35.9,27.1,22.2,1613.0,2.3,100.0,4.4,83.1,1789,0.3,42.1,950300.0,41.5,가톨릭관동대학교 
2010,2.8,85.8,28.6,27.4,155.0,1.3,100.0,5.4,101.0,122,0.2,33.4,3546500.0,57.3,가톨릭꽃동네대학교 
2010,2.9,13.6,37.3,39.4,1502.0,8.6,99.3,15.7,113.5,1292,0.3,36.7,1228700.0,48.1,가톨릭대학교 
2010,8.2,914.3,3.9,3.8,182.0,0.0,100.0,15.7,107.1,532,0.2,34.5,1199600.0,53.7,가톨릭대학교 _제2캠퍼스
2010,1.5,124.5,13.0,8.4,46.0,63.0,68.8,1.5,69.1,52,0.4,42.7,4867100.0,5.9,가톨릭대학교 _제3캠퍼스
2010,2.9,21.1,52.1,54.5,196.0,26.0,99.0,2.1,111.9,116,0.2,50.0,1543100.0,8.4,감리교신학대학교 
2010,5.2,12.2,35.3,38.7,1549.0,3.2,100.1,12.3,112.4,2006,0.4,30.2,918700.0,48.0,강남대학교 
2010,9.1,5.8,39.1,38.3,291.0,3.8,98.2,4.5,106.9,387,0.4,24.4,1090100.0,46.9,강서대학교 
2010,3.1,24.7,24.3,24.9,2847.0,13.6,99.9,5.8,110.6,3173,0.3,31.8,1048300.0,54.9,강원대학교 
2010,5.5,34.4,35.0,30.3,932.0,3.3,98.3,5.3,86.4,1341,0.2,31.8,1856500.0,54.6,강원대학교 _제2캠퍼스
2010,1.8,20.3,31.0,35.7,2950.0,10.5,99.7,19.5,128.5,2617,0.3,37.2,1552800.0,61.2,건국대학교 
2010,3.0,29.8,19.0,20.4,1705.0,6.6,99.4,9.0,110.0,1382,0.2,40.3,1258100.0,47.9,건국대학교(글로컬) _분교
2010,5.9,28.5,38.1,39.8,1382.0,3.5,99.4,5.9,104.7,1463,0.2,35.7,1288400.0,69.5,건양대학교 
2010,1.6,0.0,10.5,11.2,293.0,3.1,100.0,11.8,108.9,332,0.2,35.8,1213600.0,87.9,건양대학교 _제2캠퍼스
2010,3.5,3.5,37.6,40.4,2487.0,3.7,99.8,18.8,112.3,1984,0.2,40.5,1129700.0,51.1,경기대학교 
2010,4.9,9.1,44.4,43.1,2967.0,2.6,99.4,3.6,99.1,2260,0.2,41.8,958100.0,44.5,경남대학교 
2010,2.2,18.5,24.3,28.3,4061.0,13.2,99.3,7.8,127.5,3359,0.3,41.6,1209200.0,52.8,경북대학교 
2010,3.7,24.6,22.4,23.4,3051.0,9.0,100.0,6.9,107.9,2483,0.2,40.5,1097500.0,48.1,경상국립대학교 
2010,4.2,5.3,43.3,44.3,2631.0,4.1,100.0,8.0,105.0,2377,0.2,42.6,1049000.0,49.7,경성대학교 
2010,8.4,21.1,35.4,27.9,837.0,3.7,97.0,3.3,81.1,1170,0.3,32.2,987000.0,53.6,경일대학교 
2010,1.8,10.3,20.5,23.6,2792.0,10.1,99.9,15.3,131.8,1992,0.2,45.3,1558000.0,56.6,경희대학교 
2010,3.6,13.0,34.3,37.4,4643.0,5.3,99.4,5.6,114.1,3852,0.3,40.3,1304200.0,46.2,계명대학교 
2010,1.4,8.8,22.0,25.0,4013.0,23.6,99.9,19.6,129.0,3056,0.2,43.2,1949900.0,64.6,고려대학교 
2010,2.9,35.7,31.6,34.5,1235.0,13.4,99.1,9.4,117.0,1180,0.1,41.0,1444800.0,48.7,고려대학교(세종) _분교
2010,3.7,30.9,23.2,21.9,721.0,7.6,100.0,4.4,94.4,1216,0.5,35.0,1222400.0,49.9,고신대학교 
2010,1.4,39.6,35.1,29.1,546.0,2.7,100.2,6.7,102.5,681,0.1,28.0,851100.0,60.2,공주교육대학교 
2010,9.7,26.3,34.6,27.3,107.0,15.9,96.7,1.4,82.1,220,0.8,16.0,2340700.0,24.4,광신대학교 
2010,3.1,1.8,35.8,40.5,1582.0,11.1,99.1,15.8,119.0,1323,0.2,38.1,1052400.0,58.7,광운대학교 
2010,1.3,138.1,13.8,9.2,31.0,61.3,60.0,0.6,58.9,32,0.1,27.5,74300.0,58.3,광주가톨릭대학교 
2010,0.8,25.5,39.1,33.4,516.0,1.4,99.8,2.2,104.1,527,0.1,28.0,1134800.0,60.7,광주교육대학교 
2010,8.2,28.5,31.0,29.0,907.0,4.9,100.0,3.8,92.9,1238,0.3,33.5,1817000.0,58.9,광주대학교 
2010,5.3,28.1,36.5,36.6,648.0,4.0,101.5,4.5,100.4,883,0.2,33.9,1434800.0,61.1,광주여자대학교 
2010,4.8,27.0,25.6,24.5,1460.0,5.3,99.7,4.0,98.5,1275,0.3,30.8,985900.0,47.1,국립강릉원주대학교 
2010,3.5,29.7,29.1,28.6,1489.0,7.1,100.0,4.4,102.0,1528,0.3,31.8,1025400.0,51.2,국립경국대학교 
2010,3.0,23.1,30.7,33.0,3234.0,6.8,99.2,6.0,111.7,2484,0.3,31.9,942700.0,49.2,국립공주대학교 
2010,6.5,16.5,28.1,26.2,1649.0,7.4,100.0,6.8,96.8,1669,0.3,28.8,1255300.0,48.0,국립군산대학교 
