기준연도,학교명,중도탈락학생(신입생)비율(%),정원내 신입생 충원율(%),기숙사 수용률,1인당장학금,소규모 강좌 비율,평균 강좌 규모 점수,전임교원 1인당 학생수(정원기준),취업률,진학률,가중 평균 재학생 충원율(%)
2020,가천대학교,6.9,99.9,12.1,3293557.8,0.5,20.9,20.1,64.3,4.5,106.1
2020,가톨릭관동대학교,6.4,99.2,36.4,3378575.4,0.5,19.1,22.3,56.6,2.0,88.0
2020,가톨릭꽃동네대학교,3.6,100.0,43.1,4832735.1,0.6,18.6,23.3,76.5,1.0,100.0
2020,가톨릭대학교,8.8,99.9,16.3,3209615.8,0.6,18.0,32.2,57.9,8.3,106.6
2020,감리교신학대학교,2.0,94.6,21.4,3893935.9,0.2,25.2,71.7,0.0,34.1,96.3
2020,강남대학교,9.2,100.0,13.7,3401188.9,0.7,16.5,29.0,57.3,2.0,101.1
2020,강서대학교,8.6,100.0,7.2,3512466.0,0.5,20.2,30.3,57.9,2.5,105.2
2020,강원대학교,7.3,99.7,28.4,2690408.2,0.3,23.6,21.1,58.8,8.7,104.5
2020,강원대학교 _제2캠퍼스,5.1,99.5,48.4,3117663.6,0.3,24.4,31.0,61.6,3.1,88.1
2020,건국대학교,8.9,99.3,18.9,3195541.8,0.4,22.5,27.6,66.6,9.6,106.9
2020,건국대학교(글로컬) _분교,5.9,99.9,31.9,3782385.4,0.3,23.2,15.6,59.4,4.5,101.1
2020,건양대학교,5.4,99.8,42.4,3823433.1,0.4,22.0,25.6,66.7,1.6,93.8
2020,건양대학교 _제2캠퍼스,4.2,100.0,34.6,3550807.0,0.2,25.4,17.2,83.5,4.0,95.9
2020,경기대학교,7.9,99.9,18.1,3553668.4,0.4,22.0,28.1,59.4,3.9,99.9
2020,경남대학교,4.3,95.8,14.2,3275875.0,0.6,18.2,30.7,55.0,2.8,90.1
2020,경동대학교,7.1,99.1,63.3,3489198.9,0.7,16.8,19.2,69.8,1.0,70.3
2020,경북대학교,8.0,99.8,26.8,2760994.4,0.5,20.6,20.9,53.6,10.3,105.8
2020,경상국립대학교,6.1,99.8,24.4,2728093.2,0.5,20.6,20.1,48.0,7.6,102.2
2020,경성대학교,5.6,99.9,11.0,3553493.2,0.5,20.2,28.6,52.6,1.9,97.0
2020,경인교육대학교,1.7,99.5,39.4,2307816.7,0.2,25.4,43.1,,,48.9
2020,경일대학교,4.9,99.3,22.9,3813036.0,0.4,22.8,26.0,59.8,2.3,98.2
2020,계명대학교,4.2,100.0,14.0,3984525.0,0.4,21.4,24.7,52.3,4.8,100.7
2020,고려대학교,6.2,99.8,10.8,3269430.3,0.4,22.2,21.1,71.6,17.7,108.7
2020,고려대학교(세종) _분교,9.4,99.7,37.6,3542594.0,0.4,21.3,27.2,59.0,10.9,104.2
2020,고신대학교,4.7,100.0,36.5,3814149.6,0.4,21.4,17.5,69.7,6.6,100.4
2020,공주교육대학교,6.8,100.0,45.4,2175974.8,0.1,27.8,27.4,55.8,1.1,94.6
2020,광신대학교,17.7,100.0,23.4,4373004.8,0.6,17.2,26.8,58.6,20.2,96.0
2020,광운대학교,9.6,99.9,12.4,3003454.8,0.4,22.0,27.6,61.6,8.4,99.0
2020,광주교육대학교,6.3,100.0,36.4,3138603.4,0.1,28.6,33.8,68.2,0.3,97.5
2020,광주대학교,4.6,98.6,27.4,4034215.3,0.3,23.2,28.2,64.2,1.4,99.3
2020,광주여자대학교,4.9,100.0,29.1,4343980.8,0.6,17.0,29.8,63.4,1.0,95.3
2020,국립강릉원주대학교,6.6,99.9,36.5,2982597.3,0.4,22.6,23.2,51.7,4.9,97.9
2020,국립강릉원주대학교 _제2캠퍼스,3.5,99.4,29.5,3099595.4,0.2,26.9,25.4,59.2,1.4,99.1
2020,국립경국대학교,6.4,99.9,29.3,3130962.6,0.4,21.5,26.2,50.5,6.7,95.3
2020,국립공주대학교,7.7,99.8,29.8,2575135.7,0.5,20.8,26.6,56.7,5.4,101.4
2020,국립군산대학교,5.8,99.8,21.0,2780278.5,0.4,22.6,25.0,59.4,5.1,98.0
2020,국립금오공과대학교,5.0,99.7,45.6,2839812.4,0.3,23.2,26.2,59.4,5.3,102.1
2020,국립목포대학교,6.2,99.0,22.7,3110841.8,0.4,21.6,26.3,56.1,4.4,102.5
2020,국립목포해양대학교,4.9,99.7,94.9,2241982.9,0.2,25.2,24.3,84.2,0.8,87.8
2020,국립부경대학교,8.2,99.8,23.4,2679507.6,0.3,25.0,29.2,49.1,5.9,107.5
2020,국립순천대학교,5.7,99.4,29.3,2870973.8,0.5,20.5,24.7,58.0,2.8,97.9
2020,국립창원대학교,5.7,99.5,25.2,2744913.3,0.4,21.6,28.9,52.2,5.8,101.6
2020,국립한국교통대학교,6.3,99.7,24.1,2863232.5,0.4,22.8,25.6,62.1,4.0,98.4
2020,국립한국해양대학교,4.9,99.9,43.2,2355401.9,0.3,24.6,25.2,68.1,5.9,99.1
2020,국민대학교,7.3,99.8,11.7,3419381.0,0.4,21.8,23.9,66.0,8.4,104.4
2020,극동대학교,5.4,99.1,12.7,3805386.2,0.4,22.8,28.8,65.0,1.5,92.9
2020,김천대학교,18.3,95.4,50.3,3516269.5,0.4,21.4,25.2,69.7,1.3,79.4
2020,나사렛대학교,4.4,99.9,26.3,4175863.8,0.4,22.8,32.0,61.7,2.6,93.4
2020,남부대학교,9.0,99.3,24.3,3816532.4,0.3,23.6,27.9,69.5,1.1,92.3
2020,단국대학교,7.2,99.6,19.1,3127752.2,0.5,20.4,27.6,60.1,5.8,109.3
2020,대구가톨릭대학교,5.8,100.0,24.1,3795555.2,0.5,19.0,23.3,57.9,5.4,98.1
2020,대구교육대학교,7.3,100.0,27.5,2149255.1,0.1,29.0,32.6,75.5,2.5,98.0
2020,대구대학교,5.0,100.0,21.2,3792078.2,0.4,21.8,31.7,52.7,3.0,93.7
2020,대구한의대학교,10.6,99.9,14.9,3746656.4,0.5,20.8,27.4,62.2,3.3,99.7
2020,대전대학교,6.2,99.9,23.8,3525271.8,0.5,20.7,28.6,64.1,2.5,97.0
2020,대진대학교,9.4,99.9,21.2,3902426.1,0.3,23.4,31.3,61.8,3.7,94.2
2020,덕성여자대학교,6.7,99.7,15.3,3012328.3,0.4,22.2,30.7,58.0,5.4,102.9
2020,동국대학교,8.5,99.8,11.4,3304552.4,0.4,22.4,24.6,65.4,7.6,104.2
2020,동국대학교(WISE) _분교,5.9,99.7,22.9,3749701.2,0.4,21.8,22.0,58.1,6.2,95.5
2020,동덕여자대학교,8.9,99.9,10.7,3226655.9,0.3,23.7,30.7,60.6,6.2,101.8
2020,동명대학교,4.9,97.1,13.8,4086611.3,0.5,20.3,27.4,61.8,1.2,95.7
2020,동서대학교,4.2,98.7,19.0,3727860.0,0.5,20.0,27.8,57.8,1.3,97.6
2020,동신대학교,6.3,90.6,21.7,4019620.4,0.4,22.7,26.7,65.2,1.6,90.1
2020,동아대학교,5.0,99.8,12.8,3419812.5,0.3,23.6,26.0,52.7,5.3,102.3
2020,동양대학교,6.0,96.9,55.1,3135534.6,0.3,24.2,30.9,62.3,1.7,91.0
2020,동의대학교,3.9,99.9,20.6,3707711.1,0.6,18.1,27.8,56.6,2.3,93.9
2020,루터대학교,4.6,100.0,25.6,3909613.9,0.5,20.4,23.8,50.7,11.6,101.7
2020,명지대학교,6.4,99.9,30.8,3647036.2,0.5,20.2,24.5,65.0,9.5,99.4
2020,명지대학교 _제2캠퍼스,8.0,99.4,12.1,3229072.9,0.4,23.0,29.9,60.1,2.6,102.6
2020,목원대학교,4.4,100.0,19.8,4009181.3,0.4,21.3,28.5,55.9,6.9,95.1
2020,목포가톨릭대학교,0.8,100.0,39.9,4559175.2,0.4,22.0,28.8,79.2,0.0,98.0
2020,배재대학교,6.1,99.9,20.1,3721225.4,0.6,17.9,29.8,60.0,3.2,96.1
2020,백석대학교,4.3,100.0,13.7,3766805.2,0.5,20.6,29.9,61.4,1.2,96.6
2020,부산가톨릭대학교,3.5,96.2,11.9,4102130.1,0.6,18.0,26.0,71.0,1.2,98.4
2020,부산교육대학교,4.9,100.0,40.1,2056860.1,0.1,28.7,32.8,70.9,0.8,99.1
2020,부산대학교,7.9,99.9,20.5,2860249.2,0.4,22.8,21.8,54.8,10.5,107.2
2020,부산디지털대학교,12.3,78.8,,,0.2,25.2,,,,80.6
2020,부산외국어대학교,6.1,100.1,20.2,3079500.6,0.5,20.2,31.2,50.5,1.2,99.0
2020,부산장신대학교,6.1,98.0,49.9,5355104.2,0.7,17.0,29.0,58.1,21.4,85.0
2020,삼육대학교,5.8,99.9,26.5,3953894.6,0.5,20.6,25.9,66.2,3.4,105.0
2020,상명대학교,7.7,99.9,10.3,3403334.7,0.6,18.0,25.8,60.6,4.9,98.3
2020,상지대학교,6.6,97.5,12.4,3165128.1,0.6,18.8,29.5,61.4,2.7,86.8
2020,서경대학교,8.7,99.8,11.1,3367791.5,0.6,18.6,24.3,67.0,3.1,98.6
2020,서울교육대학교,3.6,100.0,57.5,1797022.1,0.2,25.9,40.8,42.4,2.4,98.9
2020,서울기독대학교,9.4,92.6,0.0,3530379.4,0.7,15.8,33.3,51.9,9.8,87.8
2020,서울대학교,3.6,99.8,25.3,3724523.5,0.6,18.2,13.6,64.7,29.5,114.8
2020,서울시립대학교,9.5,99.5,11.4,1770081.3,0.4,22.5,24.9,67.9,7.6,119.6
2020,서울신학대학교,5.8,100.0,14.0,4644607.5,0.6,17.4,34.6,57.0,10.6,101.0
2020,서울여자대학교,12.4,99.9,12.1,3562074.2,0.3,23.6,32.9,60.6,8.7,102.5
2020,서울장신대학교,8.4,99.1,39.1,4730429.4,0.8,14.7,26.2,55.6,14.4,97.8
2020,서울한영대학교,11.4,100.0,14.3,3985245.2,0.7,16.0,28.6,56.4,5.0,88.5
2020,서원대학교,5.3,100.0,14.1,3736398.0,0.6,18.8,29.8,56.0,2.9,97.0
