기준년도,학교,전임교원수,1인당 학생수(정원기준),1인당 학생수(재학생기준)
2010,가천대학교 ,435.0,34.8,33.6
2010,가톨릭관동대학교 ,398.0,27.1,22.2
2010,가톨릭꽃동네대학교 ,22.0,28.6,27.4
2010,가톨릭대학교 ,210.0,37.3,39.4
2010,가톨릭대학교 _제2캠퍼스,897.0,3.9,3.8
2010,가톨릭대학교 _제3캠퍼스,29.0,13.0,8.4
2010,감리교신학대학교 ,34.0,52.1,54.5
2010,강남대학교 ,214.0,35.3,38.7
2010,강서대학교 ,41.0,39.1,38.3
2010,강원대학교 ,756.0,24.3,24.9
2010,강원대학교 _제2캠퍼스,197.0,35.0,30.3
2010,건국대학교 ,614.0,31.0,35.7
2010,건국대학교(글로컬) _분교,417.0,19.0,20.4
2010,건양대학교 ,190.0,38.1,39.8
2010,건양대학교 _제2캠퍼스,148.0,10.5,11.2
2010,경기대학교 ,382.0,37.6,40.4
2010,경기대학교 _제2캠퍼스,46.0,47.3,49.8
2010,경남대학교 ,356.0,44.4,43.1
2010,경동대학교 ,71.0,50.7,39.0
2010,경북대학교 ,1057.0,24.3,28.3
2010,경상국립대학교 ,783.0,22.4,23.4
2010,경성대학교 ,330.0,43.3,44.3
2010,경인교육대학교 ,127.0,42.4,24.8
2010,경일대학교 ,176.0,35.4,27.9
2010,경희대학교 ,933.0,20.5,23.6
2010,계명대학교 ,704.0,34.3,37.4
2010,고려대학교 ,1351.0,22.0,25.0
2010,고려대학교(세종) _분교,236.0,31.6,34.5
2010,고신대학교 ,246.0,23.2,21.9
2010,공주교육대학교 ,85.0,35.1,29.1
2010,광신대학교 ,39.0,34.6,27.3
2010,광운대학교 ,260.0,35.8,40.5
2010,광주가톨릭대학교 ,17.0,13.8,9.2
2010,광주과학기술원 ,116.0,16.4,13.2
2010,광주교육대학교 ,73.0,39.1,33.4
2010,광주대학교 ,222.0,31.0,29.0
2010,광주여자대학교 ,120.0,36.5,36.6
2010,국립강릉원주대학교 ,282.0,25.6,24.5
2010,국립강릉원주대학교 _제2캠퍼스,94.0,25.5,22.2
2010,국립경국대학교 ,264.0,29.1,28.6
2010,국립공주대학교 ,537.0,30.7,33.0
2010,국립군산대학교 ,330.0,28.1,26.2
2010,국립금오공과대학교 ,189.0,35.2,39.1
2010,국립목포대학교 ,304.0,30.2,29.9
2010,국립목포해양대학교 ,92.0,28.9,28.4
2010,국립부경대학교 ,560.0,32.6,36.9
2010,국립순천대학교 ,310.0,30.5,29.4
2010,국립창원대학교 ,317.0,32.8,34.5
2010,국립한국교통대학교 ,282.0,32.4,9.3
2010,국립한국해양대학교 ,241.0,27.9,31.4
2010,국민대학교 ,440.0,38.3,41.5
2010,극동대학교 ,76.0,63.5,55.0
2010,금강대학교 ,21.0,22.6,17.0
2010,김천대학교 ,104.0,9.9,10.6
2010,나사렛대학교 ,172.0,34.0,35.0
2010,남부대학교 ,90.0,42.7,32.1
2010,단국대학교 ,358.0,42.9,44.1
2010,대구가톨릭대학교 ,335.0,44.7,44.8
2010,대구교육대학교 ,85.0,39.2,35.7
2010,대구대학교 ,490.0,43.2,44.6
2010,대구예술대학교 ,36.0,54.3,33.0
2010,대구한의대학교 ,203.0,36.9,35.7
2010,대신대학교 ,34.0,27.4,22.8
2010,대전가톨릭대학교 ,12.0,20.8,12.2
2010,대전대학교 ,290.0,39.9,38.6
2010,대전신학대학교 ,10.0,12.0,9.7
2010,대진대학교 ,235.0,36.6,35.6
2010,덕성여자대학교 ,175.0,33.2,35.5
2010,동국대학교 ,685.0,24.5,27.5
2010,동국대학교(WISE) _분교,349.0,25.6,26.6
2010,동덕여자대학교 ,193.0,39.9,40.8
2010,동명대학교 ,263.0,35.1,23.8
2010,동서대학교 ,315.0,35.1,36.1
2010,동신대학교 ,226.0,34.2,31.3
2010,동아대학교 ,627.0,35.8,37.8
2010,동양대학교 ,118.0,43.0,33.3
2010,동의대학교 ,466.0,37.8,38.7
2010,루터대학교 ,18.0,52.6,31.9
2010,명지대학교 ,303.0,27.5,28.7
2010,명지대학교 _제2캠퍼스,163.0,47.7,52.6
2010,목원대학교 ,227.0,49.2,44.7
2010,목포가톨릭대학교 ,15.0,37.3,38.6
2010,배재대학교 ,283.0,36.3,35.3
2010,백석대학교 ,369.0,43.9,43.7
2010,부산가톨릭대학교 ,102.0,40.1,41.2
2010,부산교육대학교 ,74.0,42.1,38.7
2010,부산대학교 ,1179.0,26.1,28.3
2010,부산외국어대학교 ,238.0,39.9,40.9
2010,부산장신대학교 ,17.0,34.9,29.4
2010,삼육대학교 ,168.0,35.2,34.3
2010,상명대학교 ,174.0,43.8,47.9
2010,상지대학교 ,254.0,35.8,34.5
2010,서강대학교 ,386.0,34.0,33.6
2010,서경대학교 ,194.0,32.4,35.7
2010,서울교육대학교 ,94.0,38.0,22.0
2010,서울기독대학교 ,29.0,38.7,38.2
2010,서울대학교 ,2074.0,14.3,15.9
2010,서울시립대학교 ,382.0,28.8,31.4
2010,서울신학대학교 ,81.0,43.8,44.9
2010,서울여자대학교 ,229.0,34.5,37.0
2010,서울장신대학교 ,35.0,27.1,28.1
2010,서울한영대학교 ,41.0,27.2,25.8
2010,서원대학교 ,172.0,44.1,39.2
2010,선문대학교 ,285.0,36.3,34.1
2010,성결대학교 ,161.0,37.6,37.4
2010,성공회대학교 ,78.0,37.6,36.5
2010,성균관대학교 ,1228.0,20.6,24.0
2010,성신여자대학교 ,310.0,34.4,37.4
2010,세명대학교 ,222.0,40.4,37.9
2010,세종대학교 ,360.0,36.0,38.7
2010,세한대학교 ,104.0,57.2,44.2
2010,수원가톨릭대학교 ,11.0,40.9,21.5
2010,수원대학교 ,267.0,47.5,47.5
2010,숙명여자대학교 ,435.0,30.7,31.8
2010,순복음총회신학교 ,11.0,18.2,11.1
2010,순천향대학교 ,765.0,15.9,16.6
2010,숭실대학교 ,432.0,33.0,38.5
2010,신경주대학교 ,110.0,56.0,40.9
2010,신라대학교 ,300.0,36.0,36.1
2010,아신대학교 ,38.0,55.1,37.8
2010,아주대학교 ,611.0,22.6,26.1
2010,안양대학교 ,162.0,35.1,33.5
2010,안양대학교 _제2캠퍼스,16.0,35.0,28.6
2010,연세대학교 ,1502.0,20.0,23.7
2010,연세대학교(미래) _분교,330.0,21.4,24.3
2010,영남대학교 ,809.0,31.1,34.8
2010,영남신학대학교 ,26.0,39.8,43.7
2010,영산대학교 ,137.0,31.0,17.2
2010,영산대학교 _제2캠퍼스,89.0,32.5,25.0
2010,영산선학대학교 ,9.0,22.2,4.2
2010,예수대학교 ,24.0,23.3,22.8
2010,예원예술대학교 ,45.0,27.0,24.2
2010,용인대학교 ,167.0,42.9,44.0
2010,우석대학교 ,283.0,31.4,31.5
2010,우송대학교 ,222.0,35.3,21.0
2010,울산과학기술원 ,83.0,18.4,16.0
2010,울산대학교 ,1016.0,15.0,16.5
2010,원광대학교 ,673.0,30.6,30.2
2010,위덕대학교 ,109.0,37.2,29.9
2010,유원대학교 ,105.0,42.0,27.1
2010,을지대학교 ,273.0,4.1,4.3
2010,을지대학교 _제2캠퍼스,118.0,33.8,36.9
2010,이화여자대학교 ,912.0,25.9,26.7
2010,인제대학교 ,323.0,34.6,35.6
2010,인천가톨릭대학교 ,29.0,31.0,22.8
2010,인천대학교 ,398.0,25.0,27.2
2010,인하대학교 ,811.0,24.1,29.0
2010,장로회신학대학교 ,69.0,44.5,47.0
2010,전남대학교 ,1021.0,23.0,25.1
2010,전남대학교 _제2캠퍼스,179.0,22.6,20.1
2010,전북대학교 ,983.0,22.7,24.8
2010,전주교육대학교 ,56.0,41.1,36.8
2010,전주대학교 ,358.0,35.3,35.1
2010,제주대학교 ,564.0,21.3,21.4
2010,조선대학교 ,784.0,30.7,31.5
2010,중부대학교 ,191.0,51.1,46.0
2010,중앙대학교 ,712.0,27.1,29.5
2010,중앙승가대학교 ,18.0,33.7,19.9
2010,중원대학교 ,42.0,19.5,15.3
