기준년도,학교명,졸업자 수,진학률
2023,가야대학교(김해),523,0.2
2023,가천대학교,3846,6.4
2023,가톨릭관동대학교,1768,4.4
2023,가톨릭꽃동네대학교,92,1.1
2023,가톨릭대학교,1501,10.2
2023,가톨릭대학교 _제2캠퍼스,178,0.6
2023,가톨릭대학교 _제3캠퍼스,39,61.5
2023,감리교신학대학교,159,39.6
2023,강남대학교,1532,2.2
2023,강서대학교,251,6.4
2023,강원대학교,2930,12.8
2023,강원대학교 _제2캠퍼스,1244,3.4
2023,건국대학교,3412,11.9
2023,건국대학교(글로컬) _분교,1610,6.6
2023,건양대학교,660,3.5
2023,건양대학교 _제2캠퍼스,815,4.0
2023,경기대학교,2690,5.4
2023,경기대학교 _제2캠퍼스,437,0.9
2023,경남과학기술대학교,1046,5.8
2023,경남대학교,2707,2.9
2023,경동대학교,141,0.0
2023,경동대학교 _제3캠퍼스,920,0.5
2023,경동대학교 _제4캠퍼스,606,1.0
2023,경북대학교,4738,12.1
2023,경상국립대학교,3026,11.7
2023,경성대학교,2698,2.7
2023,경운대학교,972,1.6
2023,경인교육대학교 _제2캠퍼스,618,0.5
2023,경일대학교,1469,1.4
2023,경희대학교,6247,9.4
2023,계명대학교,4829,5.8
2023,고려대학교,4391,22.0
2023,고려대학교(세종) _분교,1450,12.3
2023,고신대학교,743,8.3
2023,공주교육대학교,344,0.3
2023,광신대학교,110,26.4
2023,광운대학교,1913,10.2
2023,광주가톨릭대학교,16,31.3
2023,광주과학기술원,139,72.7
2023,광주교육대학교,316,0.3
2023,광주대학교,1463,3.5
2023,광주여자대학교,938,1.9
2023,국립강릉원주대학교,1181,7.4
2023,국립강릉원주대학교 _제2캠퍼스,456,2.0
2023,국립경국대학교,1287,6.8
2023,국립공주대학교,2879,8.1
2023,국립군산대학교,1451,5.3
2023,국립금오공과대학교,1250,11.1
2023,국립목포대학교,1433,5.2
2023,국립목포해양대학교,510,1.6
2023,국립부경대학교,3451,9.1
2023,국립순천대학교,1407,5.5
2023,국립창원대학교,1719,7.3
2023,국립한국교통대학교,1874,5.4
2023,국립한국해양대학교,1419,6.6
2023,국립한밭대학교,1891,5.3
2023,국민대학교,3518,9.0
2023,극동대학교,834,2.3
2023,금강대학교,79,1.3
2023,김천대학교,621,0.5
2023,나사렛대학교,1101,3.1
2023,남부대학교,772,1.0
2023,남서울대학교,2168,1.5
2023,단국대학교,2786,6.9
2023,단국대학교 _제2캠퍼스,2582,8.1
2023,대구가톨릭대학교,2448,6.0
2023,대구경북과학기술원,163,61.3
2023,대구교육대학교,376,0.5
2023,대구대학교,3857,3.8
2023,대구예술대학교,199,4.5
2023,대구한의대학교,1477,3.0
2023,대신대학교,98,19.4
2023,대전가톨릭대학교,5,100.0
2023,대전대학교,1899,2.4
2023,대전신학대학교,16,31.3
2023,대진대학교,1556,3.0
2023,덕성여자대학교,1411,7.0
2023,동국대학교,3488,9.7
2023,동국대학교(WISE) _분교,1634,5.5
2023,동덕여자대학교,1564,5.9
2023,동명대학교,1637,1.4
2023,동서대학교,2173,1.6
2023,동신대학교,1542,2.0
2023,동아대학교,4178,5.3
2023,동양대학교,733,0.3
2023,동의대학교,3406,3.0
2023,디지털서울문화예술대학교,811,2.7
2023,루터대학교,78,14.1
2023,명지대학교,1571,8.5
2023,명지대학교 _제2캠퍼스,1992,2.6
2023,목원대학교,1469,7.4
2023,목포가톨릭대학교,116,0.0
2023,배재대학교,1592,3.0
2023,백석대학교,2817,2.5
2023,부산가톨릭대학교,945,2.2
2023,부산교육대학교,369,1.6
2023,부산대학교,4278,12.6
2023,부산디지털대학교,718,3.3
2023,부산외국어대학교,1546,2.1
2023,부산장신대학교,50,18.0
2023,삼육대학교,1286,4.6
2023,상명대학교,1462,6.3
2023,상명대학교 _제2캠퍼스,1369,4.4
2023,상지대학교,1242,3.3
2023,서강대학교,1886,16.6
2023,서경대학교,1362,3.5
2023,서울과학기술대학교,2163,9.9
2023,서울교육대학교,354,1.1
2023,서울기독대학교,95,12.6
2023,서울대학교,3113,31.4
2023,서울디지털대학교,3097,2.8
2023,서울시립대학교,1951,9.4
2023,서울신학대학교,496,11.1
2023,서울여자대학교,1516,9.9
2023,서울장신대학교,110,18.2
2023,서울한영대학교,143,3.5
2023,서원대학교,1483,2.5
2023,선문대학교,1928,3.7
2023,성결대학교,1118,4.6
2023,성공회대학교,382,1.6
2023,성균관대학교,4122,13.8
2023,성신여자대학교,1979,8.5
2023,세명대학교,1609,2.8
2023,세종대학교,2698,10.1
2023,세한대학교,760,0.9
2023,송원대학교,670,2.4
2023,수원가톨릭대학교,27,40.7
2023,수원대학교,1785,4.4
2023,숙명여자대학교,2180,11.4
2023,순복음총회신학교,31,12.9
2023,순천향대학교,2575,7.4
2023,숭실대학교,3087,8.5
2023,신경주대학교,196,2.6
2023,신라대학교,1778,2.2
2023,신한대학교,324,0.3
2023,신한대학교 _제2캠퍼스,1283,1.7
2023,아신대학교,125,22.4
2023,아주대학교,2286,13.1
2023,안양대학교,958,4.0
2023,안양대학교 _제2캠퍼스,50,2.0
2023,연세대학교,4030,20.5
2023,연세대학교(미래) _분교,1732,10.1
2023,영남대학교,4857,6.5
2023,영남신학대학교,104,38.5
2023,영산대학교(양산) _제2캠퍼스,577,2.6
2023,영산대학교(해운대),762,1.3
2023,영산선학대학교,7,100.0
2023,예수대학교,146,0.0
2023,예원예술대학교,196,3.6
2023,예원예술대학교 _제2캠퍼스,74,1.4
2023,용인대학교,1339,2.6
2023,우석대학교,1504,3.7
2023,우송대학교,1942,1.4
2023,울산과학기술원,498,40.2
2023,울산대학교,2805,5.4
2023,원광대학교,3132,4.2
2023,원광디지털대학교,1355,4.9
2023,위덕대학교,601,1.0
2023,유원대학교,799,1.8
2023,을지대학교,51,0.0
2023,을지대학교 _제2캠퍼스,838,2.9
2023,을지대학교 _제3캠퍼스,105,1.0
2023,이화여자대학교,3403,15.2
2023,인제대학교,1960,6.4
2023,인천가톨릭대학교,12,33.3
2023,인천가톨릭대학교 _제2캠퍼스,167,6.0
2023,인천대학교,2826,7.3
2023,인하대학교,3911,12.7
2023,장로회신학대학교,169,34.3
2023,전남대학교,3672,8.9
2023,전남대학교 _제2캠퍼스,532,7.0
2023,전북대학교,4070,10.7
2023,전주교육대학교,273,0.4
2023,전주대학교,2390,3.1
2023,정석대학,26,0.0
2023,제주국제대학교,162,2.5
2023,제주대학교,1911,7.4
2023,조선대학교,4167,4.4
2023,중부대학교,1644,2.3
2023,중앙대학교,4144,9.6
2023,중앙대학교 _제2캠퍼스,1075,15.1
2023,중앙승가대학교,40,32.5
2023,중원대학교,785,3.6
2023,진주교육대학교,323,0.3
2023,차의과학대학교,460,12.6
2023,창신대학교,425,2.1
2023,청운대학교,1453,2.1
2023,청주교육대학교,281,1.1
2023,청주대학교,2556,3.1
2023,초당대학교,711,0.8
2023,총신대학교,401,17.7
2023,추계예술대학교,262,13.0
2023,춘천교육대학교,321,1.2
2023,충남대학교,3474,13.6
2023,충북대학교,2987,9.7
2023,칼빈대학교,84,15.5
2023,평택대학교,847,1.7
2023,포항공과대학교,256,58.6
2023,한경국립대학교,1117,6.6
2023,한국공학대학교,1504,7.0
2023,한국과학기술원,709,50.1
2023,한국교원대학교,574,1.2
2023,한국기술교육대학교,868,6.0
2023,한국방송통신대학교,27027,4.4
