기준년도,학교,정원내 신입생 충원율(%),경쟁률
2010,가천대학교 ,100.2,19.3
2010,가톨릭관동대학교 ,100.0,4.4
2010,가톨릭꽃동네대학교 ,100.0,5.4
2010,가톨릭대학교 ,99.3,15.7
2010,가톨릭대학교 _제2캠퍼스,100.0,15.7
2010,가톨릭대학교 _제3캠퍼스,68.8,1.5
2010,감리교신학대학교 ,99.0,2.1
2010,강남대학교 ,100.1,12.3
2010,강서대학교 ,98.2,4.5
2010,강원대학교 ,99.9,5.8
2010,강원대학교 _제2캠퍼스,98.3,5.3
2010,건국대학교 ,99.7,19.5
2010,건국대학교(글로컬) _분교,99.4,9.0
2010,건양대학교 ,99.4,5.9
2010,건양대학교 _제2캠퍼스,100.0,11.8
2010,경기대학교 ,99.8,18.8
2010,경기대학교 _제2캠퍼스,99.8,24.1
2010,경남대학교 ,99.4,3.6
2010,경동대학교 ,97.9,5.7
2010,경북대학교 ,99.3,7.8
2010,경상국립대학교 ,100.0,6.9
2010,경성대학교 ,100.0,8.0
2010,경인교육대학교 ,100.1,3.6
2010,경일대학교 ,97.0,3.3
2010,경희대학교 ,99.9,15.3
2010,계명대학교 ,99.4,5.6
2010,고려대학교 ,99.9,19.6
2010,고려대학교(세종) _분교,99.1,9.4
2010,고신대학교 ,100.0,4.4
2010,공주교육대학교 ,100.2,6.7
2010,광신대학교 ,96.7,1.4
2010,광운대학교 ,99.1,15.8
2010,광주가톨릭대학교 ,60.0,0.6
2010,광주과학기술원 ,100.0,6.6
2010,광주교육대학교 ,99.8,2.2
2010,광주대학교 ,100.0,3.8
2010,광주여자대학교 ,101.5,4.5
2010,국립강릉원주대학교 ,99.7,4.0
2010,국립강릉원주대학교 _제2캠퍼스,99.4,4.4
2010,국립경국대학교 ,100.0,4.4
2010,국립공주대학교 ,99.2,6.0
2010,국립군산대학교 ,100.0,6.8
2010,국립금오공과대학교 ,99.0,5.8
2010,국립목포대학교 ,99.9,4.7
2010,국립목포해양대학교 ,99.7,5.9
2010,국립부경대학교 ,99.9,6.6
2010,국립순천대학교 ,99.5,4.8
2010,국립창원대학교 ,99.7,7.2
2010,국립한국교통대학교 ,99.8,8.2
2010,국립한국해양대학교 ,99.7,7.9
2010,국민대학교 ,99.8,9.4
2010,극동대학교 ,99.0,9.1
2010,금강대학교 ,99.0,2.7
2010,김천대학교 ,97.3,5.4
2010,나사렛대학교 ,99.9,4.8
2010,남부대학교 ,95.4,5.5
2010,단국대학교 ,99.7,18.1
2010,대구가톨릭대학교 ,99.7,5.3
2010,대구교육대학교 ,99.6,2.7
2010,대구대학교 ,98.6,4.8
2010,대구예술대학교 ,86.7,1.9
2010,대구한의대학교 ,99.9,4.8
2010,대신대학교 ,66.1,1.1
2010,대전가톨릭대학교 ,45.0,0.6
2010,대전대학교 ,99.8,7.7
2010,대전신학대학교 ,98.3,1.5
2010,대진대학교 ,97.8,8.5
2010,덕성여자대학교 ,98.8,6.7
2010,동국대학교 ,98.9,16.5
2010,동국대학교(WISE) _분교,100.0,6.3
2010,동덕여자대학교 ,98.4,11.0
2010,동명대학교 ,100.0,5.2
2010,동서대학교 ,100.0,6.0
2010,동신대학교 ,99.9,4.0
2010,동아대학교 ,99.9,5.6
2010,동양대학교 ,99.8,3.5
2010,동의대학교 ,100.0,6.3
2010,디지털서울문화예술대학교 ,86.4,2.5
2010,루터대학교 ,97.0,3.2
2010,명지대학교 ,99.7,12.6
2010,명지대학교 _제2캠퍼스,99.6,20.6
2010,목원대학교 ,99.3,5.4
2010,목포가톨릭대학교 ,100.0,7.4
2010,배재대학교 ,99.4,5.0
2010,백석대학교 ,100.8,6.7
2010,부산가톨릭대학교 ,100.2,7.1
2010,부산교육대학교 ,99.3,6.8
2010,부산대학교 ,100.2,5.9
2010,부산디지털대학교 ,67.3,1.1
2010,부산외국어대학교 ,99.7,4.8
2010,부산장신대학교 ,89.0,1.9
2010,삼육대학교 ,99.2,9.2
2010,상명대학교 ,98.5,7.2
2010,상지대학교 ,99.8,5.2
2010,서강대학교 ,100.0,24.5
2010,서경대학교 ,98.9,11.6
2010,서울교육대학교 ,99.8,5.7
2010,서울기독대학교 ,100.0,4.5
2010,서울대학교 ,99.9,6.0
2010,서울디지털대학교 ,93.6,1.9
2010,서울시립대학교 ,99.5,11.2
2010,서울신학대학교 ,99.3,3.2
2010,서울여자대학교 ,99.4,11.7
2010,서울장신대학교 ,100.0,4.0
2010,서울한영대학교 ,100.0,3.1
2010,서원대학교 ,100.0,4.5
2010,선문대학교 ,100.0,6.3
2010,성결대학교 ,100.1,19.0
2010,성공회대학교 ,99.1,9.7
2010,성균관대학교 ,99.9,21.9
2010,성신여자대학교 ,99.8,13.6
2010,세명대학교 ,99.5,5.3
2010,세종대학교 ,99.4,8.6
2010,세한대학교 ,92.6,2.7
2010,수원가톨릭대학교 ,43.3,0.6
2010,수원대학교 ,99.8,9.9
2010,숙명여자대학교 ,99.6,13.6
2010,순복음총회신학교 ,61.0,0.9
2010,순천향대학교 ,99.3,11.9
2010,숭실대학교 ,99.3,8.9
2010,신경주대학교 ,103.7,4.7
2010,신라대학교 ,99.8,5.6
2010,아신대학교 ,84.9,1.6
2010,아주대학교 ,100.0,14.0
2010,안양대학교 ,99.7,15.0
2010,안양대학교 _제2캠퍼스,97.9,6.7
2010,연세대학교 ,99.9,14.4
2010,연세대학교(미래) _분교,99.2,7.7
2010,영남대학교 ,99.2,4.7
2010,영남신학대학교 ,94.3,1.3
2010,영산대학교 ,98.0,4.6
2010,영산대학교 _제2캠퍼스,100.0,4.7
2010,예수대학교 ,94.4,4.8
2010,예원예술대학교 ,105.3,4.2
2010,용인대학교 ,98.4,7.0
2010,우석대학교 ,99.9,4.5
2010,우송대학교 ,99.9,6.4
2010,울산과학기술원 ,98.8,3.3
2010,울산대학교 ,98.8,4.6
2010,원광대학교 ,99.6,4.2
2010,원광디지털대학교 ,82.8,1.1
2010,위덕대학교 ,95.1,4.8
2010,유원대학교 ,91.2,5.3
2010,을지대학교 ,99.5,8.9
2010,을지대학교 _제2캠퍼스,99.9,15.0
2010,이화여자대학교 ,99.8,9.4
2010,인제대학교 ,100.6,5.4
2010,인천가톨릭대학교 ,93.0,5.6
2010,인천대학교 ,99.7,7.5
2010,인하대학교 ,99.7,11.1
2010,장로회신학대학교 ,100.0,4.5
