기준년도,학교,총 편제 정원,가중 평균 재학생 충원율(%)
2010,가천대학교 ,12728.0,100.40000000000002
2010,가톨릭관동대학교 ,9791.0,83.1
2010,가톨릭꽃동네대학교 ,480.0,101.0
2010,가톨릭대학교 ,6366.0,113.5
2010,가톨릭대학교 _제2캠퍼스,630.0,107.1
2010,가톨릭대학교 _제3캠퍼스,320.0,69.1
2010,감리교신학대학교 ,800.0,111.9
2010,강남대학교 ,6636.0,112.4
2010,강서대학교 ,1320.0,106.9
2010,강원대학교 ,13480.0,110.6
2010,강원대학교 _제2캠퍼스,6634.0,86.40000000000002
2010,건국대학교 ,12199.0,128.5
2010,건국대학교(글로컬) _분교,7040.0,110.0
2010,건양대학교 ,6479.0,104.7
2010,건양대학교 _제2캠퍼스,1379.0,108.9
2010,경기대학교 ,10440.0,112.3
2010,경기대학교 _제2캠퍼스,2176.0,105.3
2010,경남대학교 ,13225.0,99.1
2010,경동대학교 ,3600.0,76.9
2010,경북대학교 ,15858.0,127.5
2010,경상국립대학교 ,13160.0,107.9
2010,경성대학교 ,12480.0,105.0
2010,경인교육대학교 ,3269.0,103.3
2010,경일대학교 ,5970.0,81.1
2010,경희대학교 ,9830.0,131.8
2010,계명대학교 ,20172.0,114.09999999999998
2010,고려대학교 ,15512.0,129.0
2010,고려대학교(세종) _분교,5980.0,117.0
2010,고신대학교 ,4072.0,94.4
2010,공주교육대학교 ,1948.0,102.5
2010,광신대학교 ,570.0,82.1
2010,광운대학교 ,7055.0,119.0
2010,광주가톨릭대학교 ,175.0,58.9
2010,광주과학기술원 ,100.0,99.0
2010,광주교육대학교 ,1772.0,104.1
2010,광주대학교 ,6300.0,92.9
2010,광주여자대학교 ,4040.0,100.4
2010,국립강릉원주대학교 ,6043.0,98.5
2010,국립강릉원주대학교 _제2캠퍼스,2185.0,92.4
2010,국립경국대학교 ,6360.0,102.0
2010,국립공주대학교 ,12348.0,111.7
2010,국립군산대학교 ,7715.0,96.8
2010,국립금오공과대학교 ,5425.0,121.2
2010,국립목포대학교 ,7170.0,106.1
2010,국립목포해양대학교 ,2464.0,98.5
2010,국립부경대학교 ,14153.0,121.3
2010,국립순천대학교 ,7349.0,103.9
2010,국립창원대학교 ,7577.0,111.7
2010,국립한국교통대학교 ,2101.0,107.9
2010,국립한국해양대학교 ,5607.0,115.4
2010,국민대학교 ,11987.0,116.4
2010,극동대학교 ,4400.0,89.4
2010,금강대학교 ,400.0,83.8
2010,김천대학교 ,1030.0,106.8
2010,나사렛대학교 ,5396.0,103.9
2010,남부대학교 ,3316.0,71.2
2010,단국대학교 ,9570.0,114.2
2010,대구가톨릭대학교 ,12450.0,103.9
2010,대구교육대학교 ,2090.0,103.9
2010,대구대학교 ,18182.0,103.9
2010,대구예술대학교 ,1955.0,60.8
2010,대구한의대학교 ,7032.0,96.6
2010,대신대학교 ,660.0,78.3
2010,대전가톨릭대학교 ,160.0,59.4
2010,대전대학교 ,9749.0,95.9
2010,대전신학대학교 ,120.0,80.8
2010,대진대학교 ,7800.0,98.5
2010,덕성여자대학교 ,5160.0,111.4
2010,동국대학교 ,10970.0,126.9
2010,동국대학교(WISE) _분교,8043.0,104.7
2010,동덕여자대학교 ,6788.0,109.0
2010,동명대학교 ,8960.0,67.6
2010,동서대학교 ,10600.0,102.5
2010,동신대학교 ,6980.0,89.2
2010,동아대학교 ,18568.0,108.7
2010,동양대학교 ,4624.0,79.5
2010,동의대학교 ,16180.0,102.8
2010,디지털서울문화예술대학교 ,3790.0,83.6
2010,루터대학교 ,800.0,64.1
2010,명지대학교 ,6984.0,104.09999999999998
2010,명지대학교 _제2캠퍼스,5320.0,123.4
2010,목원대학교 ,9668.0,93.0
2010,목포가톨릭대학교 ,560.0,103.4
2010,배재대학교 ,9360.0,97.1
2010,백석대학교 ,12720.0,101.5
2010,부산가톨릭대학교 ,3880.0,103.1
2010,부산교육대학교 ,2057.0,103.7
2010,부산대학교 ,18219.0,117.6
2010,부산디지털대학교 ,3200.0,65.8
2010,부산외국어대학교 ,8600.0,105.4
2010,부산장신대학교 ,280.0,99.6
2010,삼육대학교 ,5088.0,101.3
2010,상명대학교 ,5600.0,117.4
2010,상지대학교 ,8264.0,98.4
2010,서강대학교 ,6620.0,122.9
2010,서경대학교 ,5640.0,112.3
2010,서울교육대학교 ,1961.0,105.7
2010,서울기독대학교 ,680.0,99.0
2010,서울대학교 ,12973.0,125.8
2010,서울디지털대학교 ,11100.0,99.3
2010,서울시립대학교 ,7186.0,119.1
2010,서울신학대학교 ,2160.0,107.5
2010,서울여자대학교 ,6920.0,111.9
2010,서울장신대학교 ,488.0,108.0
2010,서울한영대학교 ,809.0,93.7
2010,서원대학교 ,7008.0,92.3
2010,선문대학교 ,9262.0,95.3
2010,성결대학교 ,5120.0,104.2
2010,성공회대학교 ,2160.0,106.3
2010,성균관대학교 ,14227.0,136.6
2010,성신여자대학교 ,8876.0,113.7
2010,세명대학교 ,8560.0,93.6
2010,세종대학교 ,9280.0,115.9
2010,세한대학교 ,5250.0,79.8
2010,수원가톨릭대학교 ,360.0,44.7
2010,수원대학교 ,10480.0,105.9
2010,숙명여자대학교 ,9112.0,116.1
2010,순복음총회신학교 ,200.0,61.0
2010,순천향대학교 ,10386.0,107.40000000000002
2010,숭실대학교 ,10700.0,120.7
2010,신경주대학교 ,5708.0,74.7
2010,신라대학교 ,9800.0,100.8
2010,아신대학교 ,880.0,92.8
2010,아주대학교 ,7994.0,121.3
2010,안양대학교 ,4468.0,103.1
2010,안양대학교 _제2캠퍼스,560.0,81.8
2010,연세대학교 ,14136.0,132.9
2010,연세대학교(미래) _분교,6619.0,116.8
2010,영남대학교 ,20104.0,116.79999999999998
2010,영남신학대학교 ,560.0,102.7
2010,영산대학교 ,4160.0,62.2
2010,영산대학교 _제2캠퍼스,2640.0,77.0
2010,예수대학교 ,560.0,97.7
2010,예원예술대학교 ,959.0,121.4
2010,예원예술대학교 _제2캠퍼스,0.0,
2010,용인대학교 ,5880.0,104.8
2010,우석대학교 ,7860.0,101.9
2010,우송대학교 ,4394.0,96.1
2010,울산과학기술원 ,1250.0,92.4
2010,울산대학교 ,12120.0,112.1
2010,원광대학교 ,17279.0,99.7
2010,원광디지털대학교 ,4700.0,82.4
2010,위덕대학교 ,3560.0,78.0
2010,유원대학교 ,4320.0,63.0
2010,을지대학교 ,828.0,112.09999999999998
2010,을지대학교 _제2캠퍼스,3988.0,117.1
2010,이화여자대학교 ,12586.0,121.3
2010,인제대학교 ,9088.0,103.6
2010,인천가톨릭대학교 ,600.0,91.7
2010,인천대학교 ,7720.0,113.6
2010,인하대학교 ,14333.0,127.40000000000002
2010,장로회신학대학교 ,601.0,111.30000000000001
2010,전남대학교 ,14893.0,121.0
2010,전남대학교 _제2캠퍼스,3824.0,93.1
2010,전북대학교 ,15746.0,113.4
2010,전주교육대학교 ,1532.0,105.6
2010,전주대학교 ,11318.0,101.3
2010,정석대학 ,200.0,70.0
2010,제주대학교 ,9301.0,103.0
