기준연도,학교명,대계열,1인당장학금
2014,가야대학교(고령) _제2캠퍼스,인문사회계열,0
2014,가야대학교(김해),예체능계열,2303200
2014,가야대학교(김해),인문사회계열,2940514.245
2014,가야대학교(김해),자연과학계열,3217007.331
2014,가천대학교,공학계열,3074145.704
2014,가천대학교,예체능계열,2588130.973
2014,가천대학교,의학계열,4991100
2014,가천대학교,인문사회계열,2804346.634
2014,가천대학교,자연과학계열,3258883.518
2014,가톨릭관동대학교,공학계열,2909449.657
2014,가톨릭관동대학교,예체능계열,3615234.924
2014,가톨릭관동대학교,의학계열,2172900
2014,가톨릭관동대학교,인문사회계열,2738226.511
2014,가톨릭관동대학교,자연과학계열,3302674.312
2014,가톨릭꽃동네대학교,인문사회계열,4876200
2014,가톨릭꽃동네대학교,자연과학계열,5053900
2014,가톨릭대학교,공학계열,2744522.586
2014,가톨릭대학교,예체능계열,2088500
2014,가톨릭대학교,인문사회계열,2739935.885
2014,가톨릭대학교,자연과학계열,2943243.475
2014,가톨릭대학교 _제2캠퍼스,의학계열,1839800
2014,가톨릭대학교 _제2캠퍼스,자연과학계열,2985400
2014,가톨릭대학교 _제3캠퍼스,인문사회계열,5760800
2014,감리교신학대학교,인문사회계열,3464456.887
2014,강남대학교,공학계열,2878986.498
2014,강남대학교,예체능계열,2804520.315
2014,강남대학교,인문사회계열,2507548.506
2014,강남대학교,자연과학계열,2571800
2014,강서대학교,예체능계열,3444234.752
2014,강서대학교,인문사회계열,3209421.176
2014,강원대학교,공학계열,2433044.056
2014,강원대학교,예체능계열,2644337.611
2014,강원대학교,의학계열,2031460.759
2014,강원대학교,인문사회계열,2324254.621
2014,강원대학교,자연과학계열,2397760.682
2014,강원대학교 _제2캠퍼스,공학계열,2915665.989
2014,강원대학교 _제2캠퍼스,예체능계열,3173515.658
2014,강원대학교 _제2캠퍼스,인문사회계열,3257640.407
2014,강원대학교 _제2캠퍼스,자연과학계열,4160645.39
2014,건국대학교,공학계열,2933982.135
2014,건국대학교,예체능계열,2887303.261
2014,건국대학교,의학계열,3053600
2014,건국대학교,인문사회계열,2727485.062
2014,건국대학교,자연과학계열,3040758.009
2014,건국대학교(글로컬),공학계열,3044841.366
2014,건국대학교(글로컬),예체능계열,3053889.89
2014,건국대학교(글로컬),의학계열,0
2014,건국대학교(글로컬),인문사회계열,2865861.548
2014,건국대학교(글로컬),자연과학계열,3111389.681
2014,건양대학교,공학계열,3239912.542
2014,건양대학교,예체능계열,3576300
2014,건양대학교,인문사회계열,3142443.127
2014,건양대학교,자연과학계열,3616413.583
2014,건양대학교 _제2캠퍼스,의학계열,2027700
2014,건양대학교 _제2캠퍼스,인문사회계열,3648900
2014,건양대학교 _제2캠퍼스,자연과학계열,3255003.344
2014,경기대학교,공학계열,2993635.559
2014,경기대학교,예체능계열,3933854.731
2014,경기대학교,인문사회계열,3100408.33
2014,경기대학교,자연과학계열,3089219.303
2014,경기대학교 _제2캠퍼스,예체능계열,3284140.212
2014,경기대학교 _제2캠퍼스,인문사회계열,2906079.171
2014,경남과학기술대학교,공학계열,2669088.731
2014,경남과학기술대학교,예체능계열,2508800
2014,경남과학기술대학교,인문사회계열,2745845.641
2014,경남과학기술대학교,자연과학계열,2990614.5
2014,경남대학교,공학계열,2330241.356
2014,경남대학교,예체능계열,3130643.155
2014,경남대학교,인문사회계열,2470732.4
2014,경남대학교,자연과학계열,2846677.403
2014,경동대학교,공학계열,3381786.667
2014,경동대학교,예체능계열,5601333.333
2014,경동대학교,인문사회계열,3260445.917
2014,경동대학교,자연과학계열,3533480.746
2014,경동대학교 _제2캠퍼스,공학계열,3605700
2014,경동대학교 _제2캠퍼스,예체능계열,0
2014,경동대학교 _제2캠퍼스,인문사회계열,3109283.832
2014,경동대학교 _제2캠퍼스,자연과학계열,3114100
2014,경동대학교 _제3캠퍼스,자연과학계열,3880769.765
2014,경동대학교 _제4캠퍼스,공학계열,4145173.529
2014,경동대학교 _제4캠퍼스,예체능계열,3209800
2014,경동대학교 _제4캠퍼스,인문사회계열,4221102.488
2014,경북대학교,공학계열,2859786.059
2014,경북대학교,예체능계열,2718345.254
2014,경북대학교,의학계열,1870565.217
2014,경북대학교,인문사회계열,2416961.56
2014,경북대학교,자연과학계열,2888232.955
2014,경상국립대학교,공학계열,2648282.441
2014,경상국립대학교,예체능계열,2237111.828
2014,경상국립대학교,의학계열,3100398.394
2014,경상국립대학교,인문사회계열,2250459.24
2014,경상국립대학교,자연과학계열,2919766.148
2014,경성대학교,공학계열,3119220.768
2014,경성대학교,예체능계열,3216491.818
2014,경성대학교,인문사회계열,2730450.109
2014,경성대학교,자연과학계열,2889982.954
2014,경운대학교,공학계열,5037288.235
2014,경운대학교,예체능계열,4948674.49
2014,경운대학교,인문사회계열,3598376.623
2014,경운대학교,자연과학계열,3542124.706
2014,경운대학교(산업대),공학계열,3844649.798
2014,경운대학교(산업대),예체능계열,3578021.387
2014,경운대학교(산업대),인문사회계열,2516666.252
2014,경운대학교(산업대),자연과학계열,2845415.522
2014,경인교육대학교,인문사회계열,2451303.605
2014,경인교육대학교 _제2캠퍼스,예체능계열,2398403.916
2014,경인교육대학교 _제2캠퍼스,인문사회계열,2371186.763
2014,경인교육대학교 _제2캠퍼스,자연과학계열,2090470.046
2014,경일대학교,공학계열,3117237.522
2014,경일대학교,예체능계열,3006160.551
2014,경일대학교,인문사회계열,2475283.541
2014,경일대학교,자연과학계열,3821702.98
2014,경희대학교,공학계열,2985292.128
2014,경희대학교,예체능계열,3083560.873
2014,경희대학교,의학계열,2873893.002
2014,경희대학교,인문사회계열,2615737.33
2014,경희대학교,자연과학계열,2909704.818
2014,계명대학교,공학계열,3214165.384
2014,계명대학교,예체능계열,3285451.473
2014,계명대학교,의학계열,2848800
2014,계명대학교,인문사회계열,2939112.845
2014,계명대학교,자연과학계열,3337244.873
2014,고려대학교,공학계열,3308695.526
2014,고려대학교,예체능계열,3993936.149
2014,고려대학교,의학계열,3656000
2014,고려대학교,인문사회계열,2601634.746
2014,고려대학교,자연과학계열,3106922.638
2014,고려대학교(세종),공학계열,2791899.612
2014,고려대학교(세종),예체능계열,3179122.929
2014,고려대학교(세종),인문사회계열,2943967.565
2014,고려대학교(세종),자연과학계열,2919251.736
2014,고신대학교,공학계열,0
2014,고신대학교,예체능계열,3736325.108
2014,고신대학교,의학계열,2006800
2014,고신대학교,인문사회계열,3613607.837
2014,고신대학교,자연과학계열,3428280.529
2014,공주교육대학교,인문사회계열,2296827.809
2014,광신대학교,예체능계열,4058726.923
2014,광신대학교,인문사회계열,4020003.601
2014,광운대학교,공학계열,2520309.178
2014,광운대학교,예체능계열,4933800
2014,광운대학교,인문사회계열,2298340.556
2014,광운대학교,자연과학계열,2289969.859
2014,광주가톨릭대학교,인문사회계열,0
2014,광주과학기술원,공학계열,6641000
2014,광주과학기술원,자연과학계열,6292367.805
2014,광주교육대학교,인문사회계열,3016208.986
2014,광주대학교,공학계열,3625096.984
2014,광주대학교,예체능계열,3662575.931
2014,광주대학교,인문사회계열,3601374.597
2014,광주대학교,자연과학계열,4321436.541
2014,광주여자대학교,예체능계열,3197785.697
2014,광주여자대학교,인문사회계열,3506299.409
2014,광주여자대학교,자연과학계열,3607647.597
2014,국립강릉원주대학교,공학계열,2590635.895
2014,국립강릉원주대학교,예체능계열,2957530.752
2014,국립강릉원주대학교,의학계열,2352400
2014,국립강릉원주대학교,인문사회계열,2437622.427
2014,국립강릉원주대학교,자연과학계열,2633994.939
2014,국립강릉원주대학교 _제2캠퍼스,공학계열,2909632.041
2014,국립강릉원주대학교 _제2캠퍼스,예체능계열,2536800
2014,국립강릉원주대학교 _제2캠퍼스,인문사회계열,2382100.267
2014,국립강릉원주대학교 _제2캠퍼스,자연과학계열,2770398.992
2014,국립경국대학교,공학계열,2914888.549
2014,국립경국대학교,예체능계열,3136845.652
2014,국립경국대학교,인문사회계열,2599656.796
2014,국립경국대학교,자연과학계열,2921651.363
2014,국립공주대학교,공학계열,2090900.684
2014,국립공주대학교,예체능계열,2839316.503
2014,국립공주대학교,인문사회계열,2274646.156
2014,국립공주대학교,자연과학계열,2624233.377
2014,국립군산대학교,공학계열,2968736.283
2014,국립군산대학교,예체능계열,3052772.474
2014,국립군산대학교,인문사회계열,2753941.988
2014,국립군산대학교,자연과학계열,3051872.414
2014,국립금오공과대학교,공학계열,2636693.059
2014,국립금오공과대학교,인문사회계열,2084732.194
2014,국립금오공과대학교,자연과학계열,2598026.488
2014,국립목포대학교,공학계열,2767428.625
2014,국립목포대학교,예체능계열,2912094.7
2014,국립목포대학교,인문사회계열,2584432.494
2014,국립목포대학교,자연과학계열,2882937.016
2014,국립목포해양대학교,공학계열,2487154.947
2014,국립부경대학교,공학계열,2530462.48
2014,국립부경대학교,예체능계열,2666246.649
2014,국립부경대학교,인문사회계열,2077749.539
2014,국립부경대학교,자연과학계열,2504624.211
2014,국립순천대학교,공학계열,2798550.547
2014,국립순천대학교,예체능계열,2748804.326
2014,국립순천대학교,인문사회계열,2346747.859
2014,국립순천대학교,자연과학계열,2812057.754
2014,국립창원대학교,공학계열,2472892.374
2014,국립창원대학교,예체능계열,2540570.906
2014,국립창원대학교,인문사회계열,2110469.903
2014,국립창원대학교,자연과학계열,2435170.096
2014,국립한국교통대학교,공학계열,2884865.064
2014,국립한국교통대학교,예체능계열,3354653.333
2014,국립한국교통대학교,인문사회계열,3197114.339
2014,국립한국교통대학교,자연과학계열,3227910.85
2014,국립한국해양대학교,공학계열,2403058.936
2014,국립한국해양대학교,예체능계열,3108200
2014,국립한국해양대학교,인문사회계열,2199843.43
2014,국립한국해양대학교,자연과학계열,2404928.548
2014,국립한밭대학교,공학계열,2237201.333
2014,국립한밭대학교,예체능계열,2710833.453
2014,국립한밭대학교,인문사회계열,2179126.106
2014,국립한밭대학교,자연과학계열,3037539.446
2014,국민대학교,공학계열,3161144.283
2014,국민대학교,예체능계열,2978482.318
2014,국민대학교,인문사회계열,2672817.143
2014,국민대학교,자연과학계열,2908872.035
2014,극동대학교,공학계열,3957512.656
2014,극동대학교,예체능계열,3404076.522
2014,극동대학교,인문사회계열,3269450.738
2014,극동대학교,자연과학계열,4192671.878
2014,금강대학교,인문사회계열,8354640.94
2014,김천대학교,공학계열,3015600
2014,김천대학교,예체능계열,2952200
2014,김천대학교,인문사회계열,3028465.217
2014,김천대학교,자연과학계열,2524181.461
