기준년도,설립구분,지역,학교명,대계열,중도탈락률(%),신입생_충원율(%),신입생_경쟁률,신입생_충원율_평균_지역기준,신입생_충원율_표준편차_지역기준,신입생_충원안정성비율_지역기준,전임교원1인당재학생,취업률(%),진로진출률(%),졸업자대비진로성취(%),재학생1인당전임교원,1인당장학금,진학률(%),등록금,수도권여부,신입생_충원율_평균_수도권여부기준,신입생_충원율_편차_수도권여부기준,신입생_충원율_표준편차_수도권여부기준,신입생_충원안정성비율_수도권여부기준,재학생충원율_평균_지역기준_,재학생충원율_표준편차_지역기준_,재학생충원율_편차_지역기준,재학생충원안정성비율_지역기준,재학생충원율_평균_수도권여부기준,재학생충원율_표준편차_수도권여부기준,재학생충원율_편차_수도권여부기준,재학생충원안정성비율_수도권여부기준,재학생충원율,신입생_충원율_편차_지역구분,1인당장학금대비취업률(단위보정)
2014,사립,경남,가야대학교(김해),예체능계열,16.9,100,5.37,96.135,9.1443,0.0951,,62.07,62.07,45,,2303200,0,7612000,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,,,,,,,,,,3.865,26.94946162
2014,사립,경남,가야대학교(김해),인문사회계열,7.95,99.6,5.94,95.2986,6.9969,0.0734,21.42,66.36,69.09,67.27,0.046692607,2940514.245,2.73,6561666.667,비수도권,96.92227166,2.677728337,11.33038568,0.236331614,99.58,9.249432415,3.22,0.34812947,100.6876957,22.52565465,2.112304251,0.093773268,102.8,4.3014,22.56748122
2014,사립,경남,가야대학교(김해),자연과학계열,5.13,99.74,7.33,91.3817,12.9714,0.1419,40.69,74.52,76.75,73.98,0.024578652,3217007.331,2.23,7752285.714,비수도권,96.92227166,2.817728337,11.33038568,0.248687769,98.85,9.86998818,3.05,0.309017594,100.6876957,22.52565465,1.212304251,0.053818824,101.9,8.3583,23.16438613
2014,사립,경기,가천대학교,공학계열,2.95,100,13.54,99.0709,3.6269,0.0366,33.12,62.53,70.38,64.48,0.030197628,3074145.704,7.85,9557453.125,수도권,97.59166667,2.408333333,9.361214749,0.257267181,111.715,18.90784507,0.785,0.041517158,111.4750958,26.52249177,1.024904215,0.038642833,112.5,0.9291,20.34061037
2014,사립,경기,가천대학교,예체능계열,4.21,100.24,16.94,98.4996,4.878,0.0495,38.28,37.28,43.52,40.42,0.026122823,2588130.973,6.24,9362230.769,수도권,97.59166667,2.648333333,9.361214749,0.28290488,103.873913,14.21820911,6.826086957,0.480094708,111.4750958,26.52249177,-0.775095785,0.029224094,110.7,1.7404,14.40421694
2014,사립,경기,가천대학교,의학계열,0,,,,,,2.78,75,75,75,0.35915493,4991100,0,8922000,수도권,,,,,106.5,10.32375901,-7.3,0.707106781,111.4750958,26.52249177,-12.27509579,0.462818346,99.2,,15.02674761
2014,사립,경기,가천대학교,인문사회계열,2.73,100.07,16.17,94.8029,14.2625,0.1504,39.03,53.91,55.65,51.9,0.025623736,2804346.634,1.74,7395675.676,수도권,97.59166667,2.478333333,9.361214749,0.264744843,115.6741935,39.1820109,17.32580645,0.442187781,111.4750958,26.52249177,21.52490421,0.811571718,133,5.2671,19.2237291
2014,사립,경기,가천대학교,자연과학계열,2.36,100,15.36,99.7325,2.0898,0.021,22.91,62.07,68.25,63.56,0.043650794,3258883.518,6.18,8811640,수도권,97.59166667,2.408333333,9.361214749,0.257267181,111.515,27.61752447,-2.315,0.083823588,111.4750958,26.52249177,-2.275095785,0.085779866,109.2,0.2675,19.0464003
2014,사립,강원,가톨릭관동대학교,공학계열,8.68,99.58,3.84,91.8525,21.7698,0.237,26.6,79.51,85.62,77.29,0.037593985,2909449.657,6.11,8552884.615,비수도권,96.92227166,2.657728337,11.33038568,0.234566449,100.88,11.44277064,-7.28,0.636209553,100.6876957,22.52565465,-7.087695749,0.314649934,93.6,7.7275,27.3281924
2014,사립,강원,가톨릭관동대학교,예체능계열,10.47,99.64,5.14,92.9614,18.4641,0.1986,34.51,51.61,57.93,53.9,0.02897351,3615234.924,6.32,8497545.455,비수도권,96.92227166,2.717728337,11.33038568,0.239861944,92.08,17.92085377,-3.28,0.183026994,100.6876957,22.52565465,-11.88769575,0.5277403,88.8,6.6786,14.27569745
