연도,학교,기숙사 수용률,2023기준 존재여부
2022,가야대학교(김해) ,34.3,False
2022,가천대학교 ,14.9,False
2022,가톨릭관동대학교 ,42.5,False
2022,가톨릭꽃동네대학교 ,45.4,False
2022,가톨릭대학교 ,16.7,False
2022,가톨릭대학교 _제2캠퍼스,7.5,False
2022,가톨릭대학교 _제3캠퍼스,102.0,False
2022,감리교신학대학교 ,26.0,False
2022,강남대학교 ,14.5,False
2022,강서대학교 ,7.8,False
2022,강원대학교 ,29.0,False
2022,강원대학교 _제2캠퍼스,47.1,False
2022,건국대학교 ,19.3,False
2022,건국대학교(글로컬) _분교,33.2,False
2022,건양대학교 ,46.3,False
2022,건양대학교 _제2캠퍼스,34.9,False
2022,경기대학교 ,18.8,False
2022,경기대학교 _제2캠퍼스,0.0,False
2022,경남대학교 ,15.5,False
2022,경동대학교 ,63.6,False
2022,경동대학교 _제3캠퍼스,26.6,False
2022,경동대학교 _제4캠퍼스,18.6,False
2022,경북대학교 ,24.0,False
2022,경상국립대학교 ,28.8,False
2022,경성대학교 ,11.8,False
2022,경운대학교 ,35.1,False
2022,경인교육대학교 ,36.0,False
2022,경인교육대학교 _제2캠퍼스,54.5,False
2022,경일대학교 ,23.0,False
2022,경희대학교 ,17.2,False
2022,계명대학교 ,13.3,False
2022,고려대학교 ,11.9,False
2022,고려대학교(세종) _분교,36.9,False
2022,고신대학교 ,39.5,False
2022,공주교육대학교 ,47.1,False
2022,광신대학교 ,23.8,False
2022,광운대학교 ,12.2,False
2022,광주가톨릭대학교 ,237.2,False
2022,광주과학기술원 ,105.9,False
2022,광주교육대학교 ,37.9,False
2022,광주대학교 ,29.9,False
2022,광주여자대학교 ,28.7,False
2022,국립강릉원주대학교 ,39.4,False
2022,국립강릉원주대학교 _제2캠퍼스,30.0,False
2022,국립경국대학교 ,32.0,False
2022,국립공주대학교 ,32.3,False
2022,국립군산대학교 ,22.6,False
2022,국립금오공과대학교 ,47.7,False
2022,국립목포대학교 ,25.1,False
2022,국립목포해양대학교 ,92.0,False
2022,국립부경대학교 ,24.4,False
2022,국립순천대학교 ,28.4,False
