기준연도,학교명,학기,재학생,학자금대출이용학생비율(%) 전체,학자금대출이용학생비율(%) 등록금
2009,가야대학교,2,82,2.4,2.4
2009,가야대학교,1,70,8.6,8.6
2009,가야대학교 _제2캠퍼스,1,"2,534",18.7,18.7
2009,가야대학교 _제2캠퍼스,2,"2,288",18.4,18.4
2009,가천대학교,1,"12,783",26.4,26.2
2009,가천대학교,2,"10,908",25.1,25.1
2009,가천의과학대학교,1,"3,757",25.2,25.2
2009,가천의과학대학교,2,"3,623",24.7,24.7
2009,가톨릭관동대학교,2,"7,529",18.6,18.6
2009,가톨릭관동대학교,1,"8,137",21.6,21.3
2009,가톨릭꽃동네대학교,2,491,14.7,14.7
2009,가톨릭꽃동네대학교,1,485,16.9,16.7
2009,가톨릭대학교,2,"6,838",17.6,17.6
2009,가톨릭대학교,1,"7,225",18.6,18.4
2009,가톨릭대학교 _제2캠퍼스,2,752,10.1,8.4
2009,가톨릭대학교 _제2캠퍼스,1,675,9.6,9.6
2009,가톨릭대학교 _제3캠퍼스,2,231,0.4,0
2009,가톨릭대학교 _제3캠퍼스,1,221,0.9,0
2009,감리교신학대학교,1,878,14.2,14.2
2009,감리교신학대학교,2,832,14.9,14.9
2009,강남대학교,2,"6,783",18,17.9
2009,강남대학교,1,"7,459",18.5,18.3
2009,강서대학교,2,"1,212",10,14.5
2009,강서대학교,1,"1,411",9.9,16
2009,강원대학교,2,"13,709",11.4,11
2009,강원대학교,1,"14,913",13.7,13
2009,강원대학교 _제2캠퍼스,2,"5,184",11.9,11.6
2009,강원대학교 _제2캠퍼스,1,"5,733",15.9,14.6
2009,건국대학교,2,"13,818",5.3,8.6
2009,건국대학교,1,"15,674",5.4,8.6
2009,건국대학교(글로컬) _분교,1,"7,745",19,18.6
2009,건국대학교(글로컬) _분교,2,"7,144",17.4,17.2
2009,건동대학교,2,340,17.1,16.8
2009,건동대학교,1,495,14.9,14.9
2009,건양대학교,1,"6,784",17.9,17.3
2009,건양대학교,2,"6,641",15.6,15.4
2009,건양대학교 _제2캠퍼스,1,"1,502",15.6,15.3
2009,건양대학교 _제2캠퍼스,2,"1,361",14.5,14.3
2009,경기대학교,1,"11,723",7.1,11.3
2009,경기대학교,2,"10,684",18.7,0
2009,경기대학교 _제2캠퍼스,2,"2,039",21.8,21.8
2009,경기대학교 _제2캠퍼스,1,"2,292",22.6,22.6
2009,경남대학교,2,"12,101",12.8,12.6
2009,경남대학교,1,"13,100",13.7,13.3
2009,경동대학교,1,"2,769",19.6,19.6
2009,경동대학교,2,"2,365",17.8,17.8
2009,경북대학교,2,"19,037",11.1,11
2009,경북대학교,1,"20,213",10.8,10.9
2009,경북대학교 _제2캠퍼스,2,990,11.7,11.4
2009,경북대학교 _제2캠퍼스,1,"1,741",21,20.3
2009,경북외국어대학교,2,346,14.2,14.2
2009,경북외국어대학교,1,374,14.4,14.4
2009,경상국립대학교,1,"14,196",12.9,12.2
2009,경상국립대학교,2,"13,428",11.5,11.1
2009,경성대학교,1,"13,109",20.4,19.9
2009,경성대학교,2,"12,058",19.1,19
2009,경운대학교(산업대),1,"5,175",15.5,15.1
2009,경운대학교(산업대),2,"4,239",14.5,14.5
2009,경인교육대학교,1,"1,707",7.7,7.3
2009,경인교육대학교,2,"1,834",7.4,7.1
2009,경인교육대학교 _제2캠퍼스,1,"1,671",6.3,6
2009,경인교육대학교 _제2캠퍼스,2,"1,734",5.6,5.5
2009,경일대학교,2,"3,803",16.2,16
2009,경일대학교,1,"4,839",19.1,18.4
2009,경희대학교,2,"11,967",11.6,11.5
2009,경희대학교,1,"12,953",11.7,11.3
2009,경희대학교 _분교,2,"11,174",14.3,14.1
2009,경희대학교 _분교,1,"12,404",15,14.7
2009,계명대학교,2,"21,030",17.8,17.8
2009,계명대학교,1,"23,020",18.5,18
2009,고려대학교,1,"20,011",10.6,10.5
2009,고려대학교,2,"18,428",9.9,9.9
2009,고려대학교(세종) _분교,1,"6,994",19.1,18.8
2009,고려대학교(세종) _분교,2,"6,417",19.1,19
2009,고신대학교,1,"3,844",25.5,24.8
2009,고신대학교,2,"3,505",23.3,23.1
2009,공주교육대학교,2,"2,066",7.5,7.2
2009,공주교육대학교,1,"1,991",9,8
2009,광신대학교,2,378,12.7,4.5
2009,광신대학교,1,468,11.1,8.3
2009,광운대학교,2,"7,473",16.9,16.9
2009,광운대학교,1,"8,394",15.6,15.4
2009,광주가톨릭대학교,2,116,0,0
2009,광주가톨릭대학교,1,103,0,0
2009,광주과학기술원,2,0,0,0
2009,광주과학기술원,1,99,0,0
