기준년도,학교명_정규화,계열,총재적학생,총탈락자수,중도탈락률(%)
2010,가천대학교,공학계열,5331.0,149.68800000000002,2.8078784468204843
2010,가천대학교,예체능계열,575.0,8.959,1.558086956521739
2010,가천대학교,의학계열,129.0,0.0,0.0
2010,가천대학교,인문사회계열,4462.0,105.34,2.3608247422680413
2010,가천대학교,자연과학계열,2009.0,62.866,3.1292185166749626
2010,가톨릭관동대학교,공학계열,1909.0,157.703,8.261026715557884
2010,가톨릭관동대학교,예체능계열,601.0,68.077,11.32728785357737
2010,가톨릭관동대학교,의학계열,253.0,1.012,0.4
2010,가톨릭관동대학교,인문사회계열,6789.0,424.225,6.248711150390338
2010,가톨릭관동대학교,자연과학계열,174.0,9.918000000000001,5.700000000000001
2010,가톨릭꽃동네대학교,공학계열,173.0,3.979,2.3
2010,가톨릭꽃동네대학교,인문사회계열,445.0,12.905,2.9
2010,가톨릭대학교,공학계열,1050.0,32.221000000000004,3.068666666666667
2010,가톨릭대학교,예체능계열,272.0,10.064000000000002,3.7000000000000006
2010,가톨릭대학교,인문사회계열,4570.0,104.927,2.2959956236323853
2010,가톨릭대학교,자연과학계열,1171.0,38.870000000000005,3.3193851409052093
2010,가톨릭대학교 _제2캠퍼스,의학계열,363.0,1.089,0.3
2010,감리교신학대학교,인문사회계열,375.0,15.044999999999998,4.012
2010,강남대학교,공학계열,2066.0,116.786,5.6527589545014525
2010,강남대학교,예체능계열,658.0,52.885,8.037234042553191
2010,강남대학교,인문사회계열,3603.0,159.542,4.428032195392728
2010,강남대학교,자연과학계열,61.0,0.976,1.6
2010,강서대학교,예체능계열,231.0,30.954,13.4
2010,강서대학교,인문사회계열,373.0,29.157999999999994,7.817158176943698
2010,강원대학교,공학계열,4664.0,165.03900000000002,3.538572041166381
2010,강원대학교,예체능계열,762.0,36.815,4.831364829396325
2010,강원대학교,의학계열,229.0,5.055,2.2074235807860263
2010,강원대학교,인문사회계열,7564.0,166.064,2.1954521417239556
2010,강원대학교,자연과학계열,3181.0,96.417,3.0310279786230745
2010,강원대학교 _제2캠퍼스,공학계열,3991.0,234.704,5.880831871711351
2010,강원대학교 _제2캠퍼스,예체능계열,370.0,17.93,4.845945945945946
2010,강원대학교 _제2캠퍼스,인문사회계열,1743.0,103.761,5.953012048192771
2010,강원대학교 _제2캠퍼스,자연과학계열,464.0,26.874,5.791810344827586
2010,건국대학교,공학계열,5714.0,109.08,1.9089954497724886
2010,건국대학교,예체능계열,1425.0,20.317,1.4257543859649124
2010,건국대학교,의학계열,378.0,4.914000000000001,1.3
2010,건국대학교,인문사회계열,7989.0,78.381,0.9811115283514834
2010,건국대학교,자연과학계열,2379.0,83.07300000000001,3.4919293820933164
2010,건국대학교(글로컬) _분교,공학계열,1529.0,46.044,3.0113799869195548
2010,건국대학교(글로컬) _분교,예체능계열,787.0,13.084,1.6625158831003812
2010,건국대학교(글로컬) _분교,의학계열,668.0,40.138,6.008682634730539
2010,건국대학교(글로컬) _분교,인문사회계열,2656.0,43.885000000000005,1.6522966867469882
2010,건국대학교(글로컬) _분교,자연과학계열,835.0,31.115000000000002,3.7263473053892215
2010,건양대학교,공학계열,2188.0,154.858,7.077605118829982
2010,건양대학교,예체능계열,168.0,14.952000000000002,8.9
2010,건양대학교,인문사회계열,2917.0,191.927,6.579602331162153
2010,건양대학교,자연과학계열,386.0,12.057,3.1235751295336787
2010,건양대학교 _제2캠퍼스,의학계열,256.0,0.0,0.0
2010,경기대학교,공학계열,4144.0,133.629,3.224638030888031
2010,경기대학교,예체능계열,716.0,27.08,3.782122905027933
2010,경기대학교,인문사회계열,4745.0,155.32600000000002,3.273466807165438
2010,경기대학교,자연과학계열,781.0,24.964,3.196414852752881
2010,경기대학교 _제2캠퍼스,공학계열,119.0,2.9659999999999997,2.4924369747899155
2010,경기대학교 _제2캠퍼스,예체능계열,143.0,5.976,4.1790209790209785
2010,경기대학교 _제2캠퍼스,인문사회계열,1077.0,33.997,3.156638811513463
2010,경남대학교,공학계열,4961.0,309.877,6.2462608345091715
2010,경남대학교,예체능계열,487.0,29.854,6.130184804928131
2010,경남대학교,인문사회계열,9962.0,437.67900000000003,4.393485243926923
2010,경남대학교,자연과학계열,760.0,41.197,5.420657894736842
2010,경동대학교,공학계열,432.0,22.032,5.1
2010,경동대학교,예체능계열,170.0,19.04,11.2
2010,경동대학교,인문사회계열,2572.0,200.098,7.779860031104199
2010,경동대학교,자연과학계열,209.0,3.971,1.9
2010,경북대학교,공학계열,8525.0,195.948,2.298510263929619
2010,경북대학교,예체능계열,522.0,16.173000000000002,3.0982758620689657
2010,경북대학교,의학계열,278.0,6.1160000000000005,2.2
2010,경북대학교,인문사회계열,7242.0,128.434,1.7734603700635183
2010,경북대학교,자연과학계열,4189.0,114.046,2.7225113392217715
2010,경상국립대학교,공학계열,5740.0,164.386,2.863867595818815
2010,경상국립대학교,예체능계열,74.0,5.032,6.800000000000001
2010,경상국립대학교,의학계열,234.0,7.956,3.4000000000000004
2010,경상국립대학교,인문사회계열,6219.0,126.105,2.0277375783888085
2010,경상국립대학교,자연과학계열,3331.0,127.027,3.8134794356049233
2010,경성대학교,공학계열,3774.0,153.124,4.057339692633811
2010,경성대학교,예체능계열,3012.0,176.981,5.875863213811421
2010,경성대학교,인문사회계열,5928.0,214.521,3.6187753036437247
2010,경성대학교,자연과학계열,1496.0,72.051,4.8162433155080215
2010,경인교육대학교,인문사회계열,1775.0,16.937,0.9541971830985917
2010,경일대학교,공학계열,2634.0,224.423,8.520235383447229
2010,경일대학교,예체능계열,625.0,32.948,5.27168
2010,경일대학교,인문사회계열,1330.0,127.211,9.564736842105264
2010,경일대학교,자연과학계열,161.0,22.057,13.699999999999998
2010,경희대학교,공학계열,601.0,13.194000000000003,2.1953410981697177
2010,경희대학교,예체능계열,596.0,9.062000000000001,1.5204697986577183
2010,경희대학교,의학계열,579.0,0.994,0.17167530224525043
2010,경희대학교,인문사회계열,8611.0,144.376,1.6766461502729066
2010,경희대학교,자연과학계열,2013.0,60.131,2.9871336313959262
2010,계명대학교,공학계열,4435.0,170.33,3.8405862457722666
2010,계명대학교,예체능계열,2916.0,107.779,3.696124828532236
2010,계명대학교,의학계열,320.0,1.92,0.6
2010,계명대학교,인문사회계열,8879.0,256.238,2.885888050456132
2010,계명대학교,자연과학계열,1993.0,53.728,2.695835423983944
2010,고려대학교,공학계열,4453.0,85.941,1.929957332135639
2010,고려대학교,예체능계열,75.0,2.0250000000000004,2.7
