기준연도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%),학교명_정규화
2012.0,가천대학교,공학계열,7758.0,243,3.13,가천대학교
2012.0,가천대학교,예체능계열,2567.0,129,5.03,가천대학교
2012.0,가천대학교,의학계열,121.0,0,0.0,가천대학교
2012.0,가천대학교,인문사회계열,8661.0,237,2.74,가천대학교
2012.0,가천대학교,자연과학계열,3403.0,74,2.17,가천대학교
2012.0,가톨릭관동대학교,공학계열,2467.0,131,5.31,가톨릭관동대학교
2012.0,가톨릭관동대학교,예체능계열,2158.0,123,5.7,가톨릭관동대학교
2012.0,가톨릭관동대학교,의학계열,245.0,0,0.0,가톨릭관동대학교
2012.0,가톨릭관동대학교,인문사회계열,9179.0,443,4.83,가톨릭관동대학교
2012.0,가톨릭관동대학교,자연과학계열,829.0,30,3.62,가톨릭관동대학교
2012.0,가톨릭꽃동네대학교,인문사회계열,457.0,12,2.63,가톨릭꽃동네대학교
2012.0,가톨릭꽃동네대학교,자연과학계열,194.0,0,0.0,가톨릭꽃동네대학교
2012.0,가톨릭대학교,공학계열,2156.0,83,3.85,가톨릭대학교
2012.0,가톨릭대학교,예체능계열,282.0,11,3.9,가톨릭대학교
2012.0,가톨릭대학교,인문사회계열,6078.0,174,2.86,가톨릭대학교
2012.0,가톨릭대학교,자연과학계열,1983.0,76,3.83,가톨릭대학교
2012.0,가톨릭대학교 _제2캠퍼스,의학계열,145.0,2,1.38,가톨릭대학교 _제2캠퍼스
2012.0,가톨릭대학교 _제2캠퍼스,자연과학계열,380.0,7,1.84,가톨릭대학교 _제2캠퍼스
2012.0,가톨릭대학교 _제3캠퍼스,인문사회계열,326.0,9,2.76,가톨릭대학교 _제3캠퍼스
2012.0,감리교신학대학교,인문사회계열,1249.0,35,2.8,감리교신학대학교
2012.0,강남대학교,공학계열,1567.0,82,5.23,강남대학교
2012.0,강남대학교,예체능계열,1019.0,53,5.2,강남대학교
2012.0,강남대학교,인문사회계열,6547.0,285,4.35,강남대학교
2012.0,강서대학교,예체능계열,197.0,28,14.21,강서대학교
2012.0,강서대학교,인문사회계열,1268.0,80,6.31,강서대학교
2012.0,강원대학교,공학계열,5684.0,196,3.45,강원대학교
2012.0,강원대학교,예체능계열,1053.0,48,4.56,강원대학교
2012.0,강원대학교,의학계열,160.0,4,2.5,강원대학교
2012.0,강원대학교,인문사회계열,8025.0,165,2.06,강원대학교
2012.0,강원대학교,자연과학계열,7367.0,212,2.88,강원대학교
2012.0,강원대학교 _제2캠퍼스,공학계열,6101.0,327,5.36,강원대학교 _제2캠퍼스
2012.0,강원대학교 _제2캠퍼스,예체능계열,1116.0,36,3.23,강원대학교 _제2캠퍼스
2012.0,강원대학교 _제2캠퍼스,인문사회계열,1767.0,48,2.72,강원대학교 _제2캠퍼스
2012.0,강원대학교 _제2캠퍼스,자연과학계열,1721.0,37,2.15,강원대학교 _제2캠퍼스
2012.0,건국대학교,공학계열,6781.0,191,2.82,건국대학교
2012.0,건국대학교,예체능계열,2641.0,49,1.86,건국대학교
2012.0,건국대학교,의학계열,374.0,8,2.14,건국대학교
2012.0,건국대학교,인문사회계열,10942.0,170,1.55,건국대학교
2012.0,건국대학교,자연과학계열,3292.0,98,2.98,건국대학교
2012.0,건국대학교(글로컬) _분교,공학계열,2020.0,62,3.07,건국대학교(글로컬) _분교
2012.0,건국대학교(글로컬) _분교,예체능계열,2276.0,83,3.65,건국대학교(글로컬) _분교
2012.0,건국대학교(글로컬) _분교,인문사회계열,5753.0,243,4.22,건국대학교(글로컬) _분교
2012.0,건국대학교(글로컬) _분교,자연과학계열,2154.0,62,2.88,건국대학교(글로컬) _분교
2012.0,건양대학교,공학계열,2738.0,130,4.75,건양대학교
2012.0,건양대학교,예체능계열,387.0,32,8.27,건양대학교
2012.0,건양대학교,인문사회계열,4599.0,229,4.98,건양대학교
2012.0,건양대학교,자연과학계열,752.0,50,6.65,건양대학교
2012.0,건양대학교 _제2캠퍼스,의학계열,244.0,0,0.0,건양대학교 _제2캠퍼스
2012.0,건양대학교 _제2캠퍼스,인문사회계열,299.0,10,3.34,건양대학교 _제2캠퍼스
2012.0,건양대학교 _제2캠퍼스,자연과학계열,1733.0,17,0.98,건양대학교 _제2캠퍼스
2012.0,경기대학교,공학계열,4662.0,149,3.2,경기대학교
2012.0,경기대학교,예체능계열,2105.0,73,3.47,경기대학교
2012.0,경기대학교,인문사회계열,8770.0,240,2.74,경기대학교
2012.0,경기대학교,자연과학계열,1615.0,46,2.85,경기대학교
2012.0,경기대학교 _제2캠퍼스,예체능계열,708.0,29,4.1,경기대학교 _제2캠퍼스
2012.0,경기대학교 _제2캠퍼스,인문사회계열,1635.0,44,2.69,경기대학교 _제2캠퍼스
2012.0,경남과학기술대학교,공학계열,953.0,31,3.25,경상국립대학교
2012.0,경남과학기술대학교,예체능계열,63.0,5,7.94,경상국립대학교
2012.0,경남과학기술대학교,인문사회계열,481.0,8,1.66,경상국립대학교
2012.0,경남과학기술대학교,자연과학계열,578.0,18,3.11,경상국립대학교
2012.0,경남대학교,공학계열,5794.0,480,8.28,경남대학교
2012.0,경남대학교,예체능계열,1496.0,127,8.49,경남대학교
2012.0,경남대학교,인문사회계열,11264.0,742,6.59,경남대학교
