기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2012,가천대학교,인문ㆍ사회계열,5550,122.4,가천대학교
2012,가천대학교,자연과학계열,2909,109.6,가천대학교
2012,가천대학교,공학계열,5450,101.4,가천대학교
2012,가천대학교,의학계열,120,95.8,가천대학교
2012,가천대학교,예ㆍ체능계열,2012,101.8,가천대학교
2012,가톨릭관동대학교,의학계열,196,119.4,가톨릭관동대학교
2012,가톨릭관동대학교,공학계열,1622,89.4,가톨릭관동대학교
2012,가톨릭관동대학교,자연과학계열,618,113.9,가톨릭관동대학교
2012,가톨릭관동대학교,인문ㆍ사회계열,5860,100.6,가톨릭관동대학교
2012,가톨릭관동대학교,예ㆍ체능계열,1492,80.8,가톨릭관동대학교
2012,가톨릭꽃동네대학교,인문ㆍ사회계열,320,104.4,가톨릭꽃동네대학교
2012,가톨릭꽃동네대학교,자연과학계열,160,107.5,가톨릭꽃동네대학교
2012,가톨릭대학교,예ㆍ체능계열,208,104.3,가톨릭대학교
2012,가톨릭대학교,공학계열,1248,118.8,가톨릭대학교
2012,가톨릭대학교,자연과학계열,1330,111.7,가톨릭대학교
2012,가톨릭대학교,인문ㆍ사회계열,3586,123.0,가톨릭대학교
2012,가톨릭대학교 _제2캠퍼스,의학계열,92,154.3,가톨릭대학교 _제2캠퍼스
2012,가톨릭대학교 _제2캠퍼스,자연과학계열,300,119.0,가톨릭대학교 _제2캠퍼스
2012,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,320,65.9,가톨릭대학교 _제3캠퍼스
2012,감리교신학대학교,인문ㆍ사회계열,800,113.8,감리교신학대학교
2012,강남대학교,예ㆍ체능계열,688,112.4,강남대학교
2012,강남대학교,공학계열,1028,99.4,강남대학교
2012,강남대학교,인문ㆍ사회계열,4912,114.0,강남대학교
2012,강서대학교,예ㆍ체능계열,165,88.5,강서대학교
2012,강서대학교,인문ㆍ사회계열,1155,122.1,강서대학교
2012,강원대학교,자연과학계열,5040,104.3,강원대학교
2012,강원대학교,인문ㆍ사회계열,4587,118.2,강원대학교
2012,강원대학교,예ㆍ체능계열,768,107.8,강원대학교
2012,강원대학교,의학계열,160,91.9,강원대학교
