기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,정원내,정원외,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100,학교_정규화
2020,대학교,사립,경기,기존,가천대학교,인문ㆍ사회계열,5479,0,7352,6000,1352,134.2,109.5,가천대학교
2020,대학교,사립,경기,기존,가천대학교,자연과학계열,3015,0,3345,2981,364,110.9,98.9,가천대학교
2020,대학교,사립,경기,기존,가천대학교,예ㆍ체능계열,1480,0,1650,1593,57,111.5,107.6,가천대학교
2020,대학교,사립,경기,기존,가천대학교,공학계열,5120,0,6083,5496,587,118.8,107.3,가천대학교
2020,대학교,사립,경기,기존,가천대학교,의학계열,280,0,248,248,0,88.6,88.6,가천대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교,인문ㆍ사회계열,3926,0,4028,3691,337,102.6,94.0,가톨릭관동대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교,자연과학계열,1181,0,1224,1049,175,103.6,88.8,가톨릭관동대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교,예ㆍ체능계열,1430,0,1151,1127,24,80.5,78.8,가톨릭관동대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교,공학계열,1765,0,1472,1405,67,83.4,79.6,가톨릭관동대학교
2020,대학교,사립,강원,기존,가톨릭관동대학교,의학계열,196,0,232,202,30,118.4,103.1,가톨릭관동대학교
2020,대학교,사립,충북,기존,가톨릭꽃동네대학교,인문ㆍ사회계열,259,0,267,260,7,103.1,100.4,가톨릭꽃동네대학교
2020,대학교,사립,충북,기존,가톨릭꽃동네대학교,자연과학계열,173,0,190,172,18,109.8,99.4,가톨릭꽃동네대학교
2020,대학교,사립,경기,기존,가톨릭대학교,인문ㆍ사회계열,3263,0,4070,3597,473,124.7,110.2,가톨릭대학교
2020,대학교,사립,경기,기존,가톨릭대학교,자연과학계열,1305,0,1409,1272,137,108.0,97.5,가톨릭대학교
2020,대학교,사립,경기,기존,가톨릭대학교,예ㆍ체능계열,185,0,192,192,0,103.8,103.8,가톨릭대학교
2020,대학교,사립,경기,기존,가톨릭대학교,공학계열,1245,0,1492,1331,161,119.8,106.9,가톨릭대학교
2020,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,자연과학계열,506,0,542,504,38,107.1,99.6,가톨릭대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,의학계열,372,0,381,362,19,102.4,97.3,가톨릭대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,210,0,231,219,12,110.0,104.3,가톨릭대학교 _제3캠퍼스
2020,대학교,사립,서울,기존,감리교신학대학교,인문ㆍ사회계열,800,0,814,770,44,101.8,96.3,감리교신학대학교
2020,대학교,사립,경기,기존,강남대학교,인문ㆍ사회계열,3949,0,4590,4101,489,116.2,103.8,강남대학교
2020,대학교,사립,경기,기존,강남대학교,예ㆍ체능계열,605,0,621,593,28,102.6,98.0,강남대학교
2020,대학교,사립,경기,기존,강남대학교,공학계열,1432,0,1484,1360,124,103.6,95.0,강남대학교
2020,대학교,사립,서울,기존,강서대학교,인문ㆍ사회계열,736,0,940,828,112,127.7,112.5,강서대학교
2020,대학교,사립,서울,기존,강서대학교,자연과학계열,280,0,291,258,33,103.9,92.1,강서대학교
2020,대학교,사립,서울,기존,강서대학교,예ㆍ체능계열,125,0,120,114,6,96.0,91.2,강서대학교
2020,대학교,국립,강원,기존,강원대학교,인문ㆍ사회계열,4095,0,5012,4493,519,122.4,109.7,강원대학교
2020,대학교,국립,강원,기존,강원대학교,자연과학계열,4667,0,5048,4723,325,108.2,101.2,강원대학교
2020,대학교,국립,강원,기존,강원대학교,예ㆍ체능계열,620,0,650,629,21,104.8,101.5,강원대학교
2020,대학교,국립,강원,기존,강원대학교,공학계열,2597,0,2948,2681,267,113.5,103.2,강원대학교
2020,대학교,국립,강원,기존,강원대학교,의학계열,160,0,163,158,5,101.9,98.8,강원대학교
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,인문ㆍ사회계열,973,0,910,841,69,93.5,86.4,강원대학교 _제2캠퍼스
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,자연과학계열,1394,0,1403,1307,96,100.6,93.8,강원대학교 _제2캠퍼스
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,예ㆍ체능계열,784,0,758,704,54,96.7,89.8,강원대학교 _제2캠퍼스
2020,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,공학계열,2965,0,2695,2538,157,90.9,85.6,강원대학교 _제2캠퍼스
2020,대학교,사립,서울,기존,건국대학교,인문ㆍ사회계열,3721,0,6153,4378,1775,165.4,117.7,건국대학교
2020,대학교,사립,서울,기존,건국대학교,자연과학계열,1998,0,2268,2042,226,113.5,102.2,건국대학교
2020,대학교,사립,서울,기존,건국대학교,예ㆍ체능계열,1217,0,1620,1397,223,133.1,114.8,건국대학교
2020,대학교,사립,서울,기존,건국대학교,공학계열,4926,0,5404,4888,516,109.7,99.2,건국대학교
2020,대학교,사립,서울,기존,건국대학교,의학계열,276,0,321,270,51,116.3,97.8,건국대학교
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,인문ㆍ사회계열,2141,0,2734,2386,348,127.7,111.4,건국대학교(글로컬) _분교
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,자연과학계열,1565,0,1568,1441,127,100.2,92.1,건국대학교(글로컬) _분교
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,예ㆍ체능계열,1495,0,1670,1518,152,111.7,101.5,건국대학교(글로컬) _분교
2020,대학교,사립,충북,기존,건국대학교(글로컬) _분교,공학계열,1030,0,1023,955,68,99.3,92.7,건국대학교(글로컬) _분교
2020,대학교,사립,충남,기존,건양대학교,인문ㆍ사회계열,2105,0,2262,2070,192,107.5,98.3,건양대학교
2020,대학교,사립,충남,기존,건양대학교,자연과학계열,480,0,474,443,31,98.8,92.3,건양대학교
