기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,Unnamed: 10,Unnamed: 11,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100,학교_정규화
2021 상,대학교,사립,경기,기존,가천대학교,인문ㆍ사회계열,5444.0,0.0,7329,5328,2001,134.6,97.9,가천대학교
2021 상,대학교,사립,경기,기존,가천대학교,자연과학계열,3020.0,0.0,3261,2870,391,108.0,95.0,가천대학교
2021 상,대학교,사립,경기,기존,가천대학교,공학계열,5290.0,0.0,5802,5065,737,109.7,95.7,가천대학교
2021 상,대학교,사립,경기,기존,가천대학교,예ㆍ체능계열,1440.0,0.0,1594,1477,117,110.7,102.6,가천대학교
2021 상,대학교,사립,경기,기존,가천대학교,의학계열,244.0,0.0,260,260,0,106.6,106.6,가천대학교
2021 하,대학교,사립,경기,기존,가천대학교,의학계열,244.0,0.0,261,261,0,107.0,107.0,가천대학교
2021 하,대학교,사립,경기,기존,가천대학교,예ㆍ체능계열,1440.0,0.0,1680,1591,89,116.7,110.5,가천대학교
2021 하,대학교,사립,경기,기존,가천대학교,자연과학계열,3020.0,0.0,3374,2977,397,111.7,98.6,가천대학교
2021 하,대학교,사립,경기,기존,가천대학교,인문ㆍ사회계열,5444.0,0.0,7739,5926,1813,142.2,108.9,가천대학교
2021 하,대학교,사립,경기,기존,가천대학교,공학계열,5290.0,0.0,6254,5496,758,118.2,103.9,가천대학교
2021 상,대학교,사립,강원,기존,가톨릭관동대학교,인문ㆍ사회계열,3884.0,0.0,3222,2947,275,83.0,75.9,가톨릭관동대학교
2021 상,대학교,사립,강원,기존,가톨릭관동대학교,자연과학계열,1328.0,0.0,1204,1058,146,90.7,79.7,가톨릭관동대학교
2021 상,대학교,사립,강원,기존,가톨릭관동대학교,공학계열,1742.0,0.0,1198,1138,60,68.8,65.3,가톨릭관동대학교
2021 상,대학교,사립,강원,기존,가톨릭관동대학교,예ㆍ체능계열,1270.0,0.0,948,931,17,74.6,73.3,가톨릭관동대학교
2021 상,대학교,사립,강원,기존,가톨릭관동대학교,의학계열,196.0,0.0,240,207,33,122.4,105.6,가톨릭관동대학교
2021 하,대학교,사립,강원,기존,가톨릭관동대학교,의학계열,196.0,0.0,241,208,33,123.0,106.1,가톨릭관동대학교
2021 하,대학교,사립,강원,기존,가톨릭관동대학교,공학계열,1742.0,0.0,1317,1254,63,75.6,72.0,가톨릭관동대학교
2021 하,대학교,사립,강원,기존,가톨릭관동대학교,예ㆍ체능계열,1270.0,0.0,1056,1033,23,83.1,81.3,가톨릭관동대학교
2021 하,대학교,사립,강원,기존,가톨릭관동대학교,자연과학계열,1328.0,0.0,1266,1111,155,95.3,83.7,가톨릭관동대학교
2021 하,대학교,사립,강원,기존,가톨릭관동대학교,인문ㆍ사회계열,3884.0,0.0,3578,3266,312,92.1,84.1,가톨릭관동대학교
2021 상,대학교,사립,충북,기존,가톨릭꽃동네대학교,인문ㆍ사회계열,236.0,0.0,208,204,4,88.1,86.4,가톨릭꽃동네대학교
2021 상,대학교,사립,충북,기존,가톨릭꽃동네대학교,자연과학계열,196.0,0.0,205,185,20,104.6,94.4,가톨릭꽃동네대학교
2021 하,대학교,사립,충북,기존,가톨릭꽃동네대학교,자연과학계열,196.0,0.0,216,196,20,110.2,100.0,가톨릭꽃동네대학교
2021 하,대학교,사립,충북,기존,가톨릭꽃동네대학교,인문ㆍ사회계열,236.0,0.0,212,208,4,89.8,88.1,가톨릭꽃동네대학교
2021 상,대학교,사립,경기,기존,가톨릭대학교,인문ㆍ사회계열,3223.0,0.0,3443,2937,506,106.8,91.1,가톨릭대학교
2021 상,대학교,사립,경기,기존,가톨릭대학교,자연과학계열,1343.0,0.0,1304,1149,155,97.1,85.6,가톨릭대학교
2021 상,대학교,사립,경기,기존,가톨릭대학교,공학계열,1342.0,0.0,1312,1164,148,97.8,86.7,가톨릭대학교
2021 상,대학교,사립,경기,기존,가톨릭대학교,예ㆍ체능계열,180.0,0.0,163,162,1,90.6,90.0,가톨릭대학교
2021 하,대학교,사립,경기,기존,가톨릭대학교,인문ㆍ사회계열,3223.0,0.0,3902,3376,526,121.1,104.7,가톨릭대학교
2021 하,대학교,사립,경기,기존,가톨릭대학교,자연과학계열,1343.0,0.0,1445,1274,171,107.6,94.9,가톨릭대학교
2021 하,대학교,사립,경기,기존,가톨릭대학교,예ㆍ체능계열,180.0,0.0,178,177,1,98.9,98.3,가톨릭대학교
2021 하,대학교,사립,경기,기존,가톨릭대학교,공학계열,1342.0,0.0,1452,1295,157,108.2,96.5,가톨릭대학교
2021 상,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,자연과학계열,506.0,0.0,553,518,35,109.3,102.4,가톨릭대학교 _제2캠퍼스
2021 상,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,의학계열,372.0,0.0,359,346,13,96.5,93.0,가톨릭대학교 _제2캠퍼스
2021 하,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,자연과학계열,506.0,0.0,555,520,35,109.7,102.8,가톨릭대학교 _제2캠퍼스
2021 하,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,의학계열,372.0,0.0,366,353,13,98.4,94.9,가톨릭대학교 _제2캠퍼스
2021 상,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,200.0,0.0,222,211,11,111.0,105.5,가톨릭대학교 _제3캠퍼스
2021 하,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,200.0,0.0,224,213,11,112.0,106.5,가톨릭대학교 _제3캠퍼스
2021 상,대학교,사립,서울,기존,감리교신학대학교,인문ㆍ사회계열,800.0,0.0,707,676,31,88.4,84.5,감리교신학대학교
2021 하,대학교,사립,서울,기존,감리교신학대학교,인문ㆍ사회계열,800.0,0.0,740,707,33,92.5,88.4,감리교신학대학교
2021 상,대학교,사립,경기,기존,강남대학교,인문ㆍ사회계열,3914.0,0.0,3939,3591,348,100.6,91.7,강남대학교
2021 상,대학교,사립,경기,기존,강남대학교,공학계열,1446.0,0.0,1386,1285,101,95.9,88.9,강남대학교
2021 상,대학교,사립,경기,기존,강남대학교,예ㆍ체능계열,604.0,0.0,557,533,24,92.2,88.2,강남대학교
2021 하,대학교,사립,경기,기존,강남대학교,인문ㆍ사회계열,3914.0,0.0,4466,4065,401,114.1,103.9,강남대학교
2021 하,대학교,사립,경기,기존,강남대학교,예ㆍ체능계열,604.0,0.0,616,589,27,102.0,97.5,강남대학교
2021 하,대학교,사립,경기,기존,강남대학교,공학계열,1446.0,0.0,1515,1405,110,104.8,97.2,강남대학교
2021 상,대학교,사립,서울,기존,강서대학교,인문ㆍ사회계열,708.0,0.0,1048,648,400,148.0,91.5,강서대학교
2021 상,대학교,사립,서울,기존,강서대학교,자연과학계열,280.0,0.0,288,256,32,102.9,91.4,강서대학교
2021 상,대학교,사립,서울,기존,강서대학교,예ㆍ체능계열,120.0,0.0,100,96,4,83.3,80.0,강서대학교
2021 하,대학교,사립,서울,기존,강서대학교,인문ㆍ사회계열,708.0,0.0,1221,753,468,172.5,106.4,강서대학교
2021 하,대학교,사립,서울,기존,강서대학교,자연과학계열,280.0,0.0,300,267,33,107.1,95.4,강서대학교
2021 하,대학교,사립,서울,기존,강서대학교,예ㆍ체능계열,120.0,0.0,108,104,4,90.0,86.7,강서대학교
2021 상,대학교,국립,강원,기존,강원대학교,인문ㆍ사회계열,4094.0,0.0,4265,3803,462,104.2,92.9,강원대학교
