기준년도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2010,가천대학교,공학계열,395,97,24,6,492,30,6.1,가천대학교
2010,가천대학교,예체능계열,106,246,11,15,352,26,7.4,가천대학교
2010,가천대학교,의학계열,18,5,2,1,23,3,13.0,가천대학교
2010,가천대학교,인문사회계열,263,314,9,17,577,26,4.5,가천대학교
2010,가천대학교,자연과학계열,132,131,19,13,263,32,12.2,가천대학교
2010,가톨릭관동대학교,공학계열,195,12,7,1,207,8,3.9,가톨릭관동대학교
2010,가톨릭관동대학교,예체능계열,39,65,2,1,104,3,2.9,가톨릭관동대학교
2010,가톨릭관동대학교,의학계열,39,9,0,0,48,0,0.0,가톨릭관동대학교
2010,가톨릭관동대학교,인문사회계열,604,390,13,10,994,23,2.3,가톨릭관동대학교
2010,가톨릭관동대학교,자연과학계열,109,140,3,0,249,3,1.2,가톨릭관동대학교
2010,가톨릭꽃동네대학교,인문사회계열,32,90,1,1,122,2,1.6,가톨릭꽃동네대학교
2010,가톨릭꽃동네대학교,자연과학계열,0,33,0,0,33,0,0.0,가톨릭꽃동네대학교
2010,가톨릭대학교,공학계열,138,57,8,4,195,12,6.2,가톨릭대학교
2010,가톨릭대학교,예체능계열,17,73,0,7,90,7,7.8,가톨릭대학교
2010,가톨릭대학교,인문사회계열,320,550,22,33,870,55,6.3,가톨릭대학교
2010,가톨릭대학교,자연과학계열,85,196,19,29,281,48,17.1,가톨릭대학교
2010,가톨릭대학교 _제2캠퍼스,의학계열,77,34,0,0,111,0,0.0,가톨릭대학교 _제2캠퍼스
2010,가톨릭대학교 _제2캠퍼스,자연과학계열,1,70,0,0,71,0,0.0,가톨릭대학교 _제2캠퍼스
2010,가톨릭대학교 _제3캠퍼스,인문사회계열,37,9,28,1,46,29,63.0,가톨릭대학교 _제3캠퍼스
2010,감리교신학대학교,인문사회계열,133,63,43,8,196,51,26.0,감리교신학대학교
2010,강남대학교,공학계열,176,119,15,7,295,22,7.5,강남대학교
2010,강남대학교,예체능계열,32,82,0,3,114,3,2.6,강남대학교
2010,강남대학교,인문사회계열,380,540,8,12,920,20,2.2,강남대학교
2010,강남대학교,자연과학계열,9,23,0,1,32,1,3.1,강남대학교
2010,강서대학교,예체능계열,5,30,1,0,35,1,2.9,강서대학교
2010,강서대학교,인문사회계열,68,89,4,2,157,6,3.8,강서대학교
2010,강원대학교,공학계열,524,144,106,22,668,128,19.2,강원대학교
2010,강원대학교,예체능계열,30,93,2,14,123,16,13.0,강원대학교
2010,강원대학교,의학계열,66,22,1,3,88,4,4.5,강원대학교
2010,강원대학교,인문사회계열,467,642,23,28,1109,51,4.6,강원대학교
2010,강원대학교,자연과학계열,422,437,103,84,859,187,21.8,강원대학교
2010,강원대학교 _제2캠퍼스,공학계열,447,78,10,4,525,14,2.7,강원대학교 _제2캠퍼스
2010,강원대학교 _제2캠퍼스,예체능계열,45,25,3,1,70,4,5.7,강원대학교 _제2캠퍼스
2010,강원대학교 _제2캠퍼스,인문사회계열,103,137,2,5,240,7,2.9,강원대학교 _제2캠퍼스
2010,강원대학교 _제2캠퍼스,자연과학계열,39,39,5,1,78,6,7.7,강원대학교 _제2캠퍼스
2010,건국대학교,공학계열,615,192,82,17,807,99,12.3,건국대학교
2010,건국대학교,예체능계열,88,182,8,11,270,19,7.0,건국대학교
2010,건국대학교,의학계열,69,33,12,7,102,19,18.6,건국대학교
2010,건국대학교,인문사회계열,762,523,38,30,1285,68,5.3,건국대학교
2010,건국대학교,자연과학계열,234,252,52,52,486,104,21.4,건국대학교
2010,건국대학교(글로컬) _분교,공학계열,199,109,16,4,308,20,6.5,건국대학교(글로컬) _분교
2010,건국대학교(글로컬) _분교,예체능계열,75,109,7,1,184,8,4.3,건국대학교(글로컬) _분교
2010,건국대학교(글로컬) _분교,의학계열,6,1,0,0,7,0,0.0,건국대학교(글로컬) _분교
2010,건국대학교(글로컬) _분교,인문사회계열,339,415,6,13,754,19,2.5,건국대학교(글로컬) _분교
2010,건국대학교(글로컬) _분교,자연과학계열,202,218,35,30,420,65,15.5,건국대학교(글로컬) _분교
