기준연도,학교명,계열,졸업자(A),진학자(B),진학률(%),학교명_정규화
2013,가천대학교,공학계열,1087,50,4.6,가천대학교
2013,가천대학교,예체능계열,433,28,6.47,가천대학교
2013,가천대학교,의학계열,25,0,0.0,가천대학교
2013,가천대학교,인문사회계열,963,39,4.05,가천대학교
2013,가천대학교,자연과학계열,587,56,9.54,가천대학교
2013,가톨릭관동대학교,공학계열,245,19,7.76,가톨릭관동대학교
2013,가톨릭관동대학교,예체능계열,152,27,17.76,가톨릭관동대학교
2013,가톨릭관동대학교,의학계열,64,0,0.0,가톨릭관동대학교
2013,가톨릭관동대학교,인문사회계열,906,43,4.75,가톨릭관동대학교
2013,가톨릭관동대학교,자연과학계열,74,3,4.05,가톨릭관동대학교
2013,가톨릭꽃동네대학교,공학계열,39,1,2.56,가톨릭꽃동네대학교
2013,가톨릭꽃동네대학교,인문사회계열,85,4,4.71,가톨릭꽃동네대학교
2013,가톨릭대학교,공학계열,161,10,6.21,가톨릭대학교
2013,가톨릭대학교,예체능계열,40,1,2.5,가톨릭대학교
2013,가톨릭대학교,인문사회계열,852,55,6.46,가톨릭대학교
2013,가톨릭대학교,자연과학계열,349,77,22.06,가톨릭대학교
2013,가톨릭대학교 _제2캠퍼스,공학계열,67,0,0.0,가톨릭대학교 _제2캠퍼스
2013,가톨릭대학교 _제2캠퍼스,의학계열,53,0,0.0,가톨릭대학교 _제2캠퍼스
2013,가톨릭대학교 _제3캠퍼스,인문사회계열,39,20,51.28,가톨릭대학교 _제3캠퍼스
2013,감리교신학대학교,인문사회계열,220,89,40.45,감리교신학대학교
2013,강남대학교,공학계열,328,10,3.05,강남대학교
2013,강남대학교,예체능계열,176,19,10.8,강남대학교
2013,강남대학교,인문사회계열,996,21,2.11,강남대학교
2013,강남대학교,자연과학계열,57,2,3.51,강남대학교
2013,강서대학교,예체능계열,28,0,0.0,강서대학교
2013,강서대학교,인문사회계열,168,12,7.14,강서대학교
2013,강원대학교,공학계열,672,83,12.35,강원대학교
2013,강원대학교,예체능계열,179,10,5.59,강원대학교
2013,강원대학교,의학계열,46,3,6.52,강원대학교
2013,강원대학교,인문사회계열,1111,58,5.22,강원대학교
2013,강원대학교,자연과학계열,958,210,21.92,강원대학교
2013,강원대학교 _제2캠퍼스,공학계열,619,25,4.04,강원대학교 _제2캠퍼스
