기준연도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2021,가천대학교,공학계열,891,686,56,27,1577,83,5.3,가천대학교
2021,가천대학교,예체능계열,351,376,15,18,727,33,4.5,가천대학교
2021,가천대학교,의학계열,35,30,5,6,65,11,16.9,가천대학교
2021,가천대학교,인문사회계열,541,790,17,9,1331,26,2.0,가천대학교
2021,가천대학교,자연과학계열,266,356,21,20,622,41,6.6,가천대학교
2021,가톨릭관동대학교,공학계열,261,151,7,8,412,15,3.6,가톨릭관동대학교
2021,가톨릭관동대학교,예체능계열,109,46,2,2,155,4,2.6,가톨릭관동대학교
2021,가톨릭관동대학교,인문사회계열,506,334,10,2,840,12,1.4,가톨릭관동대학교
2021,가톨릭관동대학교,자연과학계열,195,119,0,4,314,4,1.3,가톨릭관동대학교
2021,가톨릭꽃동네대학교,인문사회계열,34,35,0,1,69,1,1.4,가톨릭꽃동네대학교
2021,가톨릭꽃동네대학교,자연과학계열,7,29,0,0,36,0,0.0,가톨릭꽃동네대학교
2021,가톨릭대학교,공학계열,138,106,7,5,244,12,4.9,가톨릭대학교
2021,가톨릭대학교,인문사회계열,360,673,22,43,1033,65,6.3,가톨릭대학교
2021,가톨릭대학교,자연과학계열,129,190,27,29,319,56,17.6,가톨릭대학교
2021,가톨릭대학교 _제2캠퍼스,공학계열,12,76,0,1,88,1,1.1,가톨릭대학교 _제2캠퍼스
2021,가톨릭대학교 _제3캠퍼스,인문사회계열,4,6,0,1,10,1,10.0,가톨릭대학교 _제3캠퍼스
2021,감리교신학대학교,인문사회계열,134,77,57,15,211,72,34.1,감리교신학대학교
2021,강남대학교,공학계열,192,86,5,5,278,10,3.6,강남대학교
2021,강남대학교,예체능계열,62,89,0,3,151,3,2.0,강남대학교
2021,강남대학교,인문사회계열,519,772,7,14,1291,21,1.6,강남대학교
2021,강서대학교,예체능계열,8,11,0,0,19,0,0.0,강서대학교
2021,강서대학교,인문사회계열,86,145,1,5,231,6,2.6,강서대학교
2021,강서대학교,자연과학계열,1,27,0,1,28,1,3.6,강서대학교
2021,강원대학교,공학계열,679,324,64,31,1003,95,9.5,강원대학교
2021,강원대학교,예체능계열,32,73,0,2,105,2,1.9,강원대학교
2021,강원대학교,의학계열,29,14,3,4,43,7,16.3,강원대학교
2021,강원대학교,인문사회계열,585,665,15,19,1250,34,2.7,강원대학교
2021,강원대학교,자연과학계열,438,328,70,66,766,136,17.8,강원대학교
2021,강원대학교 _제2캠퍼스,공학계열,447,144,17,8,591,25,4.2,강원대학교 _제2캠퍼스
2021,강원대학교 _제2캠퍼스,예체능계열,62,44,0,5,106,5,4.7,강원대학교 _제2캠퍼스
2021,강원대학교 _제2캠퍼스,인문사회계열,206,210,0,6,416,6,1.4,강원대학교 _제2캠퍼스
2021,강원대학교 _제2캠퍼스,자연과학계열,124,105,3,3,229,6,2.6,강원대학교 _제2캠퍼스
2021,건국대학교,공학계열,746,339,79,55,1085,134,12.4,건국대학교
2021,건국대학교,예체능계열,149,208,10,12,357,22,6.2,건국대학교
2021,건국대학교,의학계열,58,40,10,9,98,19,19.4,건국대학교
2021,건국대학교,인문사회계열,500,640,24,16,1140,40,3.5,건국대학교
2021,건국대학교,자연과학계열,354,413,56,59,767,115,15.0,건국대학교
2021,건국대학교(글로컬) _분교,공학계열,96,124,5,2,220,7,3.2,건국대학교(글로컬) _분교
2021,건국대학교(글로컬) _분교,예체능계열,169,156,7,9,325,16,4.9,건국대학교(글로컬) _분교
2021,건국대학교(글로컬) _분교,인문사회계열,318,413,2,5,731,7,1.0,건국대학교(글로컬) _분교
2021,건국대학교(글로컬) _분교,자연과학계열,162,217,16,29,379,45,11.9,건국대학교(글로컬) _분교
2021,건양대학교,공학계열,35,9,2,0,44,2,4.5,건양대학교
2021,건양대학교,예체능계열,89,14,0,0,103,0,0.0,건양대학교
2021,건양대학교,인문사회계열,259,394,1,4,653,5,0.8,건양대학교
2021,건양대학교,자연과학계열,48,78,1,7,126,8,6.3,건양대학교
2021,건양대학교 _제2캠퍼스,공학계열,91,253,8,10,344,18,5.2,건양대학교 _제2캠퍼스
2021,건양대학교 _제2캠퍼스,예체능계열,2,0,0,0,2,0,0.0,건양대학교 _제2캠퍼스
2021,건양대학교 _제2캠퍼스,인문사회계열,15,84,1,2,99,3,3.0,건양대학교 _제2캠퍼스
2021,건양대학교 _제2캠퍼스,자연과학계열,160,247,7,6,407,13,3.2,건양대학교 _제2캠퍼스
2021,경기대학교,공학계열,648,334,32,28,982,60,6.1,경기대학교
2021,경기대학교,예체능계열,166,205,6,7,371,13,3.5,경기대학교
2021,경기대학교,인문사회계열,451,725,10,13,1176,23,2.0,경기대학교
2021,경기대학교,자연과학계열,80,57,4,3,137,7,5.1,경기대학교
2021,경기대학교 _제2캠퍼스,공학계열,2,1,0,0,3,0,0.0,경기대학교 _제2캠퍼스
2021,경기대학교 _제2캠퍼스,예체능계열,14,41,0,0,55,0,0.0,경기대학교 _제2캠퍼스
2021,경기대학교 _제2캠퍼스,인문사회계열,199,259,0,6,458,6,1.3,경기대학교 _제2캠퍼스
2021,경남과학기술대학교,공학계열,338,104,7,2,442,9,2.0,경상국립대학교
2021,경남과학기술대학교,예체능계열,59,30,0,1,89,1,1.1,경상국립대학교
2021,경남과학기술대학교,인문사회계열,119,170,0,3,289,3,1.0,경상국립대학교
2021,경남과학기술대학교,자연과학계열,162,125,9,6,287,15,5.2,경상국립대학교
2021,경남대학교,공학계열,554,125,19,2,679,21,3.1,경남대학교
2021,경남대학교,예체능계열,98,75,2,2,173,4,2.3,경남대학교
2021,경남대학교,인문사회계열,697,798,15,26,1495,41,2.7,경남대학교
2021,경남대학교,자연과학계열,153,171,3,6,324,9,2.8,경남대학교
2021,경동대학교,공학계열,116,13,0,0,129,0,0.0,경동대학교
2021,경동대학교,예체능계열,55,6,0,0,61,0,0.0,경동대학교
2021,경동대학교,의학계열,11,16,0,0,27,0,0.0,경동대학교
2021,경동대학교,인문사회계열,210,148,2,4,358,6,1.7,경동대학교
2021,경동대학교,자연과학계열,96,18,1,0,114,1,0.9,경동대학교
2021,경북대학교,공학계열,1290,446,145,36,1736,181,10.4,경북대학교
2021,경북대학교,예체능계열,30,103,1,13,133,14,10.5,경북대학교
2021,경북대학교,의학계열,29,23,0,9,52,9,17.3,경북대학교
2021,경북대학교,인문사회계열,823,934,37,55,1757,92,5.2,경북대학교
2021,경북대학교,자연과학계열,658,708,109,114,1366,223,16.3,경북대학교
2021,경상국립대학교,공학계열,920,302,75,24,1222,99,8.1,경상국립대학교
2021,경상국립대학교,예체능계열,19,44,0,1,63,1,1.6,경상국립대학교
2021,경상국립대학교,의학계열,34,21,1,6,55,7,12.7,경상국립대학교
2021,경상국립대학교,인문사회계열,524,721,12,23,1245,35,2.8,경상국립대학교
2021,경상국립대학교,자연과학계열,362,356,54,54,718,108,15.0,경상국립대학교
2021,경성대학교,공학계열,437,269,7,4,706,11,1.6,경성대학교
2021,경성대학교,예체능계열,175,272,8,11,447,19,4.3,경성대학교
2021,경성대학교,인문사회계열,443,870,1,3,1313,4,0.3,경성대학교
2021,경성대학교,자연과학계열,153,200,11,9,353,20,5.7,경성대학교
2021,경일대학교,공학계열,415,131,7,2,546,9,1.6,경일대학교
2021,경일대학교,예체능계열,118,122,3,8,240,11,4.6,경일대학교
2021,경일대학교,인문사회계열,288,135,4,3,423,7,1.7,경일대학교
2021,경일대학교,자연과학계열,53,33,1,2,86,3,3.5,경일대학교
2021,경희대학교,공학계열,855,621,122,44,1476,166,11.2,경희대학교
2021,경희대학교,예체능계열,381,460,40,52,841,92,10.9,경희대학교
2021,경희대학교,의학계열,62,42,1,1,104,2,1.9,경희대학교
2021,경희대학교,인문사회계열,1113,1634,42,60,2747,102,3.7,경희대학교
2021,경희대학교,자연과학계열,433,404,101,66,837,167,20.0,경희대학교
2021,계명대학교,공학계열,616,479,28,19,1095,47,4.3,계명대학교
2021,계명대학교,예체능계열,247,383,6,54,630,60,9.5,계명대학교
2021,계명대학교,인문사회계열,923,1491,36,52,2414,88,3.6,계명대학교
2021,계명대학교,자연과학계열,292,335,20,14,627,34,5.4,계명대학교
2021,고려대학교,공학계열,1037,557,226,78,1594,304,19.1,고려대학교
2021,고려대학교,예체능계열,27,61,0,5,88,5,5.7,고려대학교
2021,고려대학교,인문사회계열,970,1086,138,135,2056,273,13.3,고려대학교
2021,고려대학교,자연과학계열,531,303,134,95,834,229,27.5,고려대학교
2021,고려대학교(세종) _분교,공학계열,242,97,44,28,339,72,21.2,고려대학교(세종) _분교
2021,고려대학교(세종) _분교,예체능계열,63,19,3,2,82,5,6.1,고려대학교(세종) _분교
2021,고려대학교(세종) _분교,인문사회계열,493,383,22,30,876,52,5.9,고려대학교(세종) _분교
2021,고려대학교(세종) _분교,자연과학계열,110,51,24,6,161,30,18.6,고려대학교(세종) _분교
2021,고신대학교,공학계열,22,102,1,0,124,1,0.8,고신대학교
