기준연도,학교명,계열,재적학생수,중도탈락자수,중도탈락률(%)
2012,가야대학교 _제2캠퍼스,공학,248.0,24.0,9.67741935483871
2012,가야대학교 _제2캠퍼스,예체능,179.0,21.0,11.731843575418994
2012,가야대학교 _제2캠퍼스,인문사회,1456.0,99.0,6.799450549450549
2012,가야대학교 _제2캠퍼스,자연과학,451.0,8.0,1.7738359201773837
2012,가천대학교,공학,7579.0,254.0,3.351365615516559
2012,가천대학교,예체능,957.0,51.0,5.329153605015674
2012,가천대학교,의학,121.0,0.0,0.0
2012,가천대학교,인문사회,6444.0,171.0,2.653631284916201
2012,가천대학교,자연과학,2638.0,56.0,2.122820318423048
2012,가톨릭관동대학교,공학,2170.0,116.0,5.345622119815668
2012,가톨릭관동대학교,예체능,792.0,53.0,6.691919191919192
2012,가톨릭관동대학교,의학,245.0,0.0,0.0
2012,가톨릭관동대학교,인문사회,9440.0,451.0,4.777542372881356
2012,가톨릭관동대학교,자연과학,133.0,1.0,0.7518796992481203
2012,가톨릭꽃동네대학교,인문사회,457.0,12.0,2.62582056892779
2012,가톨릭꽃동네대학교,자연과학,194.0,0.0,0.0
2012,가톨릭대학교,공학,2220.0,97.0,4.36936936936937
2012,가톨릭대학교,예체능,282.0,11.0,3.900709219858156
2012,가톨릭대학교,인문사회,6171.0,159.0,2.5765678172095283
2012,가톨릭대학교,자연과학,937.0,34.0,3.628601921024546
2012,가톨릭대학교 _제2캠퍼스,의학,145.0,2.0,1.3793103448275863
2012,가톨릭대학교 _제2캠퍼스,자연과학,380.0,7.0,1.8421052631578945
2012,가톨릭대학교 _제3캠퍼스,인문사회,326.0,9.0,2.7607361963190185
2012,감리교신학대학교,인문사회,401.0,20.0,4.987531172069826
2012,강남대학교,공학,1781.0,95.0,5.3340819764177425
2012,강남대학교,예체능,929.0,43.0,4.628632938643703
2012,강남대학교,인문사회,5310.0,230.0,4.3314500941619585
2012,강남대학교,자연과학,107.0,3.0,2.803738317757009
2012,강서대학교,예체능,197.0,28.0,14.213197969543149
2012,강서대학교,인문사회,1230.0,73.0,5.934959349593496
2012,강원대학교,공학,7947.0,275.0,3.460425317729961
2012,강원대학교,예체능,1007.0,44.0,4.369414101290963
2012,강원대학교,의학,165.0,4.0,2.4242424242424243
2012,강원대학교,인문사회,8623.0,178.0,2.064246781862461
2012,강원대학교,자연과학,2821.0,87.0,3.084012761432116
2012,강원대학교 _제2캠퍼스,공학,5306.0,288.0,5.427817565020731
2012,강원대학교 _제2캠퍼스,예체능,569.0,14.0,2.460456942003515
2012,강원대학교 _제2캠퍼스,인문사회,2244.0,84.0,3.7433155080213902
2012,강원대학교 _제2캠퍼스,자연과학,616.0,13.0,2.1103896103896105
2012,건국대학교,공학,8858.0,256.0,2.8900428990742832
2012,건국대학교,예체능,1489.0,27.0,1.8132975151108126
2012,건국대학교,의학,374.0,8.0,2.13903743315508
2012,건국대학교,인문사회,10403.0,159.0,1.528405267711237
2012,건국대학교,자연과학,1578.0,31.0,1.964512040557668
2012,건국대학교(글로컬) _분교,공학,3155.0,95.0,3.011093502377179
2012,건국대학교(글로컬) _분교,예체능,650.0,20.0,3.076923076923077
2012,건국대학교(글로컬) _분교,의학,648.0,18.0,2.7777777777777777
2012,건국대학교(글로컬) _분교,인문사회,5196.0,203.0,3.9068514241724404
2012,건국대학교(글로컬) _분교,자연과학,1157.0,25.0,2.16076058772688
2012,건양대학교,공학,2838.0,157.0,5.5320648343904155
2012,건양대학교,예체능,617.0,45.0,7.293354943273905
2012,건양대학교,인문사회,4031.0,192.0,4.763086082857852
2012,건양대학교 _제2캠퍼스,공학,232.0,3.0,1.293103448275862
2012,건양대학교 _제2캠퍼스,의학,244.0,0.0,0.0
2012,건양대학교 _제2캠퍼스,자연과학,472.0,4.0,0.847457627118644
2012,경기대학교,공학,5904.0,188.0,3.1842818428184283
2012,경기대학교,예체능,638.0,23.0,3.605015673981191
2012,경기대학교,인문사회,7754.0,217.0,2.7985555842145993
2012,경기대학교,자연과학,872.0,23.0,2.637614678899083
2012,경기대학교 _제2캠퍼스,공학,176.0,14.0,7.954545454545454
2012,경기대학교 _제2캠퍼스,예체능,279.0,8.0,2.867383512544803
2012,경기대학교 _제2캠퍼스,인문사회,3005.0,109.0,3.6272878535773714
2012,경남과학기술대학교,공학,697.0,38.0,5.4519368723099
2012,경남과학기술대학교,예체능,95.0,7.0,7.368421052631578
2012,경남과학기술대학교,인문사회,355.0,12.0,3.3802816901408446
2012,경남과학기술대학교,자연과학,305.0,10.0,3.278688524590164
2012,경남대학교,공학,6137.0,505.0,8.228776275052956
2012,경남대학교,예체능,460.0,45.0,9.782608695652174
2012,경남대학교,인문사회,11652.0,751.0,6.445245451424649
2012,경남대학교,자연과학,905.0,43.0,4.751381215469613
2012,경동대학교,공학,949.0,98.0,10.326659641728135
2012,경동대학교,예체능,152.0,26.0,17.105263157894736
2012,경동대학교,인문사회,2367.0,272.0,11.49133924799324
2012,경동대학교,자연과학,655.0,18.0,2.7480916030534353
2012,경북대학교,공학,11815.0,255.0,2.158273381294964
2012,경북대학교,예체능,666.0,17.0,2.5525525525525525
2012,경북대학교,의학,275.0,2.0,0.7272727272727273
2012,경북대학교,인문사회,10965.0,187.0,1.7054263565891472
2012,경북대학교,자연과학,2465.0,49.0,1.9878296146044625
2012,경북대학교 _제2캠퍼스,공학,4181.0,249.0,5.955513035159052
2012,경북대학교 _제2캠퍼스,인문사회,630.0,23.0,3.650793650793651
2012,경북대학교 _제2캠퍼스,자연과학,690.0,28.0,4.057971014492753
2012,경상국립대학교,공학,9422.0,298.0,3.1628104436425386
2012,경상국립대학교,의학,249.0,1.0,0.4016064257028112
2012,경상국립대학교,인문사회,8573.0,193.0,2.2512539367782574
2012,경상국립대학교,자연과학,2321.0,62.0,2.6712623869021974
2012,경성대학교,공학,4636.0,245.0,5.284728213977567
2012,경성대학교,예체능,2757.0,156.0,5.658324265505985
2012,경성대학교,의학,185.0,19.0,10.27027027027027
2012,경성대학교,인문사회,9440.0,389.0,4.1207627118644075
2012,경성대학교,자연과학,1521.0,69.0,4.536489151873767
2012,경운대학교,공학,317.0,18.0,5.678233438485805
2012,경운대학교,예체능,88.0,8.0,9.090909090909092
2012,경운대학교,인문사회,336.0,12.0,3.571428571428571
2012,경운대학교,자연과학,240.0,7.0,2.9166666666666665
2012,경운대학교(산업대),공학,919.0,81.0,8.8139281828074
2012,경운대학교(산업대),예체능,382.0,69.0,18.06282722513089
2012,경운대학교(산업대),인문사회,1968.0,257.0,13.058943089430894
2012,경운대학교(산업대),자연과학,548.0,15.0,2.737226277372263
2012,경인교육대학교,인문사회,1491.0,23.0,1.5425888665325285
2012,경인교육대학교 _제2캠퍼스,인문사회,1556.0,12.0,0.7712082262210797
2012,경일대학교,공학,3661.0,278.0,7.593553673859602
2012,경일대학교,예체능,1056.0,74.0,7.007575757575757
2012,경일대학교,인문사회,2611.0,181.0,6.932209881271543
2012,경일대학교,자연과학,139.0,1.0,0.7194244604316548
2012,경희대학교,공학,9711.0,219.0,2.255174544331171
2012,경희대학교,예체능,1964.0,33.0,1.680244399185336
2012,경희대학교,의학,842.0,10.0,1.187648456057007
2012,경희대학교,인문사회,14534.0,247.0,1.6994633273703041
2012,경희대학교,자연과학,3012.0,59.0,1.9588313413014609
2012,계명대학교,공학,4986.0,196.0,3.931006819093462
2012,계명대학교,예체능,3300.0,130.0,3.939393939393939
2012,계명대학교,의학,314.0,0.0,0.0
2012,계명대학교,인문사회,14109.0,516.0,3.657240059536466
2012,계명대학교,자연과학,2095.0,38.0,1.8138424821002388
2012,고려대학교,공학,7988.0,219.0,2.741612418627942
2012,고려대학교,예체능,126.0,3.0,2.380952380952381
2012,고려대학교,의학,254.0,2.0,0.7874015748031495
2012,고려대학교,인문사회,14649.0,120.0,0.819168543927913
2012,고려대학교,자연과학,2299.0,45.0,1.9573727707699
2012,고려대학교(세종) _분교,공학,3009.0,94.0,3.1239614489863743
2012,고려대학교(세종) _분교,예체능,858.0,20.0,2.331002331002331
2012,고려대학교(세종) _분교,인문사회,4955.0,134.0,2.7043390514631684
2012,고려대학교(세종) _분교,자연과학,1097.0,36.0,3.2816773017319965
2012,고신대학교,공학,677.0,64.0,9.453471196454949
2012,고신대학교,예체능,531.0,69.0,12.994350282485875
2012,고신대학교,의학,307.0,0.0,0.0
2012,고신대학교,인문사회,2575.0,157.0,6.097087378640777
2012,고신대학교,자연과학,1032.0,34.0,3.2945736434108532
2012,공주교육대학교,인문사회,1871.0,15.0,0.8017103153393906
2012,광신대학교,예체능,102.0,13.0,12.745098039215685
2012,광신대학교,인문사회,507.0,49.0,9.664694280078894
2012,광운대학교,공학,6823.0,200.0,2.9312619082515026
2012,광운대학교,예체능,793.0,14.0,1.7654476670870116
2012,광운대학교,인문사회,3557.0,121.0,3.4017430418892323
2012,광운대학교,자연과학,648.0,23.0,3.5493827160493825
2012,광주가톨릭대학교,인문사회,134.0,4.0,2.9850746268656714
2012,광주과학기술원,공학,71.0,1.0,1.4084507042253522
2012,광주과학기술원,인문사회,203.0,5.0,2.4630541871921183
2012,광주과학기술원,자연과학,19.0,0.0,0.0
2012,광주교육대학교,인문사회,1688.0,14.0,0.8293838862559242
2012,광주대학교,공학,1430.0,126.0,8.811188811188812
2012,광주대학교,예체능,873.0,73.0,8.36197021764032
2012,광주대학교,의학,71.0,9.0,12.676056338028168
2012,광주대학교,인문사회,5305.0,436.0,8.2186616399623
2012,광주대학교,자연과학,665.0,37.0,5.56390977443609
2012,광주대학교(산업대),공학,28.0,10.0,35.714285714285715
2012,광주대학교(산업대),예체능,11.0,1.0,9.090909090909092
2012,광주대학교(산업대),인문사회,60.0,6.0,10.0
2012,광주대학교(산업대),자연과학,4.0,0.0,0.0
2012,광주여자대학교,공학,498.0,12.0,2.4096385542168677
2012,광주여자대학교,예체능,1060.0,60.0,5.660377358490567
2012,광주여자대학교,의학,118.0,8.0,6.779661016949152
2012,광주여자대학교,인문사회,1499.0,78.0,5.203468979319546
2012,광주여자대학교,자연과학,661.0,19.0,2.8744326777609683
2012,국립강릉원주대학교,공학,3397.0,164.0,4.827789225787459
2012,국립강릉원주대학교,예체능,577.0,33.0,5.719237435008666
2012,국립강릉원주대학교,의학,158.0,0.0,0.0
2012,국립강릉원주대학교,인문사회,3576.0,134.0,3.7472035794183443
2012,국립강릉원주대학교,자연과학,794.0,59.0,7.43073047858942
2012,국립강릉원주대학교 _제2캠퍼스,공학,1166.0,53.0,4.545454545454546
2012,국립강릉원주대학교 _제2캠퍼스,예체능,421.0,17.0,4.038004750593824
2012,국립강릉원주대학교 _제2캠퍼스,인문사회,175.0,2.0,1.1428571428571428
2012,국립강릉원주대학교 _제2캠퍼스,자연과학,328.0,2.0,0.6097560975609756
2012,국립경국대학교,공학,3977.0,191.0,4.802615036459643
2012,국립경국대학교,예체능,607.0,36.0,5.930807248764415
2012,국립경국대학교,의학,187.0,6.0,3.2085561497326207
2012,국립경국대학교,인문사회,3950.0,132.0,3.3417721518987342
2012,국립경국대학교,자연과학,1231.0,58.0,4.711616571892771
2012,국립공주대학교,공학,7765.0,425.0,5.473277527366387
2012,국립공주대학교,예체능,33.0,3.0,9.090909090909092
2012,국립공주대학교,인문사회,7076.0,164.0,2.317693612210288
2012,국립공주대학교,자연과학,1362.0,56.0,4.1116005873715125
2012,국립군산대학교,공학,6393.0,459.0,7.1797278273111225
2012,국립군산대학교,예체능,550.0,36.0,6.545454545454546
2012,국립군산대학교,인문사회,3109.0,180.0,5.7896429720167255
2012,국립군산대학교,자연과학,1010.0,58.0,5.742574257425743
2012,국립금오공과대학교,공학,7951.0,233.0,2.9304490001257704
2012,국립금오공과대학교,예체능,103.0,3.0,2.912621359223301
2012,국립금오공과대학교,인문사회,117.0,3.0,2.564102564102564
2012,국립금오공과대학교,자연과학,500.0,26.0,5.2
2012,국립목포대학교,공학,4547.0,203.0,4.464482076094128
2012,국립목포대학교,예체능,606.0,31.0,5.115511551155116
2012,국립목포대학교,인문사회,4333.0,144.0,3.323332564043388
2012,국립목포대학교,자연과학,1008.0,45.0,4.464285714285714
2012,국립목포해양대학교,공학,1336.0,84.0,6.287425149700598
2012,국립목포해양대학교,인문사회,213.0,6.0,2.8169014084507045
2012,국립부경대학교,공학,12398.0,376.0,3.032747217293112
2012,국립부경대학교,예체능,456.0,11.0,2.4122807017543857
2012,국립부경대학교,인문사회,7160.0,238.0,3.324022346368715
2012,국립부경대학교,자연과학,1283.0,50.0,3.897116134060795
2012,국립순천대학교,공학,3908.0,390.0,9.979529170931423
2012,국립순천대학교,예체능,818.0,47.0,5.745721271393643
2012,국립순천대학교,의학,94.0,8.0,8.51063829787234
2012,국립순천대학교,인문사회,4122.0,200.0,4.85201358563804
