기준년도,학교,계열,재적학생수,중도탈락학생수,중도탈락비율_재계산
2010,가야대학교,공학계열,74,9,12.16
2010,가야대학교 _제2캠퍼스,공학계열,173,5,2.89
2010,가야대학교 _제2캠퍼스,예체능계열,203,17,8.37
2010,가야대학교 _제2캠퍼스,의학계열,497,14,2.82
2010,가야대학교 _제2캠퍼스,인문사회계열,1472,132,8.97
2010,가야대학교 _제2캠퍼스,자연과학계열,629,65,10.33
2010,가천대학교,공학계열,5250,138,2.63
2010,가천대학교,예체능계열,1834,60,3.27
2010,가천대학교,의학계열,435,5,1.15
2010,가천대학교,인문사회계열,6642,175,2.63
2010,가천대학교,자연과학계열,2705,94,3.48
2010,가천의과학대학교,공학계열,1361,67,4.92
2010,가천의과학대학교,예체능계열,257,15,5.84
2010,가천의과학대학교,의학계열,773,13,1.68
2010,가천의과학대학교,인문사회계열,956,42,4.39
2010,가천의과학대학교,자연과학계열,1399,40,2.86
2010,가톨릭관동대학교,공학계열,1932,161,8.33
2010,가톨릭관동대학교,예체능계열,1618,201,12.42
2010,가톨릭관동대학교,의학계열,562,10,1.78
2010,가톨릭관동대학교,인문사회계열,8978,595,6.63
2010,가톨릭관동대학교,자연과학계열,249,12,4.82
2010,가톨릭꽃동네대학교,의학계열,173,4,2.31
2010,가톨릭꽃동네대학교,인문사회계열,445,13,2.92
2010,가톨릭대학교,공학계열,1180,35,2.97
2010,가톨릭대학교,예체능계열,272,10,3.68
2010,가톨릭대학교,인문사회계열,6138,161,2.62
2010,가톨릭대학교,자연과학계열,2365,77,3.26
2010,가톨릭대학교 _제2캠퍼스,의학계열,688,4,0.58
2010,가톨릭대학교 _제3캠퍼스,기타,334,5,1.5
2010,감리교신학대학교,기타,34,4,11.76
2010,감리교신학대학교,인문사회계열,1194,32,2.68
2010,강남대학교,공학계열,2151,127,5.9
2010,강남대학교,기타,174,14,8.05
2010,강남대학교,예체능계열,333,27,8.11
2010,강남대학교,인문사회계열,6516,301,4.62
2010,강남대학교,자연과학계열,61,1,1.64
2010,강서대학교,예체능계열,231,31,13.42
2010,강서대학교,인문사회계열,1016,84,8.27
2010,강원대학교,공학계열,5623,213,3.79
2010,강원대학교,기타,107,4,3.74
2010,강원대학교,예체능계열,1029,46,4.47
2010,강원대학교,의학계열,650,5,0.77
2010,강원대학교,인문사회계열,9066,214,2.36
2010,강원대학교,자연과학계열,5968,191,3.2
2010,강원대학교 _제2캠퍼스,공학계열,5324,301,5.65
2010,강원대학교 _제2캠퍼스,예체능계열,977,68,6.96
2010,강원대학교 _제2캠퍼스,의학계열,179,2,1.12
2010,강원대학교 _제2캠퍼스,인문사회계열,2255,121,5.37
2010,강원대학교 _제2캠퍼스,자연과학계열,1180,49,4.15
2010,건국대학교,공학계열,5602,106,1.89
2010,건국대학교,예체능계열,1368,17,1.24
2010,건국대학교,의학계열,551,8,1.45
2010,건국대학교,인문사회계열,10724,144,1.34
2010,건국대학교,자연과학계열,4882,138,2.83
2010,건국대학교(글로컬) _분교,공학계열,2097,87,4.15
2010,건국대학교(글로컬) _분교,예체능계열,1100,26,2.36
2010,건국대학교(글로컬) _분교,의학계열,249,1,0.4
2010,건국대학교(글로컬) _분교,인문사회계열,5551,137,2.47
2010,건국대학교(글로컬) _분교,자연과학계열,2650,88,3.32
2010,건동대학교,공학계열,240,33,13.75
2010,건동대학교,예체능계열,200,15,7.5
2010,건동대학교,의학계열,18,1,5.56
2010,건동대학교,인문사회계열,163,23,14.11
2010,건동대학교,자연과학계열,14,0,0
2010,건양대학교,공학계열,2692,182,6.76
2010,건양대학교,예체능계열,880,59,6.7
2010,건양대학교,의학계열,306,5,1.63
2010,건양대학교,인문사회계열,4876,290,5.95
2010,건양대학교,자연과학계열,799,27,3.38
2010,건양대학교 _제2캠퍼스,공학계열,225,9,4
2010,건양대학교 _제2캠퍼스,의학계열,1027,7,0.68
2010,건양대학교 _제2캠퍼스,자연과학계열,375,8,2.13
2010,경기대학교,공학계열,3350,109,3.25
2010,경기대학교,예체능계열,1111,37,3.33
2010,경기대학교,인문사회계열,8448,266,3.15
2010,경기대학교,자연과학계열,2302,82,3.56
2010,경기대학교 _제2캠퍼스,공학계열,231,12,5.19
2010,경기대학교 _제2캠퍼스,예체능계열,368,17,4.62
2010,경기대학교 _제2캠퍼스,인문사회계열,1187,37,3.12
2010,경남대학교,공학계열,5879,346,5.89
2010,경남대학교,예체능계열,1022,65,6.36
2010,경남대학교,의학계열,88,1,1.14
2010,경남대학교,인문사회계열,12357,493,3.99
2010,경남대학교,자연과학계열,1377,76,5.52
2010,경동대학교,공학계열,944,53,5.61
2010,경동대학교,예체능계열,647,75,11.59
2010,경동대학교,의학계열,48,0,0
2010,경동대학교,인문사회계열,2572,200,7.78
2010,경동대학교,자연과학계열,441,9,2.04
2010,경북대학교,공학계열,9052,204,2.25
2010,경북대학교,예체능계열,665,23,3.46
2010,경북대학교,의학계열,812,16,1.97
2010,경북대학교,인문사회계열,11547,208,1.8
2010,경북대학교,자연과학계열,5852,168,2.87
2010,경북대학교 _제2캠퍼스,공학계열,817,20,2.45
2010,경북대학교 _제2캠퍼스,예체능계열,159,8,5.03
2010,경북대학교 _제2캠퍼스,인문사회계열,366,3,0.82
2010,경북대학교 _제2캠퍼스,자연과학계열,935,19,2.03
2010,경북외국어대학교,인문사회계열,436,19,4.36
2010,경상국립대학교,공학계열,6900,207,3
2010,경상국립대학교,예체능계열,74,5,6.76
2010,경상국립대학교,의학계열,634,13,2.05
2010,경상국립대학교,인문사회계열,8400,177,2.11
2010,경상국립대학교,자연과학계열,5474,188,3.43
2010,경성대학교,공학계열,3692,161,4.36
2010,경성대학교,기타,111,12,10.81
2010,경성대학교,예체능계열,3019,169,5.6
2010,경성대학교,의학계열,119,1,0.84
2010,경성대학교,인문사회계열,10345,375,3.62
2010,경성대학교,자연과학계열,2257,104,4.61
2010,경운대학교(산업대),공학계열,1635,101,6.18
2010,경운대학교(산업대),예체능계열,1310,196,14.96
2010,경운대학교(산업대),의학계열,399,12,3.01
2010,경운대학교(산업대),인문사회계열,2457,261,10.62
2010,경운대학교(산업대),자연과학계열,679,24,3.53
2010,경인교육대학교,인문사회계열,1775,17,0.96
2010,경인교육대학교 _제2캠퍼스,인문사회계열,1738,21,1.21
2010,경일대학교,공학계열,3715,305,8.21
2010,경일대학교,예체능계열,1338,112,8.37
2010,경일대학교,의학계열,69,2,2.9
2010,경일대학교,인문사회계열,2461,221,8.98
2010,경일대학교,자연과학계열,161,22,13.66
2010,경희대학교,공학계열,880,19,2.16
2010,경희대학교,예체능계열,1233,28,2.27
2010,경희대학교,의학계열,1556,9,0.58
2010,경희대학교,인문사회계열,11447,194,1.69
