기준년도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2010,가야대학교 _제2캠퍼스,공학계열,345,28,8.12
2010,가야대학교 _제2캠퍼스,예체능계열,135,9,6.67
2010,가야대학교 _제2캠퍼스,인문사회계열,1869,160,8.56
2010,가야대학교 _제2캠퍼스,자연과학계열,1924,136,7.07
2010,가천대학교,공학계열,7871,219,2.78
2010,가천대학교,예체능계열,3095,88,2.84
2010,가천대학교,의학계열,196,2,1.02
2010,가천대학교,인문사회계열,7291,182,2.5
2010,가천대학교,자연과학계열,3565,96,2.69
2010,가천의과학대학교,공학계열,2353,91,3.87
2010,가천의과학대학교,예체능계열,881,45,5.11
2010,가천의과학대학교,인문사회계열,1472,60,4.08
2010,가천의과학대학교,자연과학계열,2786,76,2.73
2010,가톨릭관동대학교,공학계열,3410,271,7.95
2010,가톨릭관동대학교,예체능계열,2022,223,11.03
2010,가톨릭관동대학교,의학계열,362,8,2.21
2010,가톨릭관동대학교,인문사회계열,10195,760,7.45
2010,가톨릭관동대학교,자연과학계열,4370,231,5.29
2010,가톨릭꽃동네대학교,공학계열,173,4,2.31
2010,가톨릭꽃동네대학교,인문사회계열,445,13,2.92
2010,가톨릭꽃동네대학교,자연과학계열,173,4,2.31
2010,가톨릭대학교,공학계열,2655,80,3.01
2010,가톨릭대학교,예체능계열,952,28,2.94
2010,가톨릭대학교,인문사회계열,6815,184,2.7
2010,가톨릭대학교,자연과학계열,2932,95,3.24
2010,가톨릭대학교 _제2캠퍼스,공학계열,325,3,0.92
2010,가톨릭대학교 _제2캠퍼스,의학계열,363,1,0.28
2010,가톨릭대학교 _제2캠퍼스,자연과학계열,688,4,0.58
2010,가톨릭대학교 _제3캠퍼스,인문사회계열,334,5,1.5
2010,감리교신학대학교,인문사회계열,1228,36,2.93
2010,강남대학교,공학계열,1995,123,6.17
2010,강남대학교,예체능계열,1306,99,7.58
2010,강남대학교,인문사회계열,6749,312,4.62
2010,강남대학교,자연과학계열,419,26,6.21
2010,강서대학교,예체능계열,231,31,13.42
2010,강서대학교,인문사회계열,1016,84,8.27
2010,강원대학교,공학계열,6722,228,3.39
2010,강원대학교,예체능계열,1153,49,4.25
2010,강원대학교,의학계열,229,5,2.18
2010,강원대학교,인문사회계열,8648,213,2.46
2010,강원대학교,자연과학계열,8505,243,2.86
2010,강원대학교 _제2캠퍼스,공학계열,6488,353,5.44
2010,강원대학교 _제2캠퍼스,예체능계열,1608,118,7.34
2010,강원대학교 _제2캠퍼스,인문사회계열,2440,143,5.86
