기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,가야대학교,인문ㆍ사회계열,144,22.2
2012,가야대학교 _제2캠퍼스,인문ㆍ사회계열,1400,100.6
2012,가야대학교 _제2캠퍼스,자연과학계열,1206,96.1
2012,가야대학교 _제2캠퍼스,공학계열,40,40
2012,가천대학교,인문ㆍ사회계열,5550,122.4
2012,가천대학교,자연과학계열,2909,109.6
2012,가천대학교,공학계열,5450,101.4
2012,가천대학교,의학계열,120,95.8
2012,가천대학교,예ㆍ체능계열,2012,101.8
2012,가톨릭관동대학교,의학계열,196,119.4
2012,가톨릭관동대학교,공학계열,1622,89.4
2012,가톨릭관동대학교,자연과학계열,618,113.9
2012,가톨릭관동대학교,인문ㆍ사회계열,5860,100.6
2012,가톨릭관동대학교,예ㆍ체능계열,1492,80.8
2012,가톨릭꽃동네대학교,인문ㆍ사회계열,320,104.4
2012,가톨릭꽃동네대학교,자연과학계열,160,107.5
2012,가톨릭대학교,예ㆍ체능계열,208,104.3
2012,가톨릭대학교,공학계열,1248,118.8
2012,가톨릭대학교,자연과학계열,1330,111.7
2012,가톨릭대학교,인문ㆍ사회계열,3586,123
2012,가톨릭대학교 _제2캠퍼스,의학계열,92,154.3
2012,가톨릭대학교 _제2캠퍼스,자연과학계열,300,119
2012,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,320,65.9
2012,감리교신학대학교,인문ㆍ사회계열,800,113.8
2012,강남대학교,예ㆍ체능계열,688,112.4
2012,강남대학교,공학계열,1028,99.4
2012,강남대학교,인문ㆍ사회계열,4912,114
2012,강서대학교,예ㆍ체능계열,165,88.5
2012,강서대학교,인문ㆍ사회계열,1155,122.1
2012,강원대학교,자연과학계열,5040,104.3
2012,강원대학교,인문ㆍ사회계열,4587,118.2
2012,강원대학교,예ㆍ체능계열,768,107.8
2012,강원대학교,의학계열,160,91.9
2012,강원대학교,공학계열,2817,115
2012,강원대학교 _제2캠퍼스,예ㆍ체능계열,941,88.2
2012,강원대학교 _제2캠퍼스,공학계열,3441,89.7
2012,강원대학교 _제2캠퍼스,자연과학계열,1437,94.2
2012,강원대학교 _제2캠퍼스,인문ㆍ사회계열,1129,103.9
2012,건국대학교,인문ㆍ사회계열,4201,178.3
2012,건국대학교,자연과학계열,2879,91.6
2012,건국대학교,의학계열,276,127.9
2012,건국대학교,예ㆍ체능계열,1466,132.5
2012,건국대학교,공학계열,3316,128
2012,건국대학교(글로컬) _분교,인문ㆍ사회계열,3105,123.8
2012,건국대학교(글로컬) _분교,예ㆍ체능계열,1370,110.9
2012,건국대학교(글로컬) _분교,공학계열,696,155.7
2012,건국대학교(글로컬) _분교,자연과학계열,1869,89
2012,건동대학교,공학계열,280,23.2
2012,건동대학교,자연과학계열,160,20
2012,건동대학교,인문ㆍ사회계열,280,23.2
2012,건동대학교,예ㆍ체능계열,478,48.5
2012,건양대학교,인문ㆍ사회계열,3735,103.5
2012,건양대학교,자연과학계열,523,96.6
2012,건양대학교,공학계열,1725,93.2
2012,건양대학교 _제2캠퍼스,자연과학계열,1348,116.3
2012,건양대학교 _제2캠퍼스,의학계열,196,120.9
2012,건양대학교 _제2캠퍼스,인문ㆍ사회계열,220,115.9
2012,경기대학교,자연과학계열,1232,104.6
2012,경기대학교,예ㆍ체능계열,1580,104.9
2012,경기대학교,공학계열,2588,108.9
2012,경기대학교,인문ㆍ사회계열,5040,123.4
2012,경기대학교 _제2캠퍼스,예ㆍ체능계열,440,108
