기준연도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2012.0,가야대학교,인문사회계열,44.0,6,13.64
2012.0,가야대학교 _제2캠퍼스,공학계열,26.0,4,15.38
2012.0,가야대학교 _제2캠퍼스,인문사회계열,1667.0,121,7.26
2012.0,가야대학교 _제2캠퍼스,자연과학계열,1505.0,93,6.18
2012.0,가천대학교,공학계열,7758.0,243,3.13
2012.0,가천대학교,예체능계열,2567.0,129,5.03
2012.0,가천대학교,의학계열,121.0,0,0.0
2012.0,가천대학교,인문사회계열,8661.0,237,2.74
2012.0,가천대학교,자연과학계열,3403.0,74,2.17
2012.0,가톨릭관동대학교,공학계열,2467.0,131,5.31
2012.0,가톨릭관동대학교,예체능계열,2158.0,123,5.7
2012.0,가톨릭관동대학교,의학계열,245.0,0,0.0
2012.0,가톨릭관동대학교,인문사회계열,9179.0,443,4.83
2012.0,가톨릭관동대학교,자연과학계열,829.0,30,3.62
2012.0,가톨릭꽃동네대학교,인문사회계열,457.0,12,2.63
2012.0,가톨릭꽃동네대학교,자연과학계열,194.0,0,0.0
2012.0,가톨릭대학교,공학계열,2156.0,83,3.85
2012.0,가톨릭대학교,예체능계열,282.0,11,3.9
2012.0,가톨릭대학교,인문사회계열,6078.0,174,2.86
2012.0,가톨릭대학교,자연과학계열,1983.0,76,3.83
2012.0,가톨릭대학교 _제2캠퍼스,의학계열,145.0,2,1.38
2012.0,가톨릭대학교 _제2캠퍼스,자연과학계열,380.0,7,1.84
2012.0,가톨릭대학교 _제3캠퍼스,인문사회계열,326.0,9,2.76
2012.0,감리교신학대학교,인문사회계열,1249.0,35,2.8
2012.0,강남대학교,공학계열,1567.0,82,5.23
2012.0,강남대학교,예체능계열,1019.0,53,5.2
2012.0,강남대학교,인문사회계열,6547.0,285,4.35
2012.0,강서대학교,예체능계열,197.0,28,14.21
2012.0,강서대학교,인문사회계열,1268.0,80,6.31
2012.0,강원대학교,공학계열,5684.0,196,3.45
2012.0,강원대학교,예체능계열,1053.0,48,4.56
2012.0,강원대학교,의학계열,160.0,4,2.5
2012.0,강원대학교,인문사회계열,8025.0,165,2.06
2012.0,강원대학교,자연과학계열,7367.0,212,2.88
2012.0,강원대학교 _제2캠퍼스,공학계열,6101.0,327,5.36
2012.0,강원대학교 _제2캠퍼스,예체능계열,1116.0,36,3.23
2012.0,강원대학교 _제2캠퍼스,인문사회계열,1767.0,48,2.72
2012.0,강원대학교 _제2캠퍼스,자연과학계열,1721.0,37,2.15
