기준년도,학교,학과,등록금
,,,
2010,가야대학교,사회복지학과,6475000
,,자율전공학부,6475000
,가야대학교 _제2캠퍼스,특수체육교육과,8169000
,,호텔조리영양학과,8169000
,,항만물류학과,6475000
,,초등특수교육과,7109000
,,작업치료학과,8169000
,,유아교육학과,7109000
,,언어치료청각학과,7937000
,,안경광학과,8169000
,,사회복지학과,6475000
,,보석디자인학과,8743000
,,방사선학과,8169000
,,도시토목환경학과,8096000
,,경찰행정학과,6475000
,,간호학과,8169000
,가천대학교,건축설비공학과,9727000
,,정보통신공학전공,8863300
,,전자공학전공,8863300
,,전자공학과,9727000
,,전자거래학전공,8818000
,,전자ㆍ정보통신공학부,9744000
,,전기공학전공,8863300
,,전기・소방공학부,9744000
,,작곡과,10078500
,,자유전공학부(인문),7586000
,,일어일문학과,7573000
,,인터랙티브미디어학과,9744000
,,인터넷미디어학전공,8818000
,,의상학과,8777000
,,의료경영학과,8777000
,,응용통계학과,8777000
,,유아교육학과,8777000
,,영어영문학과,7573000
,,역사철학전공,6676000
,,에너지생명공학부,9744000
,,조경학전공,8863300
,,조소과,10078500
,,중어중문학과,7573000
,,회화과,10078500
,,회계학전공,6676000
,,회계세무학과,7586000
,,회계・세무학전공,6707200
,,회계・세무학과,7586000
,,환경생명공학전공,8863300
,,화학생명공학전공,8863300
,,화학과,8777000
,,행정학전공,6710700
,,행정ㆍ도시행정학부,7586000
,,한의학과,8883000
,,한의예과,9834000
,,피아노과,10078500
,,토목환경공학과,9727000
,,태권도학과,8777000
,,컴퓨터소프트웨어전공,8863300
,,컴퓨터미디어전공,8863300
,,컴퓨터공학전공,8863300
,,컴퓨터공학과,9744000
,,아동학과,7874000
,,아동복지학과,8777000
,,도시행정학전공,6715000
,,도시계획학전공,8863300
,,도시계획조경학부,9744000
,,도시계획・조경학부,9744000
,,나노시스템전공,8886000
,,기계・자동차공학과,9727000
,,국어국문학과,7573000
,,관현악과,10078500
,,관광경영학과,7573000
,,경제학과,7573000
,,경영회계학부,7586000
,,경영학전공,6707200
,,경영학과,7586000
,,경영·회계학부,7586000
,,건축학전공,8863300
,,건축학부,9744000
,,건축학과,8734000
,,간호학과,8777000
,,건축공학전공,8863300
,,독어독문학과,7573000
,,디자인학부,10096000
,,무역학과,7573000
,,실내건축학과,9727000
,,신문방송학과,7573000
,,식품영양학과,8777000
,,식품생물공학과,9727000
,,시각디자인전공,9214700
,,수학정보학과,8777000
,,소프트웨어설계・경영학과,9744000
,,소방방재공학전공,8863300
,,성악과,10078500
,,섬유미술과,10078500
,,생명과학과,8777000
,,산업정보시스템공학과,9727000
,,산업디자인전공,9214700
,,사회체육학과,8777000
,,불어불문학과,7573000
,,법학과,7573000
,,바이오메디컬전공,8886000
,,바이오나노학부,9744000
,,물리학과,8777000
,가천의과학대학교,운동복지전공,7888700
,,유비쿼터스컴퓨팅전공,8764700
,,응급구조학과,8803500
,,의공학과,9647500
,,자율전공학과,8803500
,,정보공학부,9842000
,,정보처리전공,8764700
,,체육과학부,9094000
,,체육전공,7888700
,,치위생학과,8803500
,,컨벤션산업전공,6666000
,,의학과,11226000
,,약과학과,8803500
,,식품영양학과,8803500
,,간호학과,8803500
,,경상학부,7940000
,,경영전공,6666000
,,국제통상전공,6666000
,,멀티미디어전공,8764700
,,물리치료학과,8803500
,,방사선학과,8803500
,,보건행정학과,8803500
,,보건환경시스템학과,9647500
,,산업디자인학과,9647500
,,생명과학과,8803500
,가톨릭관동대학교,기독교학과,7226500
,,멀티미디어전공,9308000
,,무역학과,7226500
,,미디어문학과,7226500
,,미술과,9387500
,,법학과,7226500
,,보건환경학과,9308000
,,사학과,7226500
,,사회복지학과,7226500
,,사회체육학전공,9387500
,,수학교육과,8339500
,,스포츠건강관리학전공,9387500
,,스포츠경영관리학전공,7226500
,,국어교육과,7226500
,,교통공학전공,9308000
,,교육공학과,7226500
,,광고홍보학과,7226500
,,관현타악전공,9387500
,,관광경영학전공,7226500
,,경찰행정학과,7226500
,,경제금융학과,7226500
,,경영학과,7226500
,,경영정보학과,7226500
,,건축학전공,9292400
,,건축학부,9308000
,,건축공학전공,9308000
,,간호학과,8538000
,,가정교육과,8339500
,,스포츠레저학부,9387500
,,시각디자인학과,9387500
,,실용음악전공,9387500
,,호텔외식조리학전공,8339500
,,호텔경영학전공,7226500
,,호텔・관광학부,7226500
,,행정학과,7226500
,,항공여행학전공,7226500
,,피아노전공,9387500
,,토목공학과,9308000
,,컴퓨터학과,9308000
,,컴퓨터교육과,8339500
,,체육교육과,9387500
,,지리교육과,7226500
,,중국학과,7226500
,,정치외교학과,7226500
,,정보통신공학전공,9308000
,,전자정보통신공학부,9308000
,,전자공학전공,9308000
,,일어일문학과,7226500
,,인테리어디자인학과,9387500
,,의학과,11086000
,,의예과,11158000
,,의료공학과,9308000
,,의료경영학과,7226500
,,음악학부,9387500
,,영어영문학과,7226500
,,영어교육과,7226500
,가톨릭꽃동네대학교,사회복지학부,7860000
,,간호학과,9126000
,가톨릭대학교,정보통신전자공학부,9456000
,,정보통신공학전공,8576000
,,정보시스템공학전공,8576000
,,정경학부,7218000
,,자연과학부,8476000
,,일어일본문화전공,6338000
,,인문학부,7218000
,,의류학전공,7596000
,,음악과,9744000
,,영어영미문화전공,6338000
,,영어영문학전공,6338000
,,영미언어문화학부,7218000
,,정보통신전자공학전공,8576000
,,종교학과,7218000
,,중국언어문화전공,6338000
,,중국학전공,6338000
,,철학전공,6338000
,,컴퓨터공학전공,8576000
,,컴퓨터정보공학부,9456000
,,특수교육과,7218000
,,프랑스어문화학과,7218000
