기준연도,학교명,학과명,등록금,대계열
2014,가야대학교(김해),간호학과,7836000,자연과학계열
2014,가야대학교(김해),경찰행정학과,6096000,인문사회계열
2014,가야대학교(김해),귀금속주얼리학과,7612000,예체능계열
2014,가야대학교(김해),물리치료학과,7836000,자연과학계열
2014,가야대학교(김해),방사선학과,7836000,자연과학계열
2014,가야대학교(김해),사회복지학과,6096000,인문사회계열
2014,가야대학교(김해),안경광학과,7836000,자연과학계열
2014,가야대학교(김해),언어치료청각학과,7474000,자연과학계열
2014,가야대학교(김해),유아교육학과,6694000,인문사회계열
2014,가야대학교(김해),작업치료학과,7836000,자연과학계열
2014,가야대학교(김해),초등특수교육과,6694000,인문사회계열
2014,가야대학교(김해),호텔조리영양학과,7612000,자연과학계열
2014,가천대학교,간호학과,8955000,자연과학계열
2014,가천대학교,건축공학과,9968000,공학계열
2014,가천대학교,건축설비공학과,9084000,공학계열
2014,가천대학교,건축학과,9968000,공학계열
2014,가천대학교,건축학전공,9084000,공학계열
2014,가천대학교,경상학부,6880000,인문사회계열
2014,가천대학교,경영학과,6880000,인문사회계열
2014,가천대학교,경영학과,7764000,인문사회계열
2014,가천대학교,경영학과,7764000,인문사회계열
2014,가천대학교,경제학과,6880000,인문사회계열
2014,가천대학교,경찰안보학과,7764000,인문사회계열
2014,가천대학교,관광경영학과,7764000,인문사회계열
2014,가천대학교,관현악과,9446000,예체능계열
2014,가천대학교,국어국문학과,6880000,인문사회계열
2014,가천대학교,국제통상학과,6880000,인문사회계열
2014,가천대학교,글로벌경영학과,6880000,인문사회계열
2014,가천대학교,글로벌경제학과,7764000,인문사회계열
2014,가천대학교,글로벌헬스케어경영학과,8114000,인문사회계열
2014,가천대학교,기계자동차공학과,9084000,공학계열
2014,가천대학교,기계공학과,9968000,공학계열
2014,가천대학교,나노물리학과,8998000,자연과학계열
2014,가천대학교,나노시스템전공,9084000,자연과학계열
2014,가천대학교,나노화학과,8998000,자연과학계열
2014,가천대학교,독어독문학과,6880000,인문사회계열
2014,가천대학교,독일어문학과,6880000,인문사회계열
2014,가천대학교,동양어문학과,7764000,인문사회계열
