통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021,가야대학교(김해),단과대구분없음,간호학과,주간,1학기,662,"1,605,360.1",,,,,,,,,,,,,
,,,,,2학기,654,"1,887,485.9",,,,,,,,,,,,,
,,,경영물류학과,주간,1학기,161,"1,218,941.3",,,,,,,,,,,,,
,,,,,2학기,123,"1,311,956.6",,,,,,,,,,,,,
,,,경찰행정학과,주간,1학기,76,"1,621,955.6",,,,,,,,,,,,,
,,,,,2학기,63,"2,014,621.7",,,,,,,,,,,,,
,,,귀금속주얼리학과,주간,1학기,78,"2,096,567.3",,,,,,,,,,,,,
,,,,,2학기,62,"2,186,259.4",,,,,,,,,,,,,
,,,물리치료학과,주간,1학기,193,"2,128,342.1",,,,,,,,,,,,,
,,,,,2학기,192,"2,169,042.3",,,,,,,,,,,,,
,,,방사선학과,주간,1학기,194,"1,833,504.6",,,,,,,,,,,,,
,,,,,2학기,179,"1,969,251.5",,,,,,,,,,,,,
,,,사회복지재활학부,주간,1학기,194,"2,075,286.5",,,,,,,,,,,,,
,,,,,2학기,197,"1,961,540.7",,,,,,,,,,,,,
,,,스포츠재활복지학과,주간,1학기,50,"2,446,324",,,,,,,,,,,,,
,,,,,2학기,48,"2,094,009.2",,,,,,,,,,,,,
,,,안경광학과,주간,1학기,65,"1,240,323.1",,,,,,,,,,,,,
,,,,,2학기,60,"1,878,881.7",,,,,,,,,,,,,
,,,외식조리영양학부,주간,1학기,45,"1,668,555.6",,,,,,,,,,,,,
,,,,,2학기,43,"1,890,872.6",,,,,,,,,,,,,
,,,유아교육과,주간,1학기,66,"1,995,323.1",,,,,,,,,,,,,
,,,,,2학기,68,"1,898,036.8",,,,,,,,,,,,,
,,,작업치료학과,주간,1학기,96,"2,028,474",,,,,,,,,,,,,
,,,,,2학기,95,"2,459,755.8",,,,,,,,,,,,,
,,,특수교육과,주간,1학기,142,"1,749,603",,,,,,,,,,,,,
,,,,,2학기,118,"2,052,181.6",,,,,,,,,,,,,
,가천대학교,간호대학,간호학과,주간,1학기,"1,134","1,437,844.2",,,,,,,,,,,,,
,,,,,2학기,"1,134","1,598,460.1",,,,,,,,,,,,,
,,경영대학,경영학과(경영학트랙),주간,1학기,94,"61,123.4",,,,,,,,,,,,,
,,,,,2학기,37,"35,743.2",,,,,,,,,,,,,
,,,,야간,1학기,47,"1,342,231.9",,,,,,,,,,,,,
,,,,,2학기,29,"1,339,951.7",,,,,,,,,,,,,
,,,경영학과(글로벌경영학트랙),주간,1학기,34,0,,,,,,,,,,,,,
,,,,,2학기,13,0,,,,,,,,,,,,,
,,,경영학부,주간,1학기,352,"1,049,549.9",,,,,,,,,,,,,
,,,,,2학기,369,"1,144,832",,,,,,,,,,,,,
,,,경영학부(경영학),주간,1학기,"1,107","1,501,585.2",,,,,,,,,,,,,
,,,,,2학기,"1,135","1,535,277.6",,,,,,,,,,,,,
