기준연도,학교명,계열,재학생,1인당장학금
2010,가야대학교,공학계열,49,2278100
2010,가야대학교 _제2캠퍼스,의학계열,172,649000
2010,가야대학교 _제2캠퍼스,자연과학계열,98,1013000
2010,가천대학교,공학계열,122,1641100
2010,가천대학교,공학계열,180,915600
2010,가천의과학대학교,공학계열,26,834300
2010,가천의과학대학교,인문사회계열,46,1341200
2010,가천의과학대학교,의학계열,126,1223100
2010,가톨릭대학교,자연과학계열,176,2497600
2010,가톨릭대학교,자연과학계열,124,774300
2010,가톨릭대학교,공학계열,59,1311500
2010,가톨릭대학교,인문사회계열,98,1328600
2010,가톨릭대학교 _제3캠퍼스,인문사회계열,221,4867100
2010,감리교신학대학교,공학계열,30,1123600
2010,감리교신학대학교,공학계열,211,1247900
2010,감리교신학대학교,공학계열,167,974500
2010,감리교신학대학교,공학계열,107,939500
2010,감리교신학대학교,공학계열,102,2095600
2010,감리교신학대학교,공학계열,159,855400
2010,감리교신학대학교,공학계열,25,931800
2010,감리교신학대학교,자연과학계열,32,404600
2010,감리교신학대학교,공학계열,34,678800
2010,감리교신학대학교,인문사회계열,35,415600
2010,감리교신학대학교,자연과학계열,61,1029500
2010,감리교신학대학교,공학계열,39,298400
2010,강원대학교 _제2캠퍼스,공학계열,102,1997800
2010,강원대학교 _제2캠퍼스,공학계열,35,663600
2010,강원대학교 _제2캠퍼스,공학계열,54,1438300
2010,강원대학교 _제2캠퍼스,공학계열,41,926300
2010,강원대학교 _제2캠퍼스,자연과학계열,86,1849800
2010,강원대학교 _제2캠퍼스,공학계열,160,1654000
2010,강원대학교 _제2캠퍼스,공학계열,124,1508500
2010,강원대학교 _제2캠퍼스,공학계열,22,1821400
2010,강원대학교 _제2캠퍼스,공학계열,17,2760300
2010,건양대학교,공학계열,150,1047500
2010,건양대학교,예체능계열,135,1774400
2010,건양대학교,의학계열,200,1254800
2010,건양대학교 _제2캠퍼스,자연과학계열,103,996700
2010,경남대학교,공학계열,94,705300
2010,경남대학교,공학계열,39,1046700
2010,경남대학교,공학계열,125,757500
2010,경남대학교,공학계열,215,2860600
2010,경북대학교,공학계열,50,980400
2010,경북대학교,자연과학계열,49,1155000
2010,경북대학교,공학계열,81,1343600
2010,경북대학교,인문사회계열,205,832300
