기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가야대학교(김해),단과대구분없음,간호학과,주간,1학기,662,1605360.1
2021,가야대학교(김해),단과대구분없음,간호학과,주간,2학기,654,1887485.9
2021,가야대학교(김해),단과대구분없음,경영물류학과,주간,1학기,161,1218941.3
2021,가야대학교(김해),단과대구분없음,경영물류학과,주간,2학기,123,1311956.6
2021,가야대학교(김해),단과대구분없음,경찰행정학과,주간,1학기,76,1621955.6
2021,가야대학교(김해),단과대구분없음,경찰행정학과,주간,2학기,63,2014621.7
2021,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,1학기,78,2096567.3
2021,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,2학기,62,2186259.4
2021,가야대학교(김해),단과대구분없음,물리치료학과,주간,1학기,193,2128342.1
2021,가야대학교(김해),단과대구분없음,물리치료학과,주간,2학기,192,2169042.3
2021,가야대학교(김해),단과대구분없음,방사선학과,주간,1학기,194,1833504.6
2021,가야대학교(김해),단과대구분없음,방사선학과,주간,2학기,179,1969251.5
2021,가야대학교(김해),단과대구분없음,사회복지재활학부,주간,1학기,194,2075286.5
2021,가야대학교(김해),단과대구분없음,사회복지재활학부,주간,2학기,197,1961540.7
2021,가야대학교(김해),단과대구분없음,스포츠재활복지학과,주간,1학기,50,2446324.0
2021,가야대학교(김해),단과대구분없음,스포츠재활복지학과,주간,2학기,48,2094009.2
2021,가야대학교(김해),단과대구분없음,안경광학과,주간,1학기,65,1240323.1
2021,가야대학교(김해),단과대구분없음,안경광학과,주간,2학기,60,1878881.7
2021,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,1학기,45,1668555.6
2021,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,2학기,43,1890872.6
2021,가야대학교(김해),단과대구분없음,유아교육과,주간,1학기,66,1995323.1
2021,가야대학교(김해),단과대구분없음,유아교육과,주간,2학기,68,1898036.8
2021,가야대학교(김해),단과대구분없음,작업치료학과,주간,1학기,96,2028474.0
2021,가야대학교(김해),단과대구분없음,작업치료학과,주간,2학기,95,2459755.8
2021,가야대학교(김해),단과대구분없음,특수교육과,주간,1학기,142,1749603.0
2021,가야대학교(김해),단과대구분없음,특수교육과,주간,2학기,118,2052181.6
2021,가천대학교,간호대학,간호학과,주간,1학기,1134,1437844.2
2021,가천대학교,간호대학,간호학과,주간,2학기,1134,1598460.1
2021,가천대학교,경영대학,경영학과(경영학트랙),주간,1학기,94,61123.4
2021,가천대학교,경영대학,경영학과(경영학트랙),주간,2학기,37,35743.2
2021,가천대학교,경영대학,경영학과(경영학트랙),야간,1학기,47,1342231.9
2021,가천대학교,경영대학,경영학과(경영학트랙),야간,2학기,29,1339951.7
2021,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,1학기,34,0.0
2021,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,2학기,13,0.0
2021,가천대학교,경영대학,경영학부,주간,1학기,352,1049549.9
2021,가천대학교,경영대학,경영학부,주간,2학기,369,1144832.0
