기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
2013,가야대학교,자연과학계열,149,90,0,0,0
,,공학계열,20,10,0,0,0
,,인문ㆍ사회계열,383,172,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,가야대학교 _제2캠퍼스,공학계열,0,4,2,0,2
,,인문ㆍ사회계열,"1,325","1,366",58,22.8,23.6
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,322","1,355",33,40.1,41.1
,,예ㆍ체능계열,0,0,0,0,0
,가천대학교,공학계열,"5,749","6,225",175,32.9,35.6
,,의학계열,598,591,204,2.9,2.9
,,인문ㆍ사회계열,"7,203","8,701",232,31,37.5
,,예ㆍ체능계열,"2,173","2,208",57,38.1,38.7
,,자연과학계열,"3,438","3,698",144,23.9,25.7
,가톨릭관동대학교,인문ㆍ사회계열,"6,591","6,187",139,47.4,44.5
,,자연과학계열,640,732,42,15.2,17.4
,,공학계열,"1,846","1,623",75,24.6,21.6
,,의학계열,255,263,147,1.7,1.8
,,예ㆍ체능계열,"1,444","1,315",29,49.8,45.3
,가톨릭꽃동네대학교,자연과학계열,160,174,5,32,34.8
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,470,442,18,26.1,24.6
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,가톨릭대학교,자연과학계열,"1,477","1,622",57,25.9,28.5
,,공학계열,"1,357","1,581",34,39.9,46.5
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,274,242,6,45.7,40.3
,,인문ㆍ사회계열,"5,394","5,733",141,38.3,40.7
,가톨릭대학교 _제2캠퍼스,의학계열,"1,733","1,726",808,2.1,2.1
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,866,916,86,10.1,10.7
,,인문ㆍ사회계열,238,189,6,39.7,31.5
,가톨릭대학교 _제3캠퍼스,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,56,30,2,28,15
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,462,360,24,19.3,15
,감리교신학대학교,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,799","1,937",33,54.5,58.7
,,공학계열,0,0,0,0,0
,강남대학교,인문ㆍ사회계열,"5,794","6,283",163,35.5,38.5
,,예ㆍ체능계열,698,761,26,26.8,29.3
,,공학계열,"1,039","1,039",29,35.8,35.8
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,강서대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,453","1,511",42,34.6,36
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,150,150,7,21.4,21.4
,강원대학교,인문ㆍ사회계열,"6,428","6,967",214,30,32.6
,,자연과학계열,"6,519","6,415",257,25.4,25
,,의학계열,792,813,123,6.4,6.6
,,공학계열,"3,529","3,864",122,28.9,31.7
,,예ㆍ체능계열,"1,097","1,033",32,34.3,32.3
