기준연도,학교명,대계열,등록금
2014,가야대학교(고령) _제2캠퍼스,인문사회계열,5496000.0
2014,가야대학교(김해),예체능계열,7612000.0
2014,가야대학교(김해),인문사회계열,6561666.666666667
2014,가야대학교(김해),자연과학계열,7752285.714285715
2014,가천대학교,공학계열,9557453.125
2014,가천대학교,예체능계열,9362230.76923077
2014,가천대학교,의학계열,8922000.0
2014,가천대학교,인문사회계열,7395675.675675675
2014,가천대학교,자연과학계열,8811640.0
2014,가톨릭관동대학교,공학계열,8552884.615384616
2014,가톨릭관동대학교,예체능계열,8497545.454545455
2014,가톨릭관동대학교,의학계열,9850000.0
2014,가톨릭관동대학교,인문사회계열,6785081.481481481
2014,가톨릭관동대학교,자연과학계열,8550700.0
2014,가톨릭꽃동네대학교,인문사회계열,7368000.0
2014,가톨릭꽃동네대학교,자연과학계열,8546000.0
2014,가톨릭대학교,공학계열,8786857.142857144
2014,가톨릭대학교,예체능계열,9442000.0
2014,가톨릭대학교,인문사회계열,6573037.037037037
2014,가톨릭대학교,자연과학계열,7644200.0
2014,가톨릭대학교 _제2캠퍼스,자연과학계열,8666000.0
2014,가톨릭대학교 _제3캠퍼스,인문사회계열,7002000.0
2014,감리교신학대학교,인문사회계열,6201250.0
2014,강남대학교,공학계열,10015000.0
2014,강남대학교,예체능계열,10551600.0
2014,강남대학교,인문사회계열,7795500.0
2014,강남대학교,자연과학계열,10015000.0
2014,강서대학교,예체능계열,8749633.333333334
2014,강서대학교,인문사회계열,7027833.333333333
2014,강원대학교,공학계열,4542000.0
2014,강원대학교,예체능계열,4747600.0
2014,강원대학교,의학계열,5758000.0
2014,강원대학교,인문사회계열,3590000.0
2014,강원대학교,자연과학계열,4347329.787234043
2014,강원대학교 _제2캠퍼스,공학계열,4584608.695652174
2014,강원대학교 _제2캠퍼스,예체능계열,4625600.0
2014,강원대학교 _제2캠퍼스,인문사회계열,3553555.5555555555
2014,강원대학교 _제2캠퍼스,자연과학계열,4366000.0
2014,건국대학교,공학계열,9829153.846153846
2014,건국대학교,예체능계열,10084400.0
2014,건국대학교,의학계열,10184000.0
2014,건국대학교,인문사회계열,7457428.571428572
2014,건국대학교,자연과학계열,8828095.238095239
2014,건국대학교(글로컬) _분교,공학계열,9563000.0
2014,건국대학교(글로컬) _분교,예체능계열,9697714.285714285
2014,건국대학교(글로컬) _분교,인문사회계열,7333111.111111111
2014,건국대학교(글로컬) _분교,자연과학계열,8378888.888888889
2014,건양대학교,공학계열,7563125.0
2014,건양대학교,예체능계열,7310000.0
2014,건양대학교,인문사회계열,6463478.260869565
2014,건양대학교,자연과학계열,7451000.0
2014,건양대학교 _제2캠퍼스,의학계열,9546000.0
2014,건양대학교 _제2캠퍼스,인문사회계열,6366000.0
2014,건양대학교 _제2캠퍼스,자연과학계열,7861333.333333333
2014,경기대학교,공학계열,8909466.666666666
2014,경기대학교,예체능계열,8697750.0
2014,경기대학교,인문사회계열,7081000.0
2014,경기대학교,자연과학계열,7956666.666666667
2014,경기대학교 _제2캠퍼스,예체능계열,8908800.0
2014,경기대학교 _제2캠퍼스,인문사회계열,7268666.666666667
2014,경남과학기술대학교 (폐교),공학계열,3963166.6666666665
