기준연도,학교명,대계열,1인당장학금
2014,가야대학교(고령) _제2캠퍼스,인문사회계열,0.0
2014,가야대학교(김해),예체능계열,2303200.0
2014,가야대학교(김해),인문사회계열,2940514.244741874
2014,가야대학교(김해),자연과학계열,3217007.3305670815
2014,가천대학교,공학계열,3074145.7036775104
2014,가천대학교,예체능계열,2588130.973025048
2014,가천대학교,의학계열,4991100.0
2014,가천대학교,인문사회계열,2804346.633634509
2014,가천대학교,자연과학계열,3258883.517968117
2014,가톨릭관동대학교,공학계열,2909449.656893325
2014,가톨릭관동대학교,예체능계열,3615234.9236641224
2014,가톨릭관동대학교,의학계열,2172900.0
2014,가톨릭관동대학교,인문사회계열,2738226.511038726
2014,가톨릭관동대학교,자연과학계열,3302674.3119266056
2014,가톨릭꽃동네대학교,인문사회계열,4876200.0
2014,가톨릭꽃동네대학교,자연과학계열,5053900.0
2014,가톨릭대학교,공학계열,2744522.585669782
2014,가톨릭대학교,예체능계열,2088500.0
2014,가톨릭대학교,인문사회계열,2739935.885167464
2014,가톨릭대학교,자연과학계열,2943243.474842767
2014,가톨릭대학교 _제2캠퍼스,의학계열,1839800.0
2014,가톨릭대학교 _제2캠퍼스,자연과학계열,2985400.0
2014,가톨릭대학교 _제3캠퍼스,인문사회계열,5760800.0
2014,감리교신학대학교,인문사회계열,3464456.886898096
2014,강남대학교,공학계열,2878986.4983534575
2014,강남대학교,예체능계열,2804520.314735336
2014,강남대학교,인문사회계열,2507548.5063752276
2014,강남대학교,자연과학계열,2571800.0
2014,강서대학교,예체능계열,3444234.7517730496
2014,강서대학교,인문사회계열,3209421.1764705884
2014,강원대학교,공학계열,2433044.056338028
2014,강원대학교,예체능계열,2644337.6111817025
2014,강원대학교,의학계열,2031460.759493671
2014,강원대학교,인문사회계열,2324254.620716211
2014,강원대학교,자연과학계열,2397760.682085457
2014,강원대학교 _제2캠퍼스,공학계열,2915665.9892029217
2014,강원대학교 _제2캠퍼스,예체능계열,3173515.6576200416
2014,강원대학교 _제2캠퍼스,인문사회계열,3257640.4074702887
2014,강원대학교 _제2캠퍼스,자연과학계열,4160645.3895639745
2014,건국대학교,공학계열,2933982.135128637
2014,건국대학교,예체능계열,2887303.2608695654
2014,건국대학교,의학계열,3053600.0
2014,건국대학교,인문사회계열,2727485.061593638
2014,건국대학교,자연과학계열,3040758.0086580086
2014,건국대학교(글로컬) _분교,공학계열,3044841.366078281
2014,건국대학교(글로컬) _분교,예체능계열,3053889.8902368573
2014,건국대학교(글로컬) _분교,의학계열,0.0
2014,건국대학교(글로컬) _분교,인문사회계열,2865861.5480649187
2014,건국대학교(글로컬) _분교,자연과학계열,3111389.6813353566
2014,건양대학교,공학계열,3239912.542182227
2014,건양대학교,예체능계열,3576300.0
2014,건양대학교,인문사회계열,3142443.126520681
2014,건양대학교,자연과학계열,3616413.5826771655
2014,건양대학교 _제2캠퍼스,의학계열,2027700.0
2014,건양대학교 _제2캠퍼스,인문사회계열,3648900.0
2014,건양대학교 _제2캠퍼스,자연과학계열,3255003.34412082
