기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2021,가야대학교(김해),인문사회계열,569,800,71.1
2021,가야대학교(김해),자연과학계열,1333,1552,85.9
2021,가천대학교,인문사회계열,7329,5444,134.6
2021,가천대학교,자연과학계열,3261,3020,108
2021,가천대학교,공학계열,5802,5290,109.7
2021,가천대학교,예체능계열,1594,1440,110.7
2021,가천대학교,의학계열,260,244,106.6
2021,가톨릭관동대학교,인문사회계열,3222,3884,83
2021,가톨릭관동대학교,자연과학계열,1204,1328,90.7
2021,가톨릭관동대학교,공학계열,1198,1742,68.8
2021,가톨릭관동대학교,예체능계열,948,1270,74.6
2021,가톨릭관동대학교,의학계열,240,196,122.4
2021,가톨릭꽃동네대학교,인문사회계열,208,236,88.1
2021,가톨릭꽃동네대학교,자연과학계열,205,196,104.6
2021,가톨릭대학교,인문사회계열,3443,3223,106.8
2021,가톨릭대학교,자연과학계열,1304,1343,97.1
2021,가톨릭대학교,공학계열,1312,1342,97.8
2021,가톨릭대학교,예체능계열,163,180,90.6
2021,가톨릭대학교 _제2캠퍼스,자연과학계열,553,506,109.3
2021,가톨릭대학교 _제2캠퍼스,의학계열,359,372,96.5
2021,가톨릭대학교 _제3캠퍼스,인문사회계열,222,200,111
2021,감리교신학대학교,인문사회계열,707,800,88.4
2021,강남대학교,인문사회계열,3939,3914,100.6
2021,강남대학교,공학계열,1386,1446,95.9
2021,강남대학교,예체능계열,557,604,92.2
2021,강서대학교,인문사회계열,1048,708,148
2021,강서대학교,자연과학계열,288,280,102.9
2021,강서대학교,예체능계열,100,120,83.3
2021,강원대학교,인문사회계열,4265,4094,104.2
2021,강원대학교,자연과학계열,4677,4692,99.7
2021,강원대학교,공학계열,2693,2608,103.3
2021,강원대학교,예체능계열,579,610,94.9
2021,강원대학교,의학계열,166,160,103.8
2021,강원대학교 _제2캠퍼스,인문사회계열,812,997,81.4
2021,강원대학교 _제2캠퍼스,자연과학계열,1245,1410,88.3
2021,강원대학교 _제2캠퍼스,공학계열,2400,2946,81.5
2021,강원대학교 _제2캠퍼스,예체능계열,697,763,91.3
2021,건국대학교,인문사회계열,5423,3734,145.2
2021,건국대학교,자연과학계열,2004,1970,101.7
2021,건국대학교,공학계열,4962,4938,100.5
2021,건국대학교,예체능계열,1541,1220,126.3
2021,건국대학교,의학계열,315,276,114.1
2021,건국대학교(글로컬) _분교,인문사회계열,2292,2007,114.2
2021,건국대학교(글로컬) _분교,자연과학계열,1553,1665,93.3
2021,건국대학교(글로컬) _분교,공학계열,906,1059,85.6
2021,건국대학교(글로컬) _분교,예체능계열,1585,1465,108.2
2021,건양대학교,인문사회계열,1951,2045,95.4
2021,건양대학교,자연과학계열,437,475,92
2021,건양대학교,공학계열,567,760,74.6
2021,건양대학교,예체능계열,107,130,82.3
2021,건양대학교 _제2캠퍼스,인문사회계열,166,160,103.8
2021,건양대학교 _제2캠퍼스,자연과학계열,2039,1984,102.8
2021,건양대학교 _제2캠퍼스,공학계열,948,1050,90.3
2021,건양대학교 _제2캠퍼스,의학계열,238,196,121.4
2021,경기대학교,인문사회계열,5740,5129,111.9
2021,경기대학교,자연과학계열,1087,1161,93.6
2021,경기대학교,공학계열,2774,2698,102.8
2021,경기대학교,예체능계열,1350,1457,92.7
2021,경기대학교 _제2캠퍼스,인문사회계열,1606,901,178.2
2021,경기대학교 _제2캠퍼스,예체능계열,430,411,104.6
2021,경남과학기술대학교,인문사회계열,1116,1288,86.6
2021,경남과학기술대학교,자연과학계열,1206,1299,92.8
2021,경남과학기술대학교,공학계열,1806,1991,90.7
2021,경남과학기술대학교,예체능계열,142,158,89.9
2021,경남대학교,인문사회계열,4592,5175,88.7
2021,경남대학교,자연과학계열,1709,1970,86.8
2021,경남대학교,공학계열,2832,3426,82.7
2021,경남대학교,예체능계열,806,820,98.3
2021,경동대학교,인문사회계열,615,392,156.9
2021,경동대학교,자연과학계열,66,80,82.5
2021,경동대학교,공학계열,10,0,0
2021,경동대학교 _제3캠퍼스,인문사회계열,340,391,87
2021,경동대학교 _제3캠퍼스,자연과학계열,3495,3352,104.3
2021,경동대학교 _제4캠퍼스,인문사회계열,1245,1246,99.9
2021,경동대학교 _제4캠퍼스,자연과학계열,177,220,80.5
2021,경동대학교 _제4캠퍼스,공학계열,846,929,91.1
2021,경동대학교 _제4캠퍼스,예체능계열,319,389,82
2021,경북대학교,인문사회계열,5509,5008,110
2021,경북대학교,자연과학계열,5796,5954,97.3
2021,경북대학교,공학계열,6430,6188,103.9
2021,경북대학교,예체능계열,1009,1012,99.7
