기준연도,학교종류,대계열,재학생,실모집인원,재학생충원율
2014,가야대학교(고령) _제2캠퍼스,인문사회계열,1,72,1.4
2014,가야대학교(김해),인문사회계열,1285,1250,102.8
2014,가야대학교(김해),자연과학계열,1424,1398,101.9
2014,가천대학교,의학계열,119,120,99.2
2014,가천대학교,인문사회계열,7594,5710,133
2014,가천대학교,자연과학계열,3337,3057,109.2
2014,가천대학교,공학계열,5881,5229,112.5
2014,가천대학교,예체능계열,2076,1875,110.7
2014,가톨릭관동대학교,인문사회계열,5783,5685,101.7
2014,가톨릭관동대학교,공학계열,1643,1756,93.6
2014,가톨릭관동대학교,의학계열,218,196,111.2
2014,가톨릭관동대학교,예체능계열,1129,1272,88.8
2014,가톨릭관동대학교,자연과학계열,661,588,112.4
2014,가톨릭꽃동네대학교,자연과학계열,183,160,114.4
2014,가톨릭꽃동네대학교,인문사회계열,320,320,100
2014,가톨릭대학교,예체능계열,210,208,101
2014,가톨릭대학교,인문사회계열,4363,3560,122.6
2014,가톨릭대학교,자연과학계열,1453,1355,107.2
2014,가톨릭대학교,공학계열,1428,1249,114.3
2014,가톨릭대학교 _제2캠퍼스,의학계열,16,0,0
2014,가톨릭대학교 _제2캠퍼스,자연과학계열,389,320,121.6
2014,가톨릭대학교 _제3캠퍼스,인문사회계열,210,300,70
2014,감리교신학대학교,인문사회계열,910,800,113.8
2014,강남대학교,인문사회계열,5717,4904,116.6
2014,강남대학교,공학계열,1045,1036,100.9
2014,강남대학교,예체능계열,713,688,103.6
2014,강서대학교,예체능계열,147,145,101.4
2014,강서대학교,인문사회계열,1238,1175,105.4
2014,강원대학교,자연과학계열,5552,5168,107.4
2014,강원대학교,예체능계열,806,768,104.9
2014,강원대학교,공학계열,3337,2800,119.2
2014,강원대학교,의학계열,159,160,99.4
2014,강원대학교,인문사회계열,5421,4476,121.1
2014,강원대학교 _제2캠퍼스,인문사회계열,1210,1096,110.4
2014,강원대학교 _제2캠퍼스,예체능계열,872,940,92.8
2014,강원대학교 _제2캠퍼스,자연과학계열,1567,1540,101.8
2014,강원대학교 _제2캠퍼스,공학계열,3185,3340,95.4
2014,건국대학교,인문사회계열,6600,4275,154.4
2014,건국대학교,자연과학계열,2697,2731,98.8
2014,건국대학교,공학계열,4378,3400,128.8
2014,건국대학교,의학계열,338,276,122.5
2014,건국대학교,예체능계열,1816,1456,124.7
2014,건국대학교(글로컬) _분교,인문사회계열,4127,3130,131.9
2014,건국대학교(글로컬) _분교,공학계열,1079,968,111.5
2014,건국대학교(글로컬) _분교,예체능계열,1770,1560,113.5
2014,건국대학교(글로컬) _분교,의학계열,1,0,0
2014,건국대학교(글로컬) _분교,자연과학계열,1634,1382,118.2
2014,건양대학교,공학계열,1835,1740,105.5
2014,건양대학교,인문사회계열,3401,3084,110.3
2014,건양대학교,자연과학계열,515,516,99.8
2014,건양대학교,예체능계열,149,160,93.1
2014,건양대학교 _제2캠퍼스,인문사회계열,244,220,110.9
2014,건양대학교 _제2캠퍼스,자연과학계열,1866,1687,110.6
2014,건양대학교 _제2캠퍼스,의학계열,228,196,116.3
2014,경기대학교,예체능계열,1661,1580,105.1
2014,경기대학교,공학계열,3052,2620,116.5
2014,경기대학교,인문사회계열,6184,5060,122.2
2014,경기대학교,자연과학계열,1337,1212,110.3
2014,경기대학교 _제2캠퍼스,예체능계열,480,440,109.1
2014,경기대학교 _제2캠퍼스,인문사회계열,2189,1736,126.1
2014,경남과학기술대학교,예체능계열,103,120,85.8
2014,경남과학기술대학교,공학계열,1623,2305,70.4
2014,경남과학기술대학교,자연과학계열,1103,1412,78.1
2014,경남과학기술대학교,인문사회계열,1216,1529,79.5
2014,경남대학교,자연과학계열,1788,1785,100.2
2014,경남대학교,공학계열,3331,3460,96.3
2014,경남대학교,인문사회계열,7229,6847,105.6
2014,경남대학교,예체능계열,926,890,104
2014,경동대학교,자연과학계열,1218,1305,93.3
2014,경동대학교,공학계열,461,514,89.7
2014,경동대학교,예체능계열,92,133,69.2
2014,경동대학교,인문사회계열,1683,1722,97.7
2014,경동대학교 _제2캠퍼스,인문사회계열,177,266,66.5
2014,경동대학교 _제2캠퍼스,자연과학계열,89,120,74.2
2014,경동대학교 _제2캠퍼스,예체능계열,31,40,77.5
2014,경동대학교 _제2캠퍼스,공학계열,69,73,94.5
2014,경동대학교 _제3캠퍼스,자연과학계열,1046,950,110.1
2014,경동대학교 _제4캠퍼스,인문사회계열,213,201,106
2014,경동대학교 _제4캠퍼스,예체능계열,37,33,112.1
2014,경동대학교 _제4캠퍼스,공학계열,70,66,106.1
2014,경북대학교,공학계열,8414,6528,128.9
2014,경북대학교,인문사회계열,7647,5767,132.6
2014,경북대학교,자연과학계열,6734,6312,106.7
2014,경북대학교,예체능계열,1121,939,119.4
2014,경북대학교,의학계열,252,228,110.5
2014,경상국립대학교,의학계열,248,200,124
2014,경상국립대학교,예체능계열,287,280,102.5
2014,경상국립대학교,공학계열,5174,4363,118.6
2014,경상국립대학교,자연과학계열,4104,3707,110.7
2014,경상국립대학교,인문사회계열,5485,4592,119.4
2014,경성대학교,공학계열,2848,2570,110.8
2014,경성대학교,자연과학계열,1773,1700,104.3
2014,경성대학교,인문사회계열,6619,5790,114.3
2014,경성대학교,예체능계열,2453,2370,103.5
2014,경운대학교,공학계열,408,750,54.4
2014,경운대학교,자연과학계열,1215,1423,85.4
2014,경운대학교,예체능계열,493,786,62.7
2014,경운대학교,인문사회계열,813,1034,78.6
2014,경운대학교(산업대),자연과학계열,625,405,154.3
2014,경운대학교(산업대),예체능계열,525,365,143.8
2014,경운대학교(산업대),인문사회계열,704,450,156.4
2014,경운대학교(산업대),공학계열,461,240,192.1
2014,경인교육대학교,자연과학계열,161,674,23.9
2014,경인교육대학교,예체능계열,192,532,36.1
2014,경인교육대학교,인문사회계열,288,1254,23
2014,경인교육대학교 _제2캠퍼스,예체능계열,385,0,0
2014,경인교육대학교 _제2캠퍼스,자연과학계열,566,0,0
2014,경인교육대학교 _제2캠퍼스,인문사회계열,1042,0,0
2014,경일대학교,인문사회계열,2442,2290,106.6
2014,경일대학교,자연과학계열,580,650,89.2
2014,경일대학교,예체능계열,1141,1080,105.6
2014,경일대학교,공학계열,3261,3170,102.9
2014,경희대학교,공학계열,4943,4050,122
2014,경희대학교,자연과학계열,4566,3976,114.8
2014,경희대학교,인문사회계열,10867,7568,143.6
2014,경희대학교,예체능계열,4147,3680,112.7
2014,경희대학교,의학계열,443,432,102.5
2014,계명대학교,인문사회계열,12592,10177,123.7
2014,계명대학교,자연과학계열,2967,2597,114.2
2014,계명대학교,공학계열,3996,3524,113.4
2014,계명대학교,의학계열,306,304,100.7
2014,계명대학교,예체능계열,3733,3580,104.3
2014,고려대학교,인문사회계열,10621,7496,141.7
2014,고려대학교,공학계열,4459,3228,138.1
2014,고려대학교,의학계열,241,212,113.7
2014,고려대학교,예체능계열,592,520,113.8
2014,고려대학교,자연과학계열,4177,3820,109.3
2014,고려대학교(세종) _분교,공학계열,1767,1479,119.5
2014,고려대학교(세종) _분교,예체능계열,532,425,125.2
