기준연도,학교명,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
2013,가야대학교 _제2캠퍼스,공학계열,0,4,2,0.0,2.0
2013,가야대학교 _제2캠퍼스,인문ㆍ사회계열,1325,1366,58,22.8,23.6
2013,가야대학교 _제2캠퍼스,자연과학계열,1322,1355,33,40.1,41.1
2013,가천대학교,공학계열,5749,6225,175,32.9,35.6
2013,가천대학교,의학계열,598,591,204,2.9,2.9
2013,가천대학교,인문ㆍ사회계열,7203,8701,232,31.0,37.5
2013,가천대학교,예ㆍ체능계열,2173,2208,57,38.1,38.7
2013,가천대학교,자연과학계열,3438,3698,144,23.9,25.7
2013,가톨릭관동대학교,인문ㆍ사회계열,6591,6187,139,47.4,44.5
2013,가톨릭관동대학교,자연과학계열,640,732,42,15.2,17.4
2013,가톨릭관동대학교,공학계열,1846,1623,75,24.6,21.6
2013,가톨릭관동대학교,의학계열,255,263,147,1.7,1.8
2013,가톨릭관동대학교,예ㆍ체능계열,1444,1315,29,49.8,45.3
2013,가톨릭꽃동네대학교,자연과학계열,160,174,5,32.0,34.8
2013,가톨릭꽃동네대학교,인문ㆍ사회계열,470,442,18,26.1,24.6
2013,가톨릭대학교,자연과학계열,1477,1622,57,25.9,28.5
2013,가톨릭대학교,공학계열,1357,1581,34,39.9,46.5
2013,가톨릭대학교,예ㆍ체능계열,274,242,6,45.7,40.3
2013,가톨릭대학교,인문ㆍ사회계열,5394,5733,141,38.3,40.7
2013,가톨릭대학교 _제2캠퍼스,의학계열,1733,1726,808,2.1,2.1
2013,가톨릭대학교 _제2캠퍼스,자연과학계열,866,916,86,10.1,10.7
2013,가톨릭대학교 _제2캠퍼스,인문ㆍ사회계열,238,189,6,39.7,31.5
2013,가톨릭대학교 _제3캠퍼스,예ㆍ체능계열,56,30,2,28.0,15.0
2013,가톨릭대학교 _제3캠퍼스,인문ㆍ사회계열,462,360,24,19.3,15.0
2013,감리교신학대학교,인문ㆍ사회계열,1799,1937,33,54.5,58.7
2013,강남대학교,인문ㆍ사회계열,5794,6283,163,35.5,38.5
2013,강남대학교,예ㆍ체능계열,698,761,26,26.8,29.3
2013,강남대학교,공학계열,1039,1039,29,35.8,35.8
2013,강서대학교,인문ㆍ사회계열,1453,1511,42,34.6,36.0
2013,강서대학교,예ㆍ체능계열,150,150,7,21.4,21.4
2013,강원대학교,인문ㆍ사회계열,6428,6967,214,30.0,32.6
2013,강원대학교,자연과학계열,6519,6415,257,25.4,25.0
2013,강원대학교,의학계열,792,813,123,6.4,6.6
2013,강원대학교,공학계열,3529,3864,122,28.9,31.7
2013,강원대학교,예ㆍ체능계열,1097,1033,32,34.3,32.3
2013,강원대학교 _제2캠퍼스,공학계열,3540,3239,104,34.0,31.1
2013,강원대학교 _제2캠퍼스,인문ㆍ사회계열,1147,1184,43,26.7,27.5
2013,강원대학교 _제2캠퍼스,예ㆍ체능계열,965,886,24,40.2,36.9
2013,강원대학교 _제2캠퍼스,자연과학계열,1539,1488,28,55.0,53.1
2013,건국대학교,인문ㆍ사회계열,7858,10507,234,33.6,44.9
2013,건국대학교,자연과학계열,3686,3724,148,24.9,25.2
2013,건국대학교,의학계열,519,641,27,19.2,23.7
2013,건국대학교,예ㆍ체능계열,1998,2351,53,37.7,44.4
2013,건국대학교,공학계열,4880,5522,174,28.0,31.7
2013,건국대학교(글로컬) _분교,인문ㆍ사회계열,3501,4283,105,33.3,40.8
2013,건국대학교(글로컬) _분교,공학계열,884,1157,34,26.0,34.0
2013,건국대학교(글로컬) _분교,자연과학계열,1772,1822,102,17.4,17.9
2013,건국대학교(글로컬) _분교,예ㆍ체능계열,1558,1735,49,31.8,35.4
2013,건국대학교(글로컬) _분교,의학계열,336,327,198,1.7,1.7
2013,건양대학교,공학계열,1645,1644,50,32.9,32.9
2013,건양대학교,인문ㆍ사회계열,3580,3819,114,31.4,33.5
2013,건양대학교,자연과학계열,522,508,18,29.0,28.2
2013,건양대학교 _제2캠퍼스,의학계열,287,341,106,2.7,3.2
2013,건양대학교 _제2캠퍼스,자연과학계열,1866,2034,63,29.6,32.3
2013,건양대학교 _제2캠퍼스,인문ㆍ사회계열,655,696,6,109.2,116.0
2013,경기대학교,인문ㆍ사회계열,7769,8804,242,32.1,36.4
2013,경기대학교,예ㆍ체능계열,2008,2085,64,31.4,32.6
2013,경기대학교,공학계열,2984,3219,98,30.4,32.8
2013,경기대학교,자연과학계열,1524,1620,51,29.9,31.8
2013,경기대학교 _제2캠퍼스,인문ㆍ사회계열,1736,2214,34,51.1,65.1
2013,경기대학교 _제2캠퍼스,예ㆍ체능계열,440,479,18,24.4,26.6
2013,경남과학기술대학교,인문ㆍ사회계열,1309,1028,42,31.2,24.5
2013,경남과학기술대학교,자연과학계열,1092,879,42,26.0,20.9
2013,경남과학기술대학교,공학계열,2097,1427,79,26.5,18.1
2013,경남과학기술대학교,예ㆍ체능계열,94,79,6,15.7,13.2
2013,경남대학교,인문ㆍ사회계열,8915,8816,247,36.1,35.7
2013,경남대학교,자연과학계열,1755,1766,59,29.7,29.9
2013,경남대학교,예ㆍ체능계열,977,1017,29,33.7,35.1
2013,경남대학교,공학계열,3758,3646,115,32.7,31.7
2013,경동대학교,공학계열,549,430,24,22.9,17.9
2013,경동대학교,예ㆍ체능계열,123,88,5,24.6,17.6
2013,경동대학교,자연과학계열,1155,1018,33,35.0,30.8
2013,경동대학교,인문ㆍ사회계열,1827,1605,53,34.5,30.3
2013,경동대학교 _제2캠퍼스,예ㆍ체능계열,40,40,3,13.3,13.3
2013,경동대학교 _제2캠퍼스,자연과학계열,95,93,12,7.9,7.8
2013,경동대학교 _제2캠퍼스,인문ㆍ사회계열,236,223,21,11.2,10.6
2013,경동대학교 _제3캠퍼스,자연과학계열,475,502,15,31.7,33.5
2013,경북대학교,인문ㆍ사회계열,10431,11763,315,33.1,37.3
2013,경북대학교,자연과학계열,8141,8362,299,27.2,28.0
2013,경북대학교,예ㆍ체능계열,1163,1304,45,25.8,29.0
2013,경북대학교,의학계열,2181,2201,292,7.5,7.5
2013,경북대학교,공학계열,8378,9948,280,29.9,35.5
2013,경상국립대학교,자연과학계열,4927,5137,198,24.9,25.9
2013,경상국립대학교,의학계열,1022,1054,185,5.5,5.7
2013,경상국립대학교,인문ㆍ사회계열,5898,6551,219,26.9,29.9
2013,경상국립대학교,공학계열,5225,5696,185,28.2,30.8
2013,경상국립대학교,예ㆍ체능계열,459,402,21,21.9,19.1
2013,경성대학교,공학계열,2770,2829,104,26.6,27.2
2013,경성대학교,인문ㆍ사회계열,6900,7286,217,31.8,33.6
2013,경성대학교,예ㆍ체능계열,2588,2543,68,38.1,37.4
2013,경성대학교,자연과학계열,1752,1714,51,34.4,33.6
2013,경운대학교,공학계열,537,381,44,12.2,8.7
2013,경운대학교,예ㆍ체능계열,602,465,42,14.3,11.1
2013,경운대학교,인문ㆍ사회계열,793,674,52,15.3,13.0
2013,경운대학교,자연과학계열,978,879,61,16.0,14.4
2013,경인교육대학교,자연과학계열,1678,1148,39,43.0,29.4
2013,경인교육대학교,인문ㆍ사회계열,3532,2618,62,57.0,42.2
2013,경인교육대학교,예ㆍ체능계열,916,575,29,31.6,19.8
2013,경일대학교,예ㆍ체능계열,1192,1170,39,30.6,30.0
2013,경일대학교,인문ㆍ사회계열,2567,2553,93,27.6,27.5
2013,경일대학교,자연과학계열,495,441,16,30.9,27.6
2013,경일대학교,공학계열,3284,3342,105,31.3,31.8
2013,경희대학교,공학계열,4787,5756,214,22.4,26.9
2013,경희대학교,의학계열,2822,2685,414,6.8,6.5
2013,경희대학교,예ㆍ체능계열,4672,5022,105,44.5,47.8
2013,경희대학교,인문ㆍ사회계열,12886,16499,468,27.5,35.3
2013,경희대학교,자연과학계열,5254,5850,280,18.8,20.9
2013,계명대학교,예ㆍ체능계열,4413,4372,108,40.9,40.5
2013,계명대학교,의학계열,529,526,180,2.9,2.9
2013,계명대학교,공학계열,3769,4030,116,32.5,34.7
2013,계명대학교,자연과학계열,3023,3330,89,34.0,37.4
2013,계명대학교,인문ㆍ사회계열,12079,14333,341,35.4,42.0
2013,고려대학교,예ㆍ체능계열,585,650,16,36.6,40.6
2013,고려대학교,의학계열,1328,1305,409,3.2,3.2
2013,고려대학교,공학계열,6349,7393,244,26.0,30.3
2013,고려대학교,자연과학계열,5810,6384,260,22.3,24.6
2013,고려대학교,인문ㆍ사회계열,15795,18435,511,30.9,36.1
2013,고려대학교(세종) _분교,자연과학계열,1263,1309,56,22.6,23.4
2013,고려대학교(세종) _분교,예ㆍ체능계열,482,581,7,68.9,83.0
2013,고려대학교(세종) _분교,공학계열,1695,1950,53,32.0,36.8
2013,고려대학교(세종) _분교,인문ㆍ사회계열,4041,4537,131,30.8,34.6
2013,고신대학교,의학계열,496,481,156,3.2,3.1
2013,고신대학교,인문ㆍ사회계열,3059,3314,108,28.3,30.7
2013,고신대학교,자연과학계열,1415,1399,29,48.8,48.2
2013,고신대학교,예ㆍ체능계열,530,473,11,48.2,43.0
2013,공주교육대학교,인문ㆍ사회계열,1251,1294,41,30.5,31.6
2013,공주교육대학교,자연과학계열,719,637,26,27.7,24.5
2013,공주교육대학교,예ㆍ체능계열,440,383,19,23.2,20.2
2013,광신대학교,예ㆍ체능계열,143,129,8,17.9,16.1
2013,광신대학교,인문ㆍ사회계열,1202,1017,39,30.8,26.1
2013,광운대학교,인문ㆍ사회계열,3884,4589,135,28.8,34.0
2013,광운대학교,자연과학계열,703,797,42,16.7,19.0
2013,광운대학교,공학계열,4470,5274,138,32.4,38.2
2013,광운대학교,예ㆍ체능계열,257,243,11,23.4,22.1
2013,광주가톨릭대학교,인문ㆍ사회계열,220,119,18,12.2,6.6
2013,광주과학기술원,공학계열,1484,1193,96,15.5,12.4
2013,광주과학기술원,자연과학계열,724,681,43,16.8,15.8
