기준연도,학교명,재학생,1인당장학금
2010,가야대학교,49,2278100.0
2010,가야대학교 _제2캠퍼스,2455,1199600.0
2010,가천대학교,12422,1470600.0
2010,가천의과학대학교,3681,1122600.0
2010,가톨릭관동대학교,7921,950300.0
2010,가톨릭꽃동네대학교,477,3546500.0
2010,가톨릭대학교,7006,1228700.0
2010,가톨릭대학교 _제2캠퍼스,667,2299500.0
2010,가톨릭대학교 _제3캠퍼스,221,4867100.0
2010,감리교신학대학교,882,1543100.0
2010,강남대학교,7257,918700.0
2010,강서대학교,1357,1090100.0
2010,강원대학교,14494,1048300.0
2010,강원대학교 _제2캠퍼스,5569,1856500.0
2010,건국대학교,15194,1552800.0
2010,건국대학교(글로컬) _분교,7487,1258100.0
2010,건동대학교,463,2608700.0
2010,건양대학교,6375,1288400.0
2010,건양대학교 _제2캠퍼스,1742,1213600.0
2010,경기대학교,11370,1129700.0
2010,경기대학교 _제2캠퍼스,2221,1161600.0
2010,경남과학기술대학교,0,0.0
2010,경남대학교,12771,958100.0
2010,경동대학교,2683,1738500.0
2010,경북대학교,19674,1209200.0
2010,경북대학교 _제2캠퍼스,1627,972100.0
2010,경북외국어대학교,343,2545900.0
2010,경상국립대학교,13840,1097500.0
2010,경성대학교,12788,1049000.0
2010,경운대학교(산업대),4960,2050600.0
2010,경인교육대학교,1701,793800.0
2010,경인교육대학교 _제2캠퍼스,1659,760900.0
2010,경일대학교,4688,987000.0
2010,경희대학교,12769,1558000.0
2010,경희대학교 _분교,12233,1683300.0
2010,계명대학교,22340,1304200.0
2010,고려대학교,19438,1949900.0
2010,고려대학교(세종) _분교,6767,1444800.0
2010,고신대학교,3758,1222400.0
2010,공주교육대학교,1995,851100.0
2010,광신대학교,453,2340700.0
2010,광운대학교,8284,1052400.0
2010,광주가톨릭대학교,101,74300.0
2010,광주과학기술원,98,6624400.0
2010,광주교육대학교,1838,1134800.0
2010,광주대학교,5621,1817000.0
2010,광주대학교(산업대),240,939100.0
2010,광주여자대학교,3999,1434800.0
2010,국립강릉원주대학교,5816,985900.0
2010,국립강릉원주대학교 _제2캠퍼스,1977,997800.0
2010,국립경국대학교,6337,1025400.0
2010,국립공주대학교,13832,942700.0
2010,국립군산대학교,7270,1255300.0
2010,국립금오공과대학교,6447,997200.0
2010,국립목포대학교,7461,1087300.0
2010,국립목포해양대학교,2405,1488400.0
2010,국립부경대학교,16646,1055000.0
2010,국립순천대학교,7399,1029200.0
2010,국립창원대학교,8443,928500.0
2010,국립한국교통대학교,2206,698400.0
2010,국립한국해양대학교,6326,1445800.0
2010,국민대학교,13559,1098500.0
2010,극동대학교,3837,879500.0
2010,금강대학교,323,7213800.0
2010,김천대학교,1050,1101800.0
2010,나사렛대학교,5533,1216300.0
2010,남부대학교,2295,1629800.0
