기준연도,학교종류,설립구분,지역,상태,학교명,단과대학,학과(전공),구분,학과특성,졸업자(A),취업자(B),진학자(C),입대자(D),취업불가능자(E),외국인유학생(F),제외인정자(G),기타,미상,취업률(%)[B/{A-(C+D+E+F+G)x100,입학 당시 기취업자,교내취업자
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,간호학과,주간,일반과정,177.0,152.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,85.9,23.0,2.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경영물류학과,주간,일반과정,30.0,19.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,70.4,0.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경찰소방학과,주간,일반과정,17.0,5.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,31.3,0.0,2.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,일반과정,21.0,11.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,57.9,0.0,1.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,물리치료학과,주간,일반과정,53.0,47.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,88.7,4.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,방사선학과,주간,일반과정,44.0,35.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,81.4,1.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,사회복지학과,주간,일반과정,69.0,49.0,1.0,1.0,0.0,0.0,2.0,16.0,0.0,75.4,8.0,3.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,스포츠재활복지학부,주간,일반과정,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,안경광학과,주간,일반과정,25.0,20.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,83.3,0.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,일반과정,13.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,50.0,0.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,유아교육과,주간,일반과정,20.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,55.0,2.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,작업치료학과,주간,일반과정,18.0,13.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,81.3,0.0,0.0
2023.0,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,특수교육과,주간,일반과정,33.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,48.5,2.0,2.0
2023.0,대학교,사립,경기,기존,가천대학교,간호대학,간호학과,주간,일반과정,279.0,216.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,77.4,15.0,3.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),주간,일반과정,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87.5,0.0,1.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),야간,일반과정,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,일반과정,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(경영학),주간,일반과정,289.0,118.0,2.0,0.0,0.0,82.0,3.0,84.0,0.0,58.4,5.0,6.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(글로벌경영학),주간,일반과정,129.0,75.0,1.0,0.0,0.0,22.0,0.0,31.0,0.0,70.8,3.0,3.0
2023.0,대학교,사립,경기,기존,가천대학교,경영대학,금융수학과,주간,일반과정,38.0,24.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,66.7,0.0,1.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,건축공학과,주간,일반과정,18.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,2.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,건축공학전공,주간,일반과정,30.0,22.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,81.5,1.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,건축학과,주간,일반과정,41.0,31.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,79.5,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,기계공학과,주간,일반과정,83.0,44.0,16.0,0.0,0.0,3.0,0.0,20.0,0.0,68.8,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학과,주간,일반과정,11.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,80.0,1.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학전공,주간,일반과정,29.0,17.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,63.0,2.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,산업경영공학과,주간,일반과정,64.0,47.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,75.8,1.0,2.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,설비·소방공학과,주간,일반과정,97.0,67.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,74.4,4.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,신소재공학과,주간,일반과정,12.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,33.3,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학과,주간,일반과정,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학전공,주간,일반과정,32.0,22.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,73.3,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,조경학과,주간,일반과정,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,조경학전공,주간,일반과정,29.0,15.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,55.6,0.0,1.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,주간,일반과정,44.0,20.0,7.0,0.0,0.0,0.0,0.0,17.0,0.0,54.1,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,야간,일반과정,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학과,주간,일반과정,113.0,58.0,21.0,0.0,0.0,0.0,0.0,34.0,0.0,63.0,0.0,2.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노물리학과,주간,일반과정,27.0,17.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,81.0,0.0,4.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노화학과,주간,일반과정,42.0,17.0,14.0,0.0,0.0,1.0,0.0,10.0,0.0,63.0,0.0,3.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,바이오나노학과,주간,일반과정,41.0,21.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,77.8,3.0,0.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,생명과학과,주간,일반과정,53.0,19.0,19.0,0.0,0.0,0.0,0.0,15.0,0.0,55.9,1.0,2.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생물공학과,주간,일반과정,50.0,30.0,11.0,0.0,0.0,0.0,0.0,9.0,0.0,76.9,1.0,2.0
2023.0,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품영양학과,주간,일반과정,49.0,28.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,66.7,1.0,3.0
2023.0,대학교,사립,경기,기존,가천대학교,법과대학,경찰・안보학과,주간,일반과정,39.0,25.0,1.0,1.0,0.0,1.0,0.0,11.0,0.0,69.4,0.0,2.0
