기준년도,학교,학과,"입학정원
(A)","정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)",대학자체대계열
2010,가야대학교,자율전공학부,36,97.2,2.9,인문・사회계열
2010,가야대학교,방사선학과,40,95,9.3,자연과학계열
2010,가야대학교,간호학과,84,98.8,16.7,자연과학계열
2010,가야대학교,작업치료학과,40,102.5,5.6,자연과학계열
2010,가야대학교,언어치료청각학과,45,113.3,3.4,자연과학계열
2010,가야대학교,초등특수교육과,30,116.7,3.4,인문・사회계열
2010,가야대학교,특수체육교육과,30,103.3,2.1,인문・사회계열
2010,가야대학교,유아교육학과,40,110,3.9,인문・사회계열
2010,가야대학교,호텔조리영양학과,50,100,4.1,자연과학계열
2010,가야대학교,보석디자인학과,40,107.5,3.8,자연과학계열
2010,가야대학교,안경광학과,40,102.5,4.1,자연과학계열
2010,가야대학교,항만물류학과,50,104,3.5,인문・사회계열
2010,가야대학교,경찰행정학과,60,105,3.5,인문・사회계열
2010,가야대학교,사회복지학과,60,106.7,3.7,인문・사회계열
2010,가천대학교,법학과,150,100,20.8,인문・사회계열
2010,가천대학교,경제학과,40,100,22.7,인문・사회계열
2010,가천대학교,전자ㆍ정보통신공학부,155,100,16.2,공학계열
2010,가천대학교,회계・세무학과,40,100,25,인문・사회계열
2010,가천대학교,도시계획・조경학부,90,100,17.6,공학계열
2010,가천대학교,아동복지학과,40,100,24.2,인문・사회계열
2010,가천대학교,산업정보시스템공학과,80,100,16.5,공학계열
2010,가천대학교,무역학과,60,100,30.1,인문・사회계열
2010,가천대학교,신문방송학과,40,100,30.4,인문・사회계열
2010,가천대학교,전기・소방공학부,105,101.9,15.5,공학계열
2010,가천대학교,인터랙티브미디어학과,50,100,15.8,공학계열
2010,가천대학교,자유전공학부(인문),112,100.9,21.6,인문・사회계열
2010,가천대학교,컴퓨터공학과,50,104,20.5,공학계열
2010,가천대학교,경영학과,75,100,36.4,인문・사회계열
2010,가천대학교,의료경영학과,40,100,22.8,인문・사회계열
2010,가천대학교,에너지생명공학부,80,100,21.7,공학계열
2010,가천대학교,행정ㆍ도시행정학부,90,100,24.3,인문・사회계열
2010,가천대학교,국어국문학과,40,100,29.4,인문・사회계열
2010,가천대학교,기계・자동차공학과,60,100,23.9,공학계열
2010,가천대학교,소프트웨어설계・경영학과,40,100,15.7,공학계열
2010,가천대학교,관광경영학과,40,100,32.1,인문・사회계열
2010,가천대학교,디자인학부,100,101,8.4,예체능계열
2010,가천대학교,수학정보학과,40,100,15.8,자연과학계열
2010,가천대학교,건축학부,90,101.1,17.6,공학계열
2010,가천대학교,일어일문학과,40,100,27,인문・사회계열
2010,가천대학교,식품영양학과,40,100,29.2,자연과학계열
2010,가천대학교,실내건축학과,60,100,20.7,공학계열
2010,가천대학교,식품생물공학과,40,100,25.6,공학계열
2010,가천대학교,성악과,35,100,3.9,예체능계열
2010,가천대학교,유아교육학과,60,100,25.3,인문・사회계열
2010,가천대학교,작곡과,15,100,3.7,예체능계열
2010,가천대학교,회화과,50,100,6.5,예체능계열
2010,가천대학교,관현악과,45,100,4,예체능계열
2010,가천대학교,중어중문학과,40,100,22.3,인문・사회계열
2010,가천대학교,토목환경공학과,40,100,16.9,공학계열
2010,가천대학교,피아노과,35,100,7.2,예체능계열
2010,가천대학교,건축설비공학과,80,100,15.9,공학계열
2010,가천대학교,영어영문학과,40,100,25.8,인문・사회계열
2010,가천대학교,사회체육학과,40,100,9.6,예체능계열
2010,가천대학교,응용통계학과,40,100,18.8,인문・사회계열
2010,가천대학교,생명과학과,30,100,26.6,자연과학계열
2010,가천대학교,조소과,40,100,10.3,예체능계열
2010,가천대학교,의상학과,60,100,26,인문・사회계열
2010,가천대학교,불어불문학과,40,100,24.1,인문・사회계열
2010,가천대학교,섬유미술과,30,100,7.5,예체능계열
2010,가천대학교,물리학과,40,100,19.3,자연과학계열
2010,가천대학교,한의예과,30,100,9.2,자연과학계열
2010,가천대학교,화학과,40,100,21.2,자연과학계열
2010,가천대학교,바이오나노학부,60,100,5.6,공학계열
2010,가천대학교,독어독문학과,40,100,18.8,인문・사회계열
2010,가천대학교,간호학과,70,100,29.5,자연과학계열
2010,가천대학교,태권도학과,40,100,8.9,예체능계열
2010,가천대학교,보건환경시스템학과,40,100,23.4,공학계열
2010,가천대학교,의공학과,40,100,32.4,공학계열
2010,가천대학교,물리치료학과,40,100,37.6,자연과학계열
