기준연도,학교,단과대학,"학과
(모집단위)","입학정원
(A)","정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
2021,가야대학교(김해),단과대구분없음,간호학과,144,100,7.8
2021,가야대학교(김해),단과대구분없음,경영물류학과,35,97.2,2.4
2021,가야대학교(김해),단과대구분없음,경찰행정학과,40,35,2.6
2021,가야대학교(김해),단과대구분없음,귀금속주얼리학과,25,34.6,2.8
2021,가야대학교(김해),단과대구분없음,물리치료학과,53,100,8.2
2021,가야대학교(김해),단과대구분없음,방사선학과,45,95.6,4.6
2021,가야대학교(김해),단과대구분없음,사회복지재활학부,48,75,3.1
2021,가야대학교(김해),단과대구분없음,스포츠재활복지학과,40,70,5.8
2021,가야대학교(김해),단과대구분없음,유아교육과,17,82.4,5.4
2021,가야대학교(김해),단과대구분없음,작업치료학과,40,39,2.9
2021,가야대학교(김해),단과대구분없음,특수교육과,31,90.3,2.9
2021,가천대학교,IT융합대학,AI・소프트웨어학부(소프트웨어전공),100,100,14.5
2021,가천대학교,IT융합대학,AI・소프트웨어학부(인공지능전공),150,100,14.5
2021,가천대학교,간호대학,간호학과,255,100,20.4
2021,가천대학교,공과대학,건축학부,120,100,12.7
2021,가천대학교,미래산업대학,게임・영상학과,0,0,0.0
2021,가천대학교,경영대학,경영학부,300,100,14.3
2021,가천대학교,사회과학대학,경제학과,110,100,11.3
2021,가천대학교,법과대학,경찰행정학과,50,100,18.9
2021,가천대학교,사회과학대학,관광경영학과,50,100,16.3
2021,가천대학교,경영대학,금융수학과,50,100,9.1
2021,가천대학교,공과대학,기계공학과,100,100,14.4
2021,가천대학교,단과대구분없음,기타모집단위,0,0,0.0
2021,가천대학교,공과대학,도시계획・조경학부,80,100,12.0
2021,가천대학교,인문대학,동양어문학과,100,100,13.2
2021,가천대학교,미래산업대학,디스플레이학과,0,0,0.0
2021,가천대학교,보건과학대학,물리치료학과,40,100,33.9
2021,가천대학교,바이오나노대학,물리학과,50,100,10.0
2021,가천대학교,사회과학대학,미디어커뮤니케이션학과,60,100,22.2
2021,가천대학교,미래산업대학,미래자동차학과,0,0,0.0
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(디자인),100,100,18.8
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(패션디자인),40,100,17.8
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(회화·조소),70,100,7.6
2021,가천대학교,바이오나노대학,바이오나노학과,50,100,15.9
2021,가천대학교,보건과학대학,방사선학과,40,100,17.9
2021,가천대학교,법과대학,법학과,100,100,13.1
2021,가천대학교,사회과학대학,사회복지학과,50,100,16.3
2021,가천대학교,공과대학,산업경영공학과,50,100,11.2
2021,가천대학교,바이오나노대학,생명과학과,50,100,15.2
2021,가천대학교,공과대학,설비·소방공학과,80,100,10.3
2021,가천대학교,바이오나노대학,식품생물공학과,50,100,13.5
2021,가천대학교,바이오나노대학,식품영양학과,50,100,15.1
2021,가천대학교,공과대학,신소재공학과,50,100,16.0
2021,가천대학교,사회과학대학,심리학과,50,100,18.2
2021,가천대학교,예술ㆍ체육대학,연기예술학과,40,100,53.1
2021,가천대학교,인문대학,영미어문학과,50,100,12.1
2021,가천대학교,보건과학대학,운동재활복지학과,40,100,14.6
2021,가천대학교,인문대학,유럽어문학과,60,100,11.3
2021,가천대학교,사회과학대학,유아교육학과,60,100,14.1
2021,가천대학교,예술ㆍ체육대학,음악학부(기악),48,97.9,13.6
2021,가천대학교,예술ㆍ체육대학,음악학부(성악),20,100,12.3
2021,가천대학교,예술ㆍ체육대학,음악학부(작곡),12,100,6.8
2021,가천대학교,보건과학대학,응급구조학과,20,100,24.9
2021,가천대학교,사회과학대학,응용통계학과,50,100,11.2
2021,가천대학교,사회과학대학,의료경영학과,50,100,13.9
2021,가천대학교,의과대학,의예과,40,100,22.1
2021,가천대학교,보건과학대학,의용생체공학과,50,100,13.2
2021,가천대학교,가천리버럴아츠칼리지,자유전공학부,91,100,12.6
2021,가천대학교,IT융합대학,전기공학과,80,100,12.2
2021,가천대학교,IT융합대학,전자공학과,120,100,14.7
2021,가천대학교,미래산업대학,첨단의료기기학과,0,0,0.0
2021,가천대학교,예술ㆍ체육대학,체육학부(체육),40,100,26.3
2021,가천대학교,예술ㆍ체육대학,체육학부(태권도),30,100,18.9
2021,가천대학교,보건과학대학,치위생학과,40,100,14.2
2021,가천대학교,IT융합대학,컴퓨터공학과,150,100,15.6
2021,가천대학교,공과대학,토목환경공학과,50,100,16.9
2021,가천대학교,인문대학,한국어문학과,50,100,11.7
2021,가천대학교,한의과대학,한의예과,30,100,24.8
2021,가천대학교,법과대학,행정학과,50,100,13.4
2021,가천대학교,공과대학,화공생명공학과,100,100,17.6
2021,가천대학교,바이오나노대학,화학과,50,100,10.9
2021,가톨릭관동대학교,미디어예술대학,CG디자인학과,40,87.5,3.4
2021,가톨릭관동대학교,의과대학,간호학과,100,99,8.3
2021,가톨릭관동대학교,공과대학,건축공학전공,35,54.3,2.9
2021,가톨릭관동대학교,공과대학,건축학전공,40,97.5,3.8
2021,가톨릭관동대학교,관광스포츠대학,경기지도학전공,35,97.1,5.3
2021,가톨릭관동대학교,사회과학대학,경영학과,70,56.3,4.3
2021,가톨릭관동대학교,사회과학대학,경찰행정학부,160,98.8,3.4
2021,가톨릭관동대학교,관광스포츠대학,관광경영학과,60,35,2.8
2021,가톨릭관동대학교,미디어예술대학,광고홍보학과,35,45.7,3.4
2021,가톨릭관동대학교,사범대학,국어교육과,30,96.7,4.3
2021,가톨릭관동대학교,공과대학,기술창업학과,30,33.3,2.2
2021,가톨릭관동대학교,단과대구분없음,기타모집단위,0,0,0.0
2021,가톨릭관동대학교,항공대학,무인항공학과,30,83.3,3.3
2021,가톨릭관동대학교,의료융합대학,바이오융합공학과,30,23.3,3.1
2021,가톨릭관동대학교,미디어예술대학,방송연예학과,25,44,1.9
2021,가톨릭관동대학교,미디어예술대학,뷰티디자인학과,30,73.3,4.4
2021,가톨릭관동대학교,사회과학대학,사회복지학과,60,88.3,5.9
2021,가톨릭관동대학교,휴먼서비스대학,산림치유학과,20,100,2.1
2021,가톨릭관동대학교,공과대학,소프트웨어학과,50,62,3.9
2021,가톨릭관동대학교,사범대학,수학교육과,30,63.3,3.3
2021,가톨릭관동대학교,관광스포츠대학,스포츠건강관리학전공,45,100,4.9
2021,가톨릭관동대학교,관광스포츠대학,스포츠레저학전공,50,100,4.5
2021,가톨릭관동대학교,미디어예술대학,실용음악학과,40,51.2,1.7
2021,가톨릭관동대학교,의료융합대학,안경광학과,40,42.5,3.1
2021,가톨릭관동대학교,휴먼서비스대학,언어재활상담학과,20,100,2.5
2021,가톨릭관동대학교,사범대학,역사교육과,30,100,5.0
2021,가톨릭관동대학교,사범대학,영어교육과,30,90,3.9
2021,가톨릭관동대학교,의료융합대학,의료IT학과,30,48.4,2.3
2021,가톨릭관동대학교,의료융합대학,의료경영학과,60,61.7,3.7
2021,가톨릭관동대학교,의료융합대학,의료공학과,40,72.5,2.9
2021,가톨릭관동대학교,의료융합대학,의생명과학과,40,78,4.1
2021,가톨릭관동대학교,의과대학,의예과,49,100,14.6
2021,가톨릭관동대학교,의료융합대학,임상병리학과,40,100,6.3
2021,가톨릭관동대학교,공과대학,전자공학과,45,44.4,3.8
2021,가톨릭관동대학교,관광스포츠대학,조리외식경영학과,55,58.2,4.0
2021,가톨릭관동대학교,휴먼서비스대학,중독재활학과,20,95,1.6
2021,가톨릭관동대학교,사범대학,지리교육과,30,100,4.1
2021,가톨릭관동대학교,사범대학,체육교육과,40,100,10.0
2021,가톨릭관동대학교,휴먼서비스대학,치매전문재활학과,20,100,1.6
2021,가톨릭관동대학교,의료융합대학,치위생학과,40,97.5,6.8
2021,가톨릭관동대학교,사범대학,컴퓨터교육과,30,86.7,2.9
2021,가톨릭관동대학교,미디어예술대학,콘텐츠제작학과,50,52,3.4
2021,가톨릭관동대학교,공과대학,토목공학과,50,39.2,2.7
2021,가톨릭관동대학교,항공대학,항공경영물류학과,40,47.5,1.9
2021,가톨릭관동대학교,항공대학,항공운항서비스학과,46,45.7,2.5
2021,가톨릭관동대학교,항공대학,항공운항학과,30,86.7,2.9
2021,가톨릭관동대학교,항공대학,항공정비학과,30,96.8,3.7
2021,가톨릭관동대학교,사회과학대학,행정학과,40,42.5,3.2
2021,가톨릭관동대학교,관광스포츠대학,호텔경영학과,55,49.1,3.8
2021,가톨릭꽃동네대학교,단과대구분없음,간호학과,63,100,4.9
2021,가톨릭꽃동네대학교,단과대구분없음,기타모집단위,0,0,0.0
2021,가톨릭꽃동네대학교,단과대구분없음,사회복지학과,25,92.3,4.3
2021,가톨릭꽃동네대학교,단과대구분없음,상담심리학과,20,85,3.4
2021,가톨릭대학교,단과대구분없음,ICT공학계열,54,121.4,6.4
2021,가톨릭대학교,단과대구분없음,경영계열,38,100,5.3
2021,가톨릭대학교,단과대구분없음,경영학과,43,100,12.2
