기준연도,학교명,재학생,1인당장학금
2010,가야대학교,49,2278100
2010,가야대학교 _제2캠퍼스,"2,455",1199600
2010,가천대학교,"12,422",1470600
2010,가천의과학대학교,"3,681",1122600
2010,가톨릭관동대학교,"7,921",950300
2010,가톨릭꽃동네대학교,477,3546500
2010,가톨릭대학교,"7,006",1228700
2010,가톨릭대학교 _제2캠퍼스,667,2299500
2010,가톨릭대학교 _제3캠퍼스,221,4867100
2010,감리교신학대학교,882,1543100
2010,강남대학교,"7,257",918700
2010,강서대학교,"1,357",1090100
2010,강원대학교,"14,494",1048300
2010,강원대학교 _제2캠퍼스,"5,569",1856500
2010,건국대학교,"15,194",1552800
2010,건국대학교(글로컬) _분교,"7,487",1258100
2010,건동대학교,463,2608700
2010,건양대학교,"6,375",1288400
2010,건양대학교 _제2캠퍼스,"1,742",1213600
2010,경기대학교,"11,370",1129700
2010,경기대학교 _제2캠퍼스,"2,221",1161600
2010,경남과학기술대학교,0,0
2010,경남대학교,"12,771",958100
2010,경동대학교,"2,683",1738500
2010,경북대학교,"19,674",1209200
2010,경북대학교 _제2캠퍼스,"1,627",972100
2010,경북외국어대학교,343,2545900
2010,경상국립대학교,"13,840",1097500
2010,경성대학교,"12,788",1049000
2010,경운대학교(산업대),"4,960",2050600
2010,경인교육대학교,"1,701",793800
2010,경인교육대학교 _제2캠퍼스,"1,659",760900
2010,경일대학교,"4,688",987000
2010,경희대학교,"12,769",1558000
2010,경희대학교 _분교,"12,233",1683300
2010,계명대학교,"22,340",1304200
2010,고려대학교,"19,438",1949900
2010,고려대학교(세종) _분교,"6,767",1444800
2010,고신대학교,"3,758",1222400
2010,공주교육대학교,"1,995",851100
2010,광신대학교,453,2340700
2010,광운대학교,"8,284",1052400
2010,광주가톨릭대학교,101,74300
2010,광주과학기술원,98,6624400
2010,광주교육대학교,"1,838",1134800
2010,광주대학교,"5,621",1817000
2010,광주대학교(산업대),240,939100
2010,광주여자대학교,"3,999",1434800
2010,국립강릉원주대학교,"5,816",985900
2010,국립강릉원주대학교 _제2캠퍼스,"1,977",997800
2010,국립경국대학교,"6,337",1025400
2010,국립공주대학교,"13,832",942700
2010,국립군산대학교,"7,270",1255300
2010,국립금오공과대학교,"6,447",997200
2010,국립목포대학교,"7,461",1087300
2010,국립목포해양대학교,"2,405",1488400
2010,국립부경대학교,"16,646",1055000
2010,국립순천대학교,"7,399",1029200
2010,국립창원대학교,"8,443",928500
2010,국립한국교통대학교,"2,206",698400
2010,국립한국해양대학교,"6,326",1445800
2010,국민대학교,"13,559",1098500
2010,극동대학교,"3,837",879500
2010,금강대학교,323,7213800
2010,김천대학교,"1,050",1101800
2010,나사렛대학교,"5,533",1216300
2010,남부대학교,"2,295",1629800
2010,남서울대학교(산업대),"10,085",811000
2010,단국대학교,"10,709",1118600
2010,단국대학교(천안) _분교,"11,370",1168700
2010,대구가톨릭대학교,"12,744",1432800
2010,대구교육대학교,"2,166",947400
2010,대구대학교,"18,487",1256700
2010,대구예술대학교,"1,127",2264700
2010,대구외국어대학교,362,930000
2010,대구한의대학교,"6,622",1095300
2010,대신대학교,497,1554200
2010,대전가톨릭대학교,94,4127900
2010,대전대학교,"9,184",965200
2010,대전신학교,170,1201600
2010,대전신학대학교,89,1152400
2010,대진대학교,"7,528",1297200
2010,덕성여자대학교,"5,651",1281400
2010,동국대학교,"13,518",1507700
2010,동국대학교(WISE) _분교,"8,279",1354300
2010,동덕여자대학교,"7,163",962400
2010,동명대학교,"5,857",1008100
2010,동명정보대학교,"1,431",300
2010,동서대학교,"10,629",1133600
2010,동신대학교,"6,025",1701800
2010,동아대학교,"19,822",1256400
2010,동양대학교,"3,526",1467700
2010,동의대학교,"16,275",921500
2010,디지털서울문화예술대학교,"2,974",510200
2010,루터대학교,508,692200
2010,명신대학교,666,1704900
2010,명지대학교,"7,085",1188200
2010,명지대학교 _제2캠퍼스,"6,355",1120400
2010,목원대학교,"8,680",986000
2010,목포가톨릭대학교,574,1389300
2010,배재대학교,"8,847",1133500
2010,백석대학교,"12,372",1123000
2010,부산가톨릭대학교,"3,959",1118900
2010,부산교육대학교,"2,123",750500
2010,부산대학교,"20,983",1138200
2010,부산디지털대학교,"2,066",588500
2010,부산외국어대학교,"8,804",1057000
2010,부산장신대학교,275,1200100
2010,삼육대학교,"5,006",1469100
2010,상명대학교,"6,300",1264900
2010,상명대학교(천안) _분교,"6,002",1113600
2010,상주대학교,"2,535",747100
2010,상지대학교,"7,868",1153600
2010,서강대학교,"7,804",1742300
2010,서경대학교,"6,082",750700
2010,서남대학교,"1,292",827700
