2024년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,재학연한초과,기타,
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,간호학과,주간,일반과정,기존,799,36,2,3,31,0,0,0,0,0,4.5
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경영물류학과,주간,일반과정,폐과,48,8,1,1,6,0,0,0,0,0,16.7
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경찰소방학과,주간,일반과정,폐과,91,29,2,9,18,0,0,0,0,0,31.9
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,일반과정,폐과,23,2,0,1,1,0,0,0,0,0,8.7
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,물리치료학과,주간,일반과정,기존,286,16,3,1,12,0,0,0,0,0,5.6
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,방사선학과,주간,일반과정,기존,233,17,2,3,12,0,0,0,0,0,7.3
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,사회복지상담학과,주간,일반과정,변경,181,25,1,8,16,0,0,0,0,0,13.8
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,스포츠재활복지학부,주간,일반과정,기존,135,33,6,7,20,0,0,0,0,0,24.4
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,안경광학과,주간,일반과정,폐과,33,4,0,2,2,0,0,0,0,0,12.1
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,일반과정,폐과,21,5,1,2,2,0,0,0,0,0,23.8
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,유아교육과,주간,일반과정,기존,51,7,3,0,4,0,0,0,0,0,13.7
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,작업치료학과,주간,일반과정,기존,85,12,0,1,11,0,0,0,0,0,14.1
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,"커리어플러스학부 부동산금융재테크전공,헬스케어전공",주간,일반과정,신설,11,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,커리어플러스학부 사회복지상담학전공,주간,일반과정,신설,13,1,0,0,1,0,0,0,0,0,7.7
2023,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,특수교육과,주간,일반과정,기존,143,12,0,1,11,0,0,0,0,0,8.4
2023,대학교,사립,경기,기존,가천대학교,간호대학,간호학과,주간,일반과정,기존,"1,258",18,0,2,16,0,0,0,0,0,1.4
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),야간,일반과정,폐과,3,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학부,주간,일반과정,기존,530,27,3,2,22,0,0,0,0,0,5.1
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(경영학),주간,일반과정,폐과,"1,140",16,8,5,3,0,0,0,0,0,1.4
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(글로벌경영학),주간,일반과정,폐과,413,6,3,2,1,0,0,0,0,0,1.5
2023,대학교,사립,경기,기존,가천대학교,경영대학,경영학전공,주간,일반과정,기존,672,29,2,2,25,0,0,0,0,0,4.3
2023,대학교,사립,경기,기존,가천대학교,경영대학,글로벌경영학전공,주간,일반과정,기존,161,17,2,3,12,0,0,0,0,0,10.6
2023,대학교,사립,경기,기존,가천대학교,경영대학,금융수학과,주간,일반과정,기존,314,6,0,1,5,0,0,0,0,0,1.9
2023,대학교,사립,경기,기존,가천대학교,경영대학,회계세무학전공,주간,일반과정,기존,148,2,0,0,2,0,0,0,0,0,1.4
2023,대학교,사립,경기,기존,가천대학교,공과대학,건축공학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,공과대학,건축공학전공,주간,일반과정,기존,177,2,0,0,2,0,0,0,0,0,1.1
2023,대학교,사립,경기,기존,가천대학교,공과대학,건축학과,주간,일반과정,폐과,21,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,공과대학,건축학부,주간,일반과정,기존,161,10,1,0,9,0,0,0,0,0,6.2
2023,대학교,사립,경기,기존,가천대학교,공과대학,건축학전공,주간,일반과정,기존,277,8,1,0,7,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(기계공학전공),주간,일반과정,기존,231,27,0,0,27,0,0,0,0,0,11.7
2023,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(산업공학전공),주간,일반과정,기존,109,5,0,1,4,0,0,0,0,0,4.6
2023,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(스마트팩토리전공),주간,일반과정,기존,96,6,0,0,6,0,0,0,0,0,6.3
2023,대학교,사립,경기,기존,가천대학교,공과대학,기계공학과,주간,일반과정,폐과,428,8,2,2,4,0,0,0,0,0,1.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획・조경학부,주간,일반과정,기존,102,4,0,0,4,0,0,0,0,0,3.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학과,주간,일반과정,폐과,2,1,0,1,0,0,0,0,0,0,50
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학전공,주간,일반과정,기존,252,4,0,1,3,0,0,0,0,0,1.6
2023,대학교,사립,경기,기존,가천대학교,공과대학,산업경영공학과,주간,일반과정,폐과,211,4,1,2,1,0,0,0,0,0,1.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,설비·소방공학과,주간,일반과정,기존,535,7,0,1,6,0,0,0,0,0,1.3
