기준년도,학교명,졸업자,취업률
2010,가야대학교,43,64.1
2010,가야대학교 _제2캠퍼스,521,53.7
2010,가천대학교,1846,53.9
2010,가천의과학대학교,751,61.5
2010,가톨릭관동대학교,1613,41.5
2010,가톨릭꽃동네대학교,155,57.3
2010,가톨릭대학교,1502,48.1
2010,가톨릭대학교 _제2캠퍼스,182,67.2
2010,가톨릭대학교 _제3캠퍼스,46,5.9
2010,감리교신학대학교,196,8.4
2010,강남대학교,1549,48.0
2010,강서대학교,291,46.9
2010,강원대학교,2847,54.9
2010,강원대학교 _제2캠퍼스,932,54.6
2010,건국대학교,2950,61.2
2010,건국대학교(글로컬) _분교,1705,47.9
2010,건동대학교,57,74.0
2010,건양대학교,1382,69.5
2010,건양대학교 _제2캠퍼스,293,87.9
2010,경기대학교,2487,51.1
2010,경기대학교 _제2캠퍼스,464,56.0
2010,경남대학교,2967,44.5
2010,경동대학교,481,55.1
2010,경북대학교,4061,52.8
2010,경북대학교 _제2캠퍼스,1191,57.2
2010,경북외국어대학교,129,52.1
2010,경상국립대학교,3051,48.1
2010,경성대학교,2631,49.7
2010,경운대학교(산업대),998,63.0
2010,경인교육대학교,520,60.3
2010,경인교육대학교 _제2캠퍼스,462,66.4
2010,경일대학교,837,53.6
2010,경희대학교,2792,56.6
2010,경희대학교 _분교,2760,57.9
2010,계명대학교,4643,46.2
2010,고려대학교,4013,64.6
2010,고려대학교(세종) _분교,1235,48.7
2010,고신대학교,721,49.9
2010,공주교육대학교,546,60.2
2010,광신대학교,107,24.4
2010,광운대학교,1582,58.7
2010,광주가톨릭대학교,31,58.3
2010,광주교육대학교,516,60.7
2010,광주대학교,907,58.9
2010,광주대학교(산업대),454,41.0
2010,광주여자대학교,648,61.1
2010,국립강릉원주대학교,1460,47.1
2010,국립경국대학교,1489,51.2
2010,국립공주대학교,3234,49.2
2010,국립군산대학교,1649,48.0
2010,국립금오공과대학교,1224,68.5
2010,국립목포대학교,1593,48.5
2010,국립목포해양대학교,635,63.7
2010,국립부경대학교,3613,56.7
2010,국립순천대학교,1639,45.0
2010,국립창원대학교,1727,57.3
2010,국립한국교통대학교,2278,61.9
2010,국립한국해양대학교,1362,69.8
2010,국민대학교,2889,51.1
2010,극동대학교,637,41.8
2010,금강대학교,37,42.4
2010,나사렛대학교,1089,51.5
2010,남부대학교,442,55.7
2010,남서울대학교(산업대),1944,53.1
2010,단국대학교,2241,49.6
2010,단국대학교(천안) _분교,2617,48.8
2010,대구가톨릭대학교,2435,57.9
2010,대구가톨릭대학교 _제2캠퍼스,19,0.0
2010,대구가톨릭대학교 _제3캠퍼스,46,100.0
2010,대구교육대학교,615,44.4
2010,대구대학교,3949,58.2
2010,대구대학교 _제2캠퍼스,20,78.9
2010,대구예술대학교,212,22.0
2010,대구외국어대학교,41,34.3
2010,대구한의대학교,1287,54.7
2010,대신대학교,154,29.2
2010,대전가톨릭대학교,13,0.0
2010,대전대학교,1866,50.3
2010,대전신학교,65,12.7
2010,대진대학교,1458,42.2
2010,덕성여자대학교,1242,45.8
2010,동국대학교,2425,45.9
2010,동국대학교(WISE) _분교,2009,54.3
2010,동덕여자대학교,1549,42.4
2010,동명대학교,510,56.6
2010,동명정보대학교,850,48.7
2010,동서대학교,2077,57.0
2010,동신대학교,1317,62.5
2010,동아대학교,4299,49.8
2010,동양대학교,680,54.2
2010,동의대학교,3198,55.2
2010,루터대학교,33,33.3
2010,명신대학교,223,48.8
2010,명지대학교,1369,52.5
2010,명지대학교 _제2캠퍼스,1284,52.2
2010,목원대학교,1837,35.8
2010,목포가톨릭대학교,148,69.0
2010,배재대학교,1793,41.2
2010,백석대학교,2517,43.7
2010,부산가톨릭대학교,932,56.6
2010,부산교육대학교,591,44.8
2010,부산대학교,4344,51.5
2010,부산외국어대학교,1554,40.8
2010,부산장신대학교,77,45.9
2010,삼육대학교,875,50.1
2010,상명대학교,1426,39.8
2010,상명대학교(천안) _분교,1143,40.7
2010,상주대학교,34,61.8
2010,상지대학교,1567,49.6
2010,서강대학교,1638,63.7
2010,서경대학교,1296,44.6
2010,서남대학교,395,66.9
2010,서남대학교 _제2캠퍼스,84,47.0
