통합_대학별_취업현황,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,졸업자,취업률(%),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2010,가야대학교,43,64.1,,,,,,,,,,,,,,,,,,,
,가야대학교 _제2캠퍼스,521,53.7,,,,,,,,,,,,,,,,,,,
,가천대학교,"1,846",53.9,,,,,,,,,,,,,,,,,,,
,가천의과학대학교,751,61.5,,,,,,,,,,,,,,,,,,,
,가톨릭관동대학교,"1,613",41.5,,,,,,,,,,,,,,,,,,,
,가톨릭꽃동네대학교,155,57.3,,,,,,,,,,,,,,,,,,,
,가톨릭대학교,"1,502",48.1,,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제2캠퍼스,182,67.2,,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제3캠퍼스,46,5.9,,,,,,,,,,,,,,,,,,,
,감리교신학대학교,196,8.4,,,,,,,,,,,,,,,,,,,
,강남대학교,"1,549",48,,,,,,,,,,,,,,,,,,,
,강서대학교,291,46.9,,,,,,,,,,,,,,,,,,,
,강원대학교,"2,847",54.9,,,,,,,,,,,,,,,,,,,
,강원대학교 _제2캠퍼스,932,54.6,,,,,,,,,,,,,,,,,,,
,건국대학교,"2,950",61.2,,,,,,,,,,,,,,,,,,,
,건국대학교(글로컬) _분교,"1,705",47.9,,,,,,,,,,,,,,,,,,,
,건동대학교,57,74,,,,,,,,,,,,,,,,,,,
,건양대학교,"1,382",69.5,,,,,,,,,,,,,,,,,,,
,건양대학교 _제2캠퍼스,293,87.9,,,,,,,,,,,,,,,,,,,
,경기대학교,"2,487",51.1,,,,,,,,,,,,,,,,,,,
,경기대학교 _제2캠퍼스,464,56,,,,,,,,,,,,,,,,,,,
,경남대학교,"2,967",44.5,,,,,,,,,,,,,,,,,,,
,경동대학교,481,55.1,,,,,,,,,,,,,,,,,,,
,경북대학교,"4,061",52.8,,,,,,,,,,,,,,,,,,,
,경북대학교 _제2캠퍼스,"1,191",57.2,,,,,,,,,,,,,,,,,,,
,경북외국어대학교,129,52.1,,,,,,,,,,,,,,,,,,,
,경상국립대학교,"3,051",48.1,,,,,,,,,,,,,,,,,,,
,경성대학교,"2,631",49.7,,,,,,,,,,,,,,,,,,,
,경운대학교(산업대),998,63,,,,,,,,,,,,,,,,,,,
,경인교육대학교,520,60.3,,,,,,,,,,,,,,,,,,,
,경인교육대학교 _제2캠퍼스,462,66.4,,,,,,,,,,,,,,,,,,,
,경일대학교,837,53.6,,,,,,,,,,,,,,,,,,,
,경희대학교,"2,792",56.6,,,,,,,,,,,,,,,,,,,
,경희대학교 _분교,"2,760",57.9,,,,,,,,,,,,,,,,,,,
,계명대학교,"4,643",46.2,,,,,,,,,,,,,,,,,,,
,고려대학교,"4,013",64.6,,,,,,,,,,,,,,,,,,,
,고려대학교(세종) _분교,"1,235",48.7,,,,,,,,,,,,,,,,,,,
,고신대학교,721,49.9,,,,,,,,,,,,,,,,,,,
,공주교육대학교,546,60.2,,,,,,,,,,,,,,,,,,,
,광신대학교,107,24.4,,,,,,,,,,,,,,,,,,,
,광운대학교,"1,582",58.7,,,,,,,,,,,,,,,,,,,
,광주가톨릭대학교,31,58.3,,,,,,,,,,,,,,,,,,,
,광주교육대학교,516,60.7,,,,,,,,,,,,,,,,,,,
,광주대학교,907,58.9,,,,,,,,,,,,,,,,,,,
,광주대학교(산업대),454,41,,,,,,,,,,,,,,,,,,,
,광주여자대학교,648,61.1,,,,,,,,,,,,,,,,,,,
,국립강릉원주대학교,"1,460",47.1,,,,,,,,,,,,,,,,,,,
,국립경국대학교,"1,489",51.2,,,,,,,,,,,,,,,,,,,
,국립공주대학교,"3,234",49.2,,,,,,,,,,,,,,,,,,,
,국립군산대학교,"1,649",48,,,,,,,,,,,,,,,,,,,
,국립금오공과대학교,"1,224",68.5,,,,,,,,,,,,,,,,,,,
,국립목포대학교,"1,593",48.5,,,,,,,,,,,,,,,,,,,
,국립목포해양대학교,635,63.7,,,,,,,,,,,,,,,,,,,
,국립부경대학교,"3,613",56.7,,,,,,,,,,,,,,,,,,,
,국립순천대학교,"1,639",45,,,,,,,,,,,,,,,,,,,
,국립창원대학교,"1,727",57.3,,,,,,,,,,,,,,,,,,,
,국립한국교통대학교,"2,278",61.9,,,,,,,,,,,,,,,,,,,
,국립한국해양대학교,"1,362",69.8,,,,,,,,,,,,,,,,,,,
,국민대학교,"2,889",51.1,,,,,,,,,,,,,,,,,,,
,극동대학교,637,41.8,,,,,,,,,,,,,,,,,,,
,금강대학교,37,42.4,,,,,,,,,,,,,,,,,,,
,나사렛대학교,"1,089",51.5,,,,,,,,,,,,,,,,,,,
,남부대학교,442,55.7,,,,,,,,,,,,,,,,,,,
,남서울대학교(산업대),"1,944",53.1,,,,,,,,,,,,,,,,,,,
,단국대학교,"2,241",49.6,,,,,,,,,,,,,,,,,,,
,단국대학교(천안) _분교,"2,617",48.8,,,,,,,,,,,,,,,,,,,
,대구가톨릭대학교,"2,435",57.9,,,,,,,,,,,,,,,,,,,
,대구가톨릭대학교 _제2캠퍼스,19,0,,,,,,,,,,,,,,,,,,,
,대구가톨릭대학교 _제3캠퍼스,46,100,,,,,,,,,,,,,,,,,,,
,대구교육대학교,615,44.4,,,,,,,,,,,,,,,,,,,
,대구대학교,"3,949",58.2,,,,,,,,,,,,,,,,,,,
,대구대학교 _제2캠퍼스,20,78.9,,,,,,,,,,,,,,,,,,,
,대구예술대학교,212,22,,,,,,,,,,,,,,,,,,,
,대구외국어대학교,41,34.3,,,,,,,,,,,,,,,,,,,
,대구한의대학교,"1,287",54.7,,,,,,,,,,,,,,,,,,,
,대신대학교,154,29.2,,,,,,,,,,,,,,,,,,,
,대전가톨릭대학교,13,0,,,,,,,,,,,,,,,,,,,
