통합_대학별_장학금,,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,"재학생
(A)","재학생 1인당
장학금
(C=B/A)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2010,가야대학교,49,2278100,,,,,,,,,,,,,,,,,,
,가야대학교 _제2캠퍼스,"2,455",1199600,,,,,,,,,,,,,,,,,,
,가천대학교,"12,422",1470600,,,,,,,,,,,,,,,,,,
,가천의과학대학교,"3,681",1122600,,,,,,,,,,,,,,,,,,
,가톨릭관동대학교,"7,921",950300,,,,,,,,,,,,,,,,,,
,가톨릭꽃동네대학교,477,3546500,,,,,,,,,,,,,,,,,,
,가톨릭대학교,"7,006",1228700,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제2캠퍼스,667,2299500,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제3캠퍼스,221,4867100,,,,,,,,,,,,,,,,,,
,감리교신학대학교,882,1543100,,,,,,,,,,,,,,,,,,
,강남대학교,"7,257",918700,,,,,,,,,,,,,,,,,,
,강서대학교,"1,357",1090100,,,,,,,,,,,,,,,,,,
,강원대학교,"14,494",1048300,,,,,,,,,,,,,,,,,,
,강원대학교 _제2캠퍼스,"5,569",1856500,,,,,,,,,,,,,,,,,,
,건국대학교,"15,194",1552800,,,,,,,,,,,,,,,,,,
,건국대학교(글로컬) _분교,"7,487",1258100,,,,,,,,,,,,,,,,,,
,건동대학교,463,2608700,,,,,,,,,,,,,,,,,,
,건양대학교,"6,375",1288400,,,,,,,,,,,,,,,,,,
,건양대학교 _제2캠퍼스,"1,742",1213600,,,,,,,,,,,,,,,,,,
,경기대학교,"11,370",1129700,,,,,,,,,,,,,,,,,,
,경기대학교 _제2캠퍼스,"2,221",1161600,,,,,,,,,,,,,,,,,,
,경남과학기술대학교,0,0,,,,,,,,,,,,,,,,,,
,경남대학교,"12,771",958100,,,,,,,,,,,,,,,,,,
,경동대학교,"2,683",1738500,,,,,,,,,,,,,,,,,,
,경북대학교,"19,674",1209200,,,,,,,,,,,,,,,,,,
,경북대학교 _제2캠퍼스,"1,627",972100,,,,,,,,,,,,,,,,,,
,경북외국어대학교,343,2545900,,,,,,,,,,,,,,,,,,
,경상국립대학교,"13,840",1097500,,,,,,,,,,,,,,,,,,
,경성대학교,"12,788",1049000,,,,,,,,,,,,,,,,,,
,경운대학교(산업대),"4,960",2050600,,,,,,,,,,,,,,,,,,
,경인교육대학교,"1,701",793800,,,,,,,,,,,,,,,,,,
,경인교육대학교 _제2캠퍼스,"1,659",760900,,,,,,,,,,,,,,,,,,
,경일대학교,"4,688",987000,,,,,,,,,,,,,,,,,,
,경희대학교,"12,769",1558000,,,,,,,,,,,,,,,,,,
,경희대학교 _분교,"12,233",1683300,,,,,,,,,,,,,,,,,,
,계명대학교,"22,340",1304200,,,,,,,,,,,,,,,,,,
,고려대학교,"19,438",1949900,,,,,,,,,,,,,,,,,,
,고려대학교(세종) _분교,"6,767",1444800,,,,,,,,,,,,,,,,,,
,고신대학교,"3,758",1222400,,,,,,,,,,,,,,,,,,
,공주교육대학교,"1,995",851100,,,,,,,,,,,,,,,,,,
